Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,212,15,112,114,29,2.63,-2.33,3.29,-3.26,0.582,-0.649,0.612,-0.644
2011,246,29,113,129,25,2.95,-3.83,3.54,-3.46,0.715,-0.95,0.77,-0.911
2012,250,20,126,125,21,2.82,-2.05,3.12,-2.86,0.589,-0.726,0.621,-0.66
2013,249,30,121,129,31,2.57,-2.59,4.53,-2.28,0.569,-0.843,0.622,-0.827
2014,243,50,106,105,18,2.8,-3.63,2.75,-4.56,0.512,-0.672,0.56,-0.725
2015,247,31,108,130,22,2.01,-2.6,2.96,-2.28,0.528,-0.75,0.601,-0.701
2016,246,36,123,118,31,2.05,-4.17,3.07,-4.25,0.484,-0.722,0.509,-0.712
2017,247,57,108,102,20,2.35,-1.67,1.5,-2.89,0.323,-0.418,0.33,-0.493
2018,245,30,119,122,26,3.13,-2.46,4.56,-1.76,0.434,-0.538,0.424,-0.579
2019,244,31,122,115,24,1.8,-1.52,2.58,-1.52,0.453,-0.573,0.499,-0.601
2020,251,33,116,120,18,8.15,-6.2,4.76,-4.44,0.9,-1.103,0.981,-1.111
2021,240,53,94,106,13,1.74,-2.87,2.44,-2.37,0.517,-0.658,0.526,-0.703
2022,240,34,117,104,15,2.49,-2.81,2.48,-3.24,0.453,-0.648,0.55,-0.709
2023,237,45,101,105,14,1.41,-1.69,1.73,-2.03,0.318,-0.45,0.351,-0.42
2024,156,39,66,56,5,2.84,-1.37,1.1,-4.21,0.356,-0.49,0.354,-0.579
