Date,Time,DayHigh,DayHighTime,DayLow,DayLowTime,IsDayHighBreak,DayHighBreakTime,IsDayLowBreak,DayLowBreakTime,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,TargetHighTime,points_from_target_high,percentChangeTargetHigh,SLHigh,SLHighTime,points_from_SL_High,percentageChangeSLHigh,TargetLow,TargetLowTime,points_from_Target_Low,percentageChangeTargetLow,SLLow,SLLowTime,points_from_SL_low,percentageChangeSLLow,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20100302,11:15,8909.60,09:23,8858.40,10:00,True,12:34,False,N/A,True,False,8945.60,15:29,36.00,0.4,8877.75,12:47,-31.85,-0.36,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,8938.15,28.55,0.00,False
20100303,11:15,9028.30,10:32,8968.35,09:24,True,13:07,False,N/A,True,False,9046.90,15:10,18.60,0.21,8990.20,13:46,-38.10,-0.42,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9038.90,10.60,0.00,False
20100304,11:15,9068.95,09:20,9023.10,10:21,False,N/A,True,11:35,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,8965.25,13:22,57.85,0.64,9045.35,11:23,-22.25,-0.25,9014.40,0.00,8.70,False
20100305,11:15,9095.30,09:17,9038.45,11:04,False,N/A,True,12:07,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,8967.80,13:08,70.65,0.78,9074.10,14:19,-35.65,-0.39,9039.35,0.00,-0.90,False
20100308,11:15,9141.60,09:37,9099.30,10:46,True,12:39,True,12:17,True,True,9178.55,12:56,36.95,0.4,9093.45,12:25,-48.15,-0.53,9093.45,12:25,5.85,0.06,9178.55,12:56,-79.25,-0.87,9145.25,3.65,-45.95,False
20100309,11:15,9149.25,09:28,9073.50,11:10,True,13:22,False,N/A,True,False,9177.00,14:45,27.75,0.3,9087.55,11:17,-61.70,-0.67,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9127.50,-21.75,0.00,False
20100310,11:15,9156.00,09:50,9109.55,10:44,False,N/A,True,11:47,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9074.00,14:06,35.55,0.39,9138.55,15:25,-29.00,-0.32,9123.30,0.00,-13.75,False
20100311,11:15,9139.85,11:07,9087.35,09:39,True,11:38,False,N/A,True,False,9211.45,15:29,71.60,0.78,9127.95,11:27,-11.90,-0.13,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9204.00,64.15,0.00,False
20100312,11:15,9229.15,09:32,9195.40,11:15,False,N/A,True,11:16,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9145.60,13:35,49.80,0.54,9210.45,11:29,-15.05,-0.16,9161.75,0.00,33.65,False
20100315,11:15,9112.45,09:15,9056.15,11:09,True,12:35,False,N/A,True,False,9124.90,13:22,12.45,0.14,9059.30,11:35,-53.15,-0.58,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9087.45,-25.00,0.00,False
20100316,11:15,9051.45,09:29,8990.30,10:52,True,14:18,True,11:52,True,True,9121.95,15:20,70.50,0.78,8986.75,11:57,-64.70,-0.71,8986.75,11:57,3.55,0.04,9121.95,15:20,-131.65,-1.46,9112.50,61.05,-122.20,False
20100317,11:15,9214.55,10:37,9146.55,09:16,True,13:29,False,N/A,True,False,9221.05,13:31,6.50,0.07,9165.25,14:45,-49.30,-0.54,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9181.80,-32.75,0.00,False
20100318,11:15,9244.60,10:25,9172.05,09:19,True,15:17,False,N/A,True,False,9282.40,15:29,37.80,0.41,9193.75,13:33,-50.85,-0.55,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9281.30,36.70,0.00,False
20100319,11:15,9275.65,10:03,9243.55,09:37,True,15:03,True,11:29,True,True,9277.85,15:16,2.20,0.02,9231.90,11:56,-43.75,-0.47,9231.90,11:56,11.65,0.13,9277.85,15:16,-34.30,-0.37,9262.30,-13.35,-18.75,False
20100322,11:15,9223.55,11:15,9143.55,09:38,True,11:26,False,N/A,True,False,9240.85,14:13,17.30,0.19,9179.75,15:29,-43.80,-0.47,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9181.45,-42.10,0.00,False
20100323,11:15,9251.80,09:16,9207.85,11:02,False,N/A,True,11:41,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9166.40,13:19,41.45,0.45,9240.80,14:57,-32.95,-0.36,9223.50,0.00,-15.65,False
20100325,11:15,9198.45,10:42,9165.50,09:40,True,11:39,False,N/A,True,False,9342.00,15:16,143.55,1.56,9186.30,12:16,-12.15,-0.13,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9304.05,105.60,0.00,False
20100326,11:15,9368.60,11:14,9326.55,10:25,True,11:17,False,N/A,True,False,9473.20,15:10,104.60,1.12,9354.45,13:12,-14.15,-0.15,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9440.45,71.85,0.00,False
20100329,11:15,9535.60,09:46,9466.45,09:20,True,12:40,False,N/A,True,False,9578.50,13:34,42.90,0.45,9499.70,12:07,-35.90,-0.38,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9521.00,-14.60,0.00,False
20100330,11:15,9587.65,09:33,9533.95,09:15,False,N/A,True,13:29,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9461.25,15:11,72.70,0.76,9574.00,13:00,-40.05,-0.42,9471.90,0.00,62.05,False
20100331,11:15,9537.45,09:17,9440.35,10:40,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9464.20,0.00,0.00,True
20100401,11:15,9510.85,09:44,9448.75,11:09,True,14:48,True,11:22,True,True,9519.45,14:56,8.60,0.09,9445.55,11:26,-65.30,-0.69,9445.55,11:26,3.20,0.03,9519.45,14:56,-70.70,-0.75,9513.95,3.10,-65.20,False
20100405,11:15,9616.90,11:03,9587.65,09:27,True,11:37,True,12:35,True,True,9704.00,15:27,87.10,0.91,9582.00,12:37,-34.90,-0.36,9582.00,12:37,5.65,0.06,9704.00,15:27,-116.35,-1.21,9696.75,79.85,-109.10,False
20100406,11:15,9730.85,09:16,9674.10,11:03,True,12:07,False,N/A,True,False,9772.40,12:23,41.55,0.43,9694.10,11:29,-36.75,-0.38,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9730.20,-0.65,0.00,False
20100407,11:15,9793.20,10:21,9757.90,10:44,False,N/A,True,11:29,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9639.85,14:30,118.05,1.21,9769.20,12:07,-11.30,-0.12,9682.85,0.00,75.05,False
20100408,11:15,9659.55,09:15,9596.50,11:15,False,N/A,True,11:18,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9494.00,15:29,102.50,1.07,9617.65,11:49,-21.15,-0.22,9506.75,0.00,89.75,False
20100409,11:15,9613.80,11:14,9545.30,10:28,True,11:17,False,N/A,True,False,9686.25,13:46,72.45,0.75,9596.25,11:25,-17.55,-0.18,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9662.75,48.95,0.00,False
20100412,11:15,9621.50,09:15,9568.15,09:38,True,11:47,True,14:34,True,True,9637.35,12:44,15.85,0.16,9547.60,14:36,-73.90,-0.77,9547.60,14:36,20.55,0.21,9637.35,12:44,-69.20,-0.72,9578.25,-43.25,-10.10,False
20100413,11:15,9528.55,09:26,9476.15,10:30,False,N/A,True,12:01,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9453.55,13:51,22.60,0.24,9512.95,11:16,-36.80,-0.39,9486.55,0.00,-10.40,False
20100415,11:15,9541.10,09:15,9444.35,11:09,False,N/A,True,11:24,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9330.80,15:08,113.55,1.2,9464.40,11:50,-20.05,-0.21,9341.25,0.00,103.10,False
20100416,11:15,9410.15,10:24,9266.15,09:31,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9346.45,0.00,0.00,True
20100419,11:15,9267.35,10:28,9206.00,09:15,True,12:46,False,N/A,True,False,9357.05,13:37,89.70,0.97,9220.65,11:17,-46.70,-0.5,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9294.85,27.50,0.00,False
20100420,11:15,9436.65,11:15,9324.30,09:15,True,11:16,False,N/A,True,False,9501.85,12:16,65.20,0.69,9402.85,14:37,-33.80,-0.36,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9450.75,14.10,0.00,False
20100421,11:15,9574.55,11:01,9527.20,09:19,False,N/A,True,13:19,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9515.75,13:22,11.45,0.12,9567.00,12:50,-39.80,-0.42,9546.70,0.00,-19.50,False
20100422,11:15,9615.20,11:15,9501.15,09:15,True,11:16,False,N/A,True,False,9739.10,14:18,123.90,1.29,9575.85,15:26,-39.35,-0.41,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9590.40,-24.80,0.00,False
20100423,11:15,9783.05,11:06,9693.60,09:32,True,13:15,False,N/A,True,False,9824.95,15:08,41.90,0.43,9742.35,12:44,-40.70,-0.42,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9816.20,33.15,0.00,False
20100426,11:15,9911.80,09:15,9831.35,10:12,False,N/A,True,12:02,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9824.75,15:05,6.60,0.07,9880.80,13:12,-49.45,-0.5,9838.80,0.00,-7.45,False
20100427,11:15,9815.05,10:12,9753.40,09:32,False,N/A,True,15:03,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9750.50,15:29,2.90,0.03,9798.70,11:28,-45.30,-0.46,9754.85,0.00,-1.45,False
20100428,11:15,9706.25,10:18,9641.70,09:24,True,11:41,True,14:06,True,True,9723.35,12:50,17.10,0.18,9603.50,14:39,-102.75,-1.06,9603.50,14:39,38.20,0.4,9723.35,12:50,-81.65,-0.85,9634.65,-71.60,7.05,False
20100429,11:15,9730.20,10:00,9684.95,09:28,True,11:46,False,N/A,True,False,9822.05,15:27,91.85,0.94,9709.65,13:01,-20.55,-0.21,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9818.35,88.15,0.00,False
20100430,11:15,9923.15,10:18,9877.90,10:52,False,N/A,True,11:23,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9848.30,15:12,29.60,0.3,9910.50,14:31,-32.60,-0.33,9868.40,0.00,9.50,False
20100503,11:15,9863.45,09:25,9809.45,11:15,False,N/A,True,11:16,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9741.50,14:56,67.95,0.69,9826.65,12:12,-17.20,-0.18,9785.40,0.00,24.05,False
20100504,11:15,9837.70,11:02,9800.55,09:33,False,N/A,True,11:21,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9607.45,15:14,193.10,1.97,9815.85,11:18,-15.30,-0.16,9613.20,0.00,187.35,False
20100505,11:15,9504.80,10:09,9455.75,09:23,True,11:42,True,11:25,True,False,9601.45,15:23,96.65,1.02,9454.75,11:25,-50.05,-0.53,9454.75,11:25,1.00,0.01,9601.45,15:23,-145.70,-1.54,9586.60,81.80,-130.85,False
20100506,11:15,9603.65,09:16,9516.40,11:02,True,14:28,True,12:02,True,True,9627.45,14:38,23.80,0.25,9449.75,12:35,-153.90,-1.6,9449.75,12:35,66.65,0.7,9627.45,14:38,-111.05,-1.17,9576.65,-27.00,-60.25,False
20100507,11:15,9433.45,09:45,9300.35,11:13,False,N/A,True,11:36,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9239.80,12:26,60.55,0.65,9364.70,13:52,-64.35,-0.69,9281.50,0.00,18.85,False
20100510,11:15,9472.05,11:14,9411.30,09:17,True,11:19,False,N/A,True,False,9678.45,15:29,206.40,2.18,9466.05,11:19,-6.00,-0.06,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9677.35,205.30,0.00,False
20100511,11:15,9733.80,09:43,9670.05,09:52,False,N/A,True,11:16,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9593.55,12:33,76.50,0.79,9692.40,13:25,-22.35,-0.23,9627.90,0.00,42.15,False
20100512,11:15,9686.25,09:38,9628.20,10:41,True,13:37,True,11:53,True,True,9740.85,14:30,54.60,0.56,9587.10,12:01,-99.15,-1.02,9587.10,12:01,41.10,0.43,9740.85,14:30,-112.65,-1.17,9721.75,35.50,-93.55,False
20100513,11:15,9838.30,10:23,9795.95,09:17,True,11:42,True,13:14,True,True,9849.05,11:56,10.75,0.11,9748.85,14:34,-89.45,-0.91,9748.85,14:34,47.10,0.48,9849.05,11:56,-53.10,-0.54,9774.45,-63.85,21.50,False
20100514,11:15,9762.15,10:56,9683.35,09:33,False,N/A,True,13:22,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9548.20,15:29,135.15,1.4,9757.15,11:56,-73.80,-0.76,9554.55,0.00,128.80,False
20100517,11:15,9420.75,09:15,9337.00,10:58,True,13:04,True,11:42,True,True,9551.05,15:12,130.30,1.38,9303.75,12:09,-117.00,-1.24,9303.75,12:09,33.25,0.36,9551.05,15:12,-214.05,-2.29,9539.00,118.25,-202.00,False
20100518,11:15,9507.40,09:24,9430.70,10:53,True,11:59,False,N/A,True,False,9572.05,13:09,64.65,0.68,9454.00,11:28,-53.40,-0.56,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9497.35,-10.05,0.00,False
20100519,11:15,9344.15,09:17,9257.60,09:56,False,N/A,True,13:32,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9075.00,14:56,182.60,1.97,9343.35,11:20,-85.75,-0.93,9120.80,0.00,136.80,False
20100520,11:15,9204.30,09:15,9108.20,11:03,True,13:03,False,N/A,True,False,9251.95,13:22,47.65,0.52,9119.25,11:25,-85.05,-0.92,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9196.95,-7.35,0.00,False
20100521,11:15,9072.80,11:14,8983.70,09:15,True,11:16,False,N/A,True,False,9174.90,12:40,102.10,1.13,9046.85,11:39,-25.95,-0.29,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9136.10,63.30,0.00,False
20100524,11:15,9257.10,10:12,9212.70,09:23,True,11:53,True,13:19,True,True,9286.65,12:39,29.55,0.32,9048.40,15:28,-208.70,-2.25,9048.40,15:28,164.30,1.78,9286.65,12:39,-73.95,-0.8,9055.55,-201.55,157.15,False
20100525,11:15,8972.05,09:18,8876.55,11:10,False,N/A,True,14:19,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,8806.65,14:53,69.90,0.79,8933.70,11:43,-57.15,-0.64,8849.35,0.00,27.20,False
20100526,11:15,9033.05,09:55,8973.25,10:44,True,15:10,True,11:20,True,True,9037.65,15:10,4.60,0.05,8924.35,12:59,-108.70,-1.2,8924.35,12:59,48.90,0.54,9037.65,15:10,-64.40,-0.72,9029.50,-3.55,-56.25,False
20100527,11:15,9053.65,10:23,8957.55,09:15,True,12:24,False,N/A,True,False,9292.15,15:23,238.50,2.63,9003.20,11:16,-50.45,-0.56,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,9279.60,225.95,0.00,False
