Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,percentChangeTargetHigh,SLHigh,points_from_SL_High,percentageChangeSLHigh,TargetLow,points_from_Target_Low,percentageChangeTargetLow,SLLow,points_from_SL_low,percentageChangeSLLow,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20210101,11:15,31384.10,31251.65,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,31192.00,59.65,0.19,31346.95,-95.30,-0.3,31201.40,0.00,50.25,False
20210104,11:15,31487.90,30904.50,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,31265.30,0.00,0.00,True
20210105,11:15,31349.65,30951.55,True,False,True,False,31763.85,414.20,1.32,31268.75,-80.90,-0.26,0.00,0.00,0.0,0.00,0.00,0.0,31717.00,367.35,0.00,False
20210106,11:15,31908.85,31753.00,True,True,True,True,31978.05,69.20,0.22,31552.90,-355.95,-1.12,31552.90,200.10,0.63,31978.05,-225.05,-0.71,31716.80,-192.05,36.20,False
20210107,11:15,32141.45,31951.20,True,True,True,True,32177.15,35.70,0.11,31911.85,-229.60,-0.71,31911.85,39.35,0.12,32177.15,-225.95,-0.71,31951.50,-189.95,-0.30,False
20210108,11:15,32298.05,32070.50,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,32007.40,63.10,0.2,32201.70,-131.20,-0.41,32089.30,0.00,-18.80,False
20210111,11:15,32280.30,31837.90,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,32020.05,0.00,0.00,True
20210112,11:15,31938.20,31734.20,True,False,True,False,32393.95,455.75,1.43,31874.90,-63.30,-0.2,0.00,0.00,0.0,0.00,0.00,0.0,32327.25,389.05,0.00,False
20210113,11:15,32681.90,32433.15,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,32155.10,278.05,0.86,32629.40,-196.25,-0.61,32545.85,0.00,-112.70,False
20210114,11:15,32718.50,32481.00,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,32443.35,37.65,0.12,32658.95,-177.95,-0.55,32560.70,0.00,-79.70,False
