Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,212,31,100,96,15,2.1,-1.88,3.16,-3.26,0.518,-0.611,0.592,-0.617
2011,246,45,100,112,11,2.95,-4.63,3.54,-3.05,0.623,-0.913,0.719,-0.782
2012,250,35,113,114,12,2.82,-1.77,2.87,-2.53,0.539,-0.675,0.532,-0.631
2013,249,43,104,116,14,2.11,-2.61,4.27,-2.28,0.5,-0.749,0.585,-0.758
2014,243,64,97,91,9,2.48,-1.81,2.75,-3.9,0.478,-0.594,0.494,-0.679
2015,247,46,104,115,18,1.97,-2.6,2.92,-2.28,0.473,-0.696,0.565,-0.661
2016,246,56,108,102,20,2.05,-3.25,3.02,-2.68,0.452,-0.656,0.447,-0.664
2017,247,77,98,85,13,2.35,-1.14,1.5,-1.51,0.301,-0.373,0.346,-0.441
2018,245,48,110,105,18,2.99,-2.46,3.65,-1.76,0.417,-0.487,0.415,-0.56
2019,244,48,111,101,16,1.8,-1.54,2.58,-1.8,0.416,-0.542,0.499,-0.564
2020,251,49,105,108,11,4.62,-4.34,4.76,-4.44,0.777,-1.018,0.885,-1.072
2021,240,68,83,97,8,1.67,-2.87,2.24,-2.37,0.469,-0.598,0.475,-0.689
2022,240,59,95,93,7,2.35,-2.82,2.44,-3.24,0.412,-0.617,0.496,-0.66
2023,237,52,97,98,10,1.32,-1.69,1.43,-2.03,0.282,-0.416,0.287,-0.455
2024,156,50,60,50,4,2.36,-1.37,1.02,-1.26,0.31,-0.447,0.3,-0.472
