Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,251,29,115,135,28,1.39,-1.79,1.67,-1.53,0.37,-0.509,0.44,-0.515
2011,246,43,98,122,17,1.81,-3.89,2.77,-3.1,0.501,-0.723,0.552,-0.669
2012,250,41,110,120,21,2.06,-1.52,2.32,-1.75,0.384,-0.478,0.394,-0.486
2013,249,46,105,118,20,1.56,-1.99,2.8,-2.35,0.361,-0.501,0.414,-0.516
2014,243,47,104,106,14,1.37,-1.17,2.15,-1.31,0.289,-0.402,0.346,-0.425
2015,247,40,110,117,20,1.01,-1.64,2.28,-1.53,0.344,-0.452,0.426,-0.489
2016,246,40,112,117,23,1.5,-2.11,2.32,-2.16,0.305,-0.467,0.324,-0.456
2017,247,61,109,99,22,1.2,-0.83,0.91,-0.81,0.201,-0.301,0.225,-0.327
2018,245,39,108,107,9,1.64,-1.38,2.5,-1.81,0.306,-0.34,0.355,-0.405
2019,244,42,106,115,19,1.3,-1.33,1.4,-1.36,0.319,-0.39,0.371,-0.428
2020,251,47,111,103,10,2.84,-2.72,3.92,-3.65,0.402,-0.592,0.647,-0.68
2021,240,42,106,104,12,0.99,-1.57,1.89,-1.45,0.243,-0.376,0.378,-0.504
2022,240,44,106,99,9,1.56,-1.96,1.91,-1.27,0.278,-0.44,0.372,-0.48
2023,237,50,98,94,5,0.81,-0.64,1.88,-1.31,0.214,-0.244,0.213,-0.329
2024,156,43,64,52,3,1.0,-1.23,0.87,-1.48,0.249,-0.323,0.255,-0.369
