Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,percentChangeTargetHigh,SLHigh,points_from_SL_High,percentageChangeSLHigh,TargetLow,points_from_Target_Low,percentageChangeTargetLow,SLLow,points_from_SL_low,percentageChangeSLLow,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20220103,09:30,35703.00,35549.80,True,True,True,False,36485.00,782.00,2.19,35530.05,-172.95,-0.48,35530.05,19.75,0.06,36485.00,-935.20,-2.63,36456.10,753.10,-906.30,False
20220104,09:30,36681.35,36449.35,True,True,True,True,36886.65,205.30,0.56,36380.85,-300.50,-0.82,36380.85,68.50,0.19,36886.65,-437.30,-1.2,36859.00,177.65,-409.65,False
20220105,09:30,37183.65,36770.10,True,False,True,False,37860.30,676.65,1.82,36989.35,-194.30,-0.52,0.00,0.00,0.0,0.00,0.00,0.0,37657.90,474.25,0.00,False
20220106,09:30,37431.90,37141.55,True,True,True,True,37750.35,318.45,0.85,37061.35,-370.55,-0.99,37061.35,80.20,0.22,37750.35,-608.80,-1.64,37487.35,55.45,-345.80,False
20220107,09:30,38038.50,37613.55,True,True,True,True,38134.50,96.00,0.25,37429.55,-608.95,-1.6,37429.55,184.00,0.49,38134.50,-520.95,-1.39,37788.75,-249.75,-175.20,False
20220110,09:30,38221.05,37930.55,True,False,True,False,38390.85,169.80,0.44,37943.55,-277.50,-0.73,0.00,0.00,0.0,0.00,0.00,0.0,38370.65,149.60,0.00,False
20220111,09:30,38477.15,38243.55,True,True,True,True,38504.15,27.00,0.07,38032.94,-444.21,-1.15,38032.94,210.61,0.55,38504.15,-260.60,-0.68,38460.80,-16.35,-217.25,False
20220112,09:30,38744.19,38641.85,True,True,True,True,38848.80,104.61,0.27,38611.60,-132.59,-0.34,38611.60,30.25,0.08,38848.80,-206.95,-0.54,38701.94,-42.25,-60.09,False
20220113,09:30,38717.55,38509.69,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,38378.40,131.29,0.34,38665.69,-156.00,-0.41,38456.65,0.00,53.04,False
20220114,09:30,38302.35,38107.40,True,True,True,True,38446.50,144.15,0.38,38009.30,-293.05,-0.77,38009.30,98.10,0.26,38446.50,-339.10,-0.89,38310.35,8.00,-202.95,False
20220117,09:30,38615.19,38210.90,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,38141.19,69.71,0.18,38461.44,-250.54,-0.66,38245.94,0.00,-35.04,False
20220118,09:30,38462.35,38262.15,True,True,True,True,38852.50,390.15,1.01,38095.40,-366.95,-0.95,38095.40,166.75,0.44,38852.50,-590.35,-1.54,38206.40,-255.95,55.75,False
20220119,09:30,38170.55,37905.00,True,True,True,True,38328.00,157.45,0.41,37772.19,-398.36,-1.04,37772.19,132.81,0.35,38328.00,-423.00,-1.12,38057.90,-112.65,-152.90,False
20220120,09:30,38133.00,38011.60,True,True,True,True,38166.44,33.44,0.09,37593.15,-539.85,-1.42,37593.15,418.45,1.1,38166.44,-154.84,-0.41,37894.05,-238.95,117.55,False
20220121,09:30,37542.55,37225.65,True,False,True,False,37738.65,196.10,0.52,37244.69,-297.86,-0.79,0.00,0.00,0.0,0.00,0.00,0.0,37698.19,155.64,0.00,False
20220124,09:30,37693.69,37406.00,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,36383.55,1022.45,2.73,37665.90,-259.90,-0.69,36831.05,0.00,574.95,False
20220125,09:30,36936.85,36419.85,True,False,True,False,37786.65,849.80,2.3,36768.10,-168.75,-0.46,0.00,0.00,0.0,0.00,0.00,0.0,37740.50,803.65,0.00,False
20220127,09:30,37388.85,37052.65,True,True,True,True,38136.35,747.50,2.0,37014.75,-374.10,-1.0,37014.75,37.90,0.1,38136.35,-1083.70,-2.92,38091.44,702.59,-1038.79,False
20220128,09:30,38409.35,38028.35,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,37582.05,446.30,1.17,38391.44,-363.09,-0.95,37686.90,0.00,341.45,False
20220131,09:30,38202.25,37907.85,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,37650.50,257.35,0.68,38136.00,-228.15,-0.6,37952.69,0.00,-44.84,False
20220202,09:30,39105.00,38760.85,True,False,True,False,39383.80,278.80,0.71,38943.00,-162.00,-0.41,0.00,0.00,0.0,0.00,0.00,0.0,39313.85,208.85,0.00,False
20220203,09:30,39393.00,39217.10,True,True,True,True,39419.90,26.90,0.07,38862.85,-530.15,-1.35,38862.85,354.25,0.9,39419.90,-202.80,-0.52,38889.80,-503.20,327.30,False
20220204,09:30,39240.65,38939.50,True,True,True,True,39275.00,34.35,0.09,38563.44,-677.21,-1.73,38563.44,376.06,0.97,39275.00,-335.50,-0.86,38723.60,-517.05,215.90,False
20220207,09:30,38834.69,38532.80,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,37806.00,726.80,1.89,38773.25,-240.45,-0.62,37997.50,0.00,535.30,False
20220208,09:30,38213.44,37805.30,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,37320.44,484.86,1.28,38151.40,-346.10,-0.92,37915.40,0.00,-110.10,False
20220209,09:30,38435.55,38220.80,True,False,True,False,38642.80,207.25,0.54,38283.35,-152.20,-0.4,0.00,0.00,0.0,0.00,0.00,0.0,38618.35,182.80,0.00,False
20220210,09:30,38801.44,38568.75,True,True,True,False,39195.75,394.31,1.02,38521.15,-280.29,-0.72,38521.15,47.60,0.12,39195.75,-627.00,-1.63,38938.35,136.91,-369.60,False
20220211,09:30,38750.15,38493.35,True,True,True,True,38789.94,39.79,0.1,38401.19,-348.96,-0.9,38401.19,92.16,0.24,38789.94,-296.59,-0.77,38432.94,-317.21,60.41,False
20220214,09:30,37708.30,37221.75,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,36829.19,392.56,1.05,37562.50,-340.75,-0.92,36864.65,0.00,357.10,False
20220215,09:30,37171.19,36869.10,True,True,True,True,38229.15,1057.96,2.85,36655.19,-516.00,-1.39,36655.19,213.91,0.58,38229.15,-1360.05,-3.69,38186.35,1015.16,-1317.25,False
20220216,09:30,38400.90,38086.19,True,True,True,True,38461.19,60.29,0.16,37770.80,-630.10,-1.64,37770.80,315.39,0.83,38461.19,-375.00,-0.98,37847.30,-553.60,238.89,False
20220217,09:30,38123.40,37782.44,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,37426.55,355.89,0.94,37929.65,-147.21,-0.39,37459.15,0.00,323.29,False
20220218,09:30,37560.65,37304.65,True,False,True,False,37816.05,255.40,0.68,37367.65,-193.00,-0.51,0.00,0.00,0.0,0.00,0.00,0.0,37578.15,17.50,0.00,False
20220221,09:30,37551.50,37191.75,True,True,True,True,38051.94,500.44,1.33,37158.44,-393.06,-1.05,37158.44,33.31,0.09,38051.94,-860.19,-2.31,37682.30,130.80,-490.55,False
20220222,09:30,37226.44,36833.00,True,False,True,False,37658.35,431.91,1.16,36970.10,-256.34,-0.69,0.00,0.00,0.0,0.00,0.00,0.0,37337.60,111.16,0.00,False
20220223,09:30,37773.80,37578.10,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,37321.80,256.30,0.68,37746.25,-168.15,-0.45,37351.15,0.00,226.95,False
20220224,09:30,36649.00,36085.19,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,35002.10,1083.09,3.0,36442.35,-357.16,-0.99,35027.55,0.00,1057.64,False
20220225,09:30,36210.40,35776.80,True,False,True,False,36677.19,466.79,1.29,36004.19,-206.21,-0.57,0.00,0.00,0.0,0.00,0.00,0.0,36446.80,236.40,0.00,False
20220228,09:30,35939.69,35616.19,True,False,True,False,36268.55,328.86,0.92,35656.60,-283.09,-0.79,0.00,0.00,0.0,0.00,0.00,0.0,36183.25,243.56,0.00,False
20220302,09:30,35533.85,35299.90,True,True,True,True,35545.94,12.09,0.03,34899.05,-634.80,-1.79,34899.05,400.85,1.14,35545.94,-246.04,-0.7,35450.90,-82.95,-151.00,False
20220303,09:30,35798.30,35488.10,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,34725.65,762.45,2.15,35522.60,-34.50,-0.1,34935.94,0.00,552.16,False
20220304,09:30,34552.10,34292.60,True,True,True,True,35095.75,543.65,1.57,34097.15,-454.95,-1.32,34097.15,195.45,0.57,35095.75,-803.15,-2.34,34349.00,-203.10,-56.40,False
20220307,09:30,33532.94,32967.19,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,32387.75,579.44,1.76,33521.30,-554.11,-1.68,32924.44,0.00,42.75,False
20220308,09:30,32698.35,32438.45,True,True,True,True,33258.85,560.50,1.71,32159.30,-539.05,-1.65,32159.30,279.15,0.86,33258.85,-820.40,-2.53,33191.40,493.05,-752.95,False
20220309,09:30,33292.85,32952.19,True,False,True,False,33968.50,675.65,2.03,32968.94,-323.91,-0.97,0.00,0.00,0.0,0.00,0.00,0.0,33857.90,565.05,0.00,False
20220310,09:30,35153.94,34744.80,True,True,True,True,35370.55,216.61,0.62,34220.80,-933.14,-2.65,34220.80,524.00,1.51,35370.55,-625.75,-1.8,34376.55,-777.39,368.25,False
