Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,percentChangeTargetHigh,SLHigh,points_from_SL_High,percentageChangeSLHigh,TargetLow,points_from_Target_Low,percentageChangeTargetLow,SLLow,points_from_SL_low,percentageChangeSLLow,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20200101,09:30,32339.25,32220.90,True,True,True,True,32348.00,8.75,0.03,32057.20,-282.05,-0.87,32057.20,163.70,0.51,32348.00,-127.10,-0.39,32118.40,-220.85,102.50,False
20200102,09:30,32239.05,32121.40,True,False,True,False,32465.45,226.40,0.7,32132.95,-106.10,-0.33,0.00,0.00,0.0,0.00,0.00,0.0,32434.70,195.65,0.00,False
20200103,09:30,32329.80,32236.40,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,31960.40,276.00,0.86,32276.10,-39.70,-0.12,32105.85,0.00,130.55,False
20200106,09:30,31914.45,31580.10,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,31170.55,409.55,1.3,31629.30,-49.20,-0.16,31243.00,0.00,337.10,False
20200107,09:30,31825.35,31566.05,True,True,True,True,31851.45,26.10,0.08,31200.90,-624.45,-1.96,31200.90,365.15,1.16,31851.45,-285.40,-0.9,31421.70,-403.65,144.35,False
20200108,09:30,31089.90,30899.55,True,False,True,False,31451.85,361.95,1.16,31030.95,-58.95,-0.19,0.00,0.00,0.0,0.00,0.00,0.0,31359.45,269.55,0.00,False
20200109,09:30,31885.60,31667.15,True,False,True,False,32172.70,287.10,0.9,31753.90,-131.70,-0.41,0.00,0.00,0.0,0.00,0.00,0.0,32067.80,182.20,0.00,False
20200110,09:30,32255.00,32126.60,True,True,True,True,32347.20,92.20,0.29,31953.40,-301.60,-0.94,31953.40,173.20,0.54,32347.20,-220.60,-0.69,32095.80,-159.20,30.80,False
20200113,09:30,32322.65,32074.05,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,32194.25,0.00,0.00,True
20200114,09:30,32172.70,32026.85,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,31989.20,37.65,0.12,32162.55,-135.70,-0.42,32056.40,0.00,-29.55,False
20200115,09:30,32000.90,31814.15,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,31670.35,143.80,0.45,31853.70,-39.55,-0.12,31841.45,0.00,-27.30,False
20200116,09:30,31976.00,31808.30,True,True,True,True,31988.90,12.90,0.04,31692.40,-283.60,-0.89,31692.40,115.90,0.36,31988.90,-180.60,-0.57,31842.30,-133.70,-34.00,False
20200117,09:30,31610.40,31445.50,True,False,True,False,31773.55,163.15,0.52,31484.95,-125.45,-0.4,0.00,0.00,0.0,0.00,0.00,0.0,31559.40,-51.00,0.00,False
20200120,09:30,31819.20,31581.35,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,31050.95,530.40,1.68,31625.10,-43.75,-0.14,31096.65,0.00,484.70,False
20200121,09:30,31038.80,30858.60,True,False,True,False,31171.25,132.45,0.43,30872.35,-166.45,-0.54,0.00,0.00,0.0,0.00,0.00,0.0,30943.65,-95.15,0.00,False
20200122,09:30,31149.05,30995.05,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,30614.00,381.05,1.23,31034.40,-39.35,-0.13,30709.60,0.00,285.45,False
20200123,09:30,30893.45,30621.35,True,False,True,False,31087.25,193.80,0.63,30715.65,-177.80,-0.58,0.00,0.00,0.0,0.00,0.00,0.0,30997.45,104.00,0.00,False
20200124,09:30,31106.05,30879.05,True,False,True,False,31375.45,269.40,0.87,30998.80,-107.25,-0.34,0.00,0.00,0.0,0.00,0.00,0.0,31249.70,143.65,0.00,False
20200127,09:30,31130.00,30922.85,True,True,True,True,31227.05,97.05,0.31,30810.60,-319.40,-1.03,30810.60,112.25,0.36,31227.05,-304.20,-0.98,30821.25,-308.75,101.60,False
20200128,09:30,30965.90,30759.80,True,True,True,True,31048.45,82.55,0.27,30656.35,-309.55,-1.0,30656.35,103.45,0.34,31048.45,-288.65,-0.94,30775.30,-190.60,-15.50,False
20200129,09:30,30948.00,30883.95,True,True,True,True,31082.85,134.85,0.44,30835.80,-112.20,-0.36,30835.80,48.15,0.16,31082.85,-198.90,-0.64,30889.40,-58.60,-5.45,False
20200130,09:30,30909.50,30696.10,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,30521.30,174.80,0.57,30732.35,-36.25,-0.12,30601.00,0.00,95.10,False
20200131,09:30,30983.30,30842.05,True,True,True,True,31033.45,50.15,0.16,30691.80,-291.50,-0.94,30691.80,150.25,0.49,31033.45,-191.40,-0.62,30831.00,-152.30,11.05,False
20200201,09:30,30743.80,30424.60,True,True,True,True,30918.60,174.80,0.57,29753.00,-990.80,-3.22,29753.00,671.60,2.21,30918.60,-494.00,-1.62,29795.50,-948.30,629.10,False
20200203,09:30,29939.90,29728.15,True,True,True,True,30105.80,165.90,0.55,29612.55,-327.35,-1.09,29612.55,115.60,0.39,30105.80,-377.65,-1.27,30043.00,103.10,-314.85,False
20200204,09:30,30320.20,30182.45,True,False,True,False,30776.95,456.75,1.51,30275.90,-44.30,-0.15,0.00,0.00,0.0,0.00,0.00,0.0,30663.20,343.00,0.00,False
20200205,09:30,30819.90,30630.85,True,False,True,False,31065.85,245.95,0.8,30658.70,-161.20,-0.52,0.00,0.00,0.0,0.00,0.00,0.0,31037.30,217.40,0.00,False
20200206,09:30,31143.10,31033.50,True,True,True,True,31470.65,327.55,1.05,30917.25,-225.85,-0.73,30917.25,116.25,0.37,31470.65,-437.15,-1.41,31277.55,134.45,-244.05,False
20200207,09:30,31368.20,31129.55,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,31111.05,18.50,0.06,31315.05,-185.50,-0.6,31184.85,0.00,-55.30,False
20200210,09:30,31248.80,31063.35,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,30957.20,106.15,0.34,31156.55,-93.20,-0.3,31068.70,0.00,-5.35,False
20200211,09:30,31401.75,31225.90,True,False,True,False,31505.95,104.20,0.33,31273.60,-128.15,-0.41,0.00,0.00,0.0,0.00,0.00,0.0,31304.00,-97.75,0.00,False
20200212,09:30,31554.70,31398.15,True,False,True,False,31588.60,33.90,0.11,31430.80,-123.90,-0.39,0.00,0.00,0.0,0.00,0.00,0.0,31473.60,-81.10,0.00,False
20200213,09:30,31649.45,31380.80,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,31180.60,200.20,0.64,31440.65,-59.85,-0.19,31212.40,0.00,168.40,False
20200214,09:30,31409.90,31272.80,True,True,True,True,31436.65,26.75,0.09,30776.10,-633.80,-2.02,30776.10,496.70,1.59,31436.65,-163.85,-0.52,30830.70,-579.20,442.10,False
20200217,09:30,30998.15,30644.40,False,True,False,False,0.00,0.00,0.0,0.00,0.00,0.0,30630.50,13.90,0.05,30940.85,-296.45,-0.97,30698.30,0.00,-53.90,False
20200218,09:30,30692.75,30474.80,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,30252.45,222.35,0.73,30629.90,-155.10,-0.51,30624.60,0.00,-149.80,False
20200219,09:30,30947.15,30837.90,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,30606.15,231.75,0.75,30906.35,-68.45,-0.22,30839.80,0.00,-1.90,False
20200220,09:30,30924.45,30702.45,True,False,True,False,31085.30,160.85,0.52,30809.85,-114.60,-0.37,0.00,0.00,0.0,0.00,0.00,0.0,30927.45,3.00,0.00,False
20200224,09:30,30685.65,30466.40,True,True,True,True,30702.15,16.50,0.05,30428.00,-257.65,-0.84,30428.00,38.40,0.13,30702.15,-235.75,-0.77,30458.45,-227.20,7.95,False
20200225,09:30,30528.25,30356.55,True,True,True,False,30610.70,82.45,0.27,30329.95,-198.30,-0.65,30329.95,26.60,0.09,30610.70,-254.15,-0.84,30454.95,-73.30,-98.40,False
20200226,09:30,30347.65,30190.15,True,True,True,True,30515.35,167.70,0.55,30131.75,-215.90,-0.71,30131.75,58.40,0.19,30515.35,-325.20,-1.08,30341.70,-5.95,-151.55,False
20200227,09:30,30271.95,30112.05,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,29914.15,197.90,0.66,30230.10,-118.05,-0.39,30161.55,0.00,-49.50,False
20200228,09:30,29564.10,29414.45,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,29051.50,362.95,1.23,29505.75,-91.30,-0.31,29209.95,0.00,204.50,False
20200302,09:30,29791.15,29322.25,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,28571.70,750.55,2.56,29624.65,-302.40,-1.03,28866.75,0.00,455.50,False
20200303,09:30,29285.35,28996.60,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,28749.55,247.05,0.85,29267.45,-270.85,-0.93,29218.15,0.00,-221.55,False
20200304,09:30,29273.65,28942.60,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,28125.15,817.45,2.82,29054.05,-111.45,-0.39,28649.10,0.00,293.50,False
20200305,09:30,28914.55,28621.55,True,True,True,True,29134.30,219.75,0.76,28535.60,-378.95,-1.31,28535.60,85.95,0.3,29134.30,-512.75,-1.79,28753.95,-160.60,-132.40,False
20200306,09:30,27689.15,27162.30,True,False,True,False,28047.20,358.05,1.29,27442.50,-246.65,-0.89,0.00,0.00,0.0,0.00,0.00,0.0,27785.25,96.10,0.00,False
20200309,09:30,27091.60,26846.90,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,25923.40,923.50,3.44,26922.70,-75.80,-0.28,26493.40,0.00,353.50,False
20200311,09:30,26791.45,26234.10,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,26449.65,0.00,0.00,True
20200312,09:30,25223.10,24774.45,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,23536.35,1238.10,5.0,25168.10,-393.65,-1.59,24227.85,0.00,546.60,False
20200313,09:30,22829.65,21397.45,True,True,True,False,25670.75,2841.10,12.44,21351.70,-1477.95,-6.47,21351.70,45.75,0.21,25670.75,-4273.30,-19.97,25341.00,2511.35,-3943.55,False
20200316,09:30,24074.15,23539.70,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,23008.25,531.45,2.26,24029.35,-489.65,-2.08,23108.00,0.00,431.70,False
20200317,09:30,23420.00,22389.85,True,True,True,True,23449.50,29.50,0.13,22002.00,-1418.00,-6.05,22002.00,387.85,1.73,23449.50,-1059.65,-4.73,22085.35,-1334.65,304.50,False
20200318,09:30,22544.05,21951.50,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,20267.95,1683.55,7.67,22086.85,-135.35,-0.62,20893.50,0.00,1058.00,False
20200319,09:30,19462.10,18675.65,True,False,True,False,21035.05,1572.95,8.08,18862.95,-599.15,-3.08,0.00,0.00,0.0,0.00,0.00,0.0,20011.35,549.25,0.00,False
20200320,09:30,20227.40,19453.65,True,True,True,True,20924.55,697.15,3.45,19265.00,-962.40,-4.76,19265.00,188.65,0.97,20924.55,-1470.90,-7.56,20272.30,44.90,-818.65,False
20200323,09:30,18895.65,18304.75,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,16791.05,1513.70,8.27,18648.35,-343.60,-1.88,16999.00,0.00,1305.75,False
20200324,09:30,17841.40,17147.75,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,16116.25,1031.50,6.02,17635.45,-487.70,-2.84,17195.65,0.00,-47.90,False
20200325,09:30,17287.15,16723.00,True,True,True,True,18740.20,1453.05,8.41,16635.50,-651.65,-3.77,16635.50,87.50,0.52,18740.20,-2017.20,-12.06,18510.00,1222.85,-1787.00,False
20200326,09:30,18956.70,18364.50,True,False,True,False,20409.35,1452.65,7.66,18859.15,-97.55,-0.51,0.00,0.00,0.0,0.00,0.00,0.0,19682.75,726.05,0.00,False
20200327,09:30,21130.50,20649.85,True,True,True,True,21462.40,331.90,1.57,19580.10,-1550.40,-7.34,19580.10,1069.75,5.18,21462.40,-812.55,-3.93,19922.40,-1208.10,727.45,False
20200330,09:30,19459.55,19057.15,True,True,True,True,19716.25,256.70,1.32,18668.70,-790.85,-4.06,18668.70,388.45,2.04,19716.25,-659.10,-3.46,18777.05,-682.50,280.10,False
20200331,09:30,19314.55,18892.55,True,True,True,True,19466.30,151.75,0.79,18792.40,-522.15,-2.7,18792.40,100.15,0.53,19466.30,-573.75,-3.04,19054.80,-259.75,-162.25,False
20200401,09:30,19154.75,18755.60,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,18042.25,713.35,3.8,18804.55,-48.95,-0.26,18192.20,0.00,563.40,False
20200403,09:30,18326.10,17515.90,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,17143.20,372.70,2.13,17921.25,-405.35,-2.31,17286.15,0.00,229.75,False
20200407,09:30,18498.50,18094.15,True,True,True,True,19190.55,692.05,3.74,17953.75,-544.75,-2.94,17953.75,140.40,0.78,19190.55,-1096.40,-6.06,19031.80,533.30,-937.65,False
20200408,09:30,18746.55,18482.90,True,False,True,False,20324.10,1577.55,8.42,18643.75,-102.80,-0.55,0.00,0.00,0.0,0.00,0.00,0.0,18915.40,168.85,0.00,False
20200409,09:30,19708.75,19355.35,True,True,True,True,19988.30,279.55,1.42,19166.90,-541.85,-2.75,19166.90,188.45,0.97,19988.30,-632.95,-3.27,19880.90,172.15,-525.55,False
20200413,09:30,19865.40,19517.65,True,True,True,True,19887.05,21.65,0.11,19294.00,-571.40,-2.88,19294.00,223.65,1.15,19887.05,-369.40,-1.89,19507.65,-357.75,10.00,False
