Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,212,9,119,130,46,2.63,-2.48,3.29,-3.26,0.641,-0.652,0.643,-0.701
2011,246,17,129,145,45,3.3,-4.56,4.47,-3.84,0.788,-1.03,0.874,-1.025
2012,250,11,140,144,45,2.91,-4.09,3.29,-3.73,0.672,-0.813,0.679,-0.738
2013,249,16,143,139,49,2.68,-3.04,5.0,-3.53,0.633,-0.89,0.744,-0.858
2014,243,30,120,124,31,4.05,-3.62,2.75,-4.81,0.596,-0.69,0.567,-0.81
2015,247,17,123,143,36,2.4,-2.68,3.17,-3.26,0.586,-0.799,0.685,-0.752
2016,246,22,136,131,43,2.05,-4.17,3.19,-3.2,0.509,-0.758,0.563,-0.727
2017,247,38,126,114,31,2.39,-1.67,1.5,-2.77,0.326,-0.445,0.347,-0.508
2018,245,17,130,135,37,3.13,-2.46,4.56,-1.76,0.463,-0.567,0.445,-0.565
2019,244,20,129,125,30,4.75,-2.13,3.18,-1.94,0.546,-0.59,0.609,-0.581
2020,251,23,127,137,36,8.41,-5.96,4.76,-5.4,0.95,-1.231,1.012,-1.234
2021,240,35,107,121,23,2.46,-3.05,2.68,-2.43,0.595,-0.742,0.601,-0.745
2022,240,23,130,117,30,2.85,-2.81,2.54,-2.94,0.512,-0.7,0.609,-0.734
2023,237,25,117,119,24,1.41,-1.69,2.18,-2.03,0.337,-0.492,0.411,-0.433
2024,156,28,74,65,11,3.13,-1.88,2.83,-2.15,0.409,-0.561,0.459,-0.571
