Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,212,53,86,78,5,2.1,-2.02,3.16,-3.26,0.469,-0.493,0.544,-0.544
2011,246,72,82,98,6,2.47,-3.05,3.54,-2.66,0.537,-0.743,0.603,-0.686
2012,250,55,102,95,2,2.82,-1.77,2.79,-2.1,0.482,-0.588,0.463,-0.579
2013,249,64,93,101,9,2.08,-2.15,2.28,-1.58,0.478,-0.611,0.54,-0.651
2014,243,86,84,77,4,2.0,-3.6,2.52,-2.87,0.408,-0.547,0.436,-0.638
2015,247,67,92,96,8,1.97,-2.6,2.33,-2.1,0.392,-0.61,0.532,-0.558
2016,246,79,88,86,7,1.3,-2.49,2.76,-1.33,0.364,-0.527,0.424,-0.535
2017,247,98,91,66,8,1.54,-0.98,1.5,-0.89,0.248,-0.348,0.33,-0.396
2018,245,69,92,92,8,2.84,-2.46,1.62,-1.76,0.389,-0.422,0.348,-0.524
2019,244,73,93,87,9,1.4,-1.4,1.88,-1.14,0.374,-0.485,0.452,-0.488
2020,251,83,88,84,4,3.67,-5.5,3.94,-3.36,0.671,-0.906,0.834,-0.902
2021,240,91,72,78,1,1.67,-1.71,1.99,-1.92,0.418,-0.499,0.419,-0.659
2022,240,83,80,79,2,1.56,-2.9,2.08,-1.47,0.369,-0.483,0.453,-0.574
2023,237,79,87,76,5,1.01,-1.37,1.28,-2.21,0.25,-0.372,0.248,-0.41
2024,156,71,48,40,3,2.03,-1.37,0.91,-1.26,0.271,-0.451,0.265,-0.426
