Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,251,55,96,108,8,1.1,-1.79,1.67,-1.42,0.333,-0.403,0.421,-0.445
2011,246,68,83,102,7,1.36,-2.93,2.77,-3.1,0.423,-0.585,0.474,-0.566
2012,250,65,99,95,9,1.89,-1.2,2.32,-1.62,0.354,-0.414,0.373,-0.437
2013,249,65,94,101,11,1.21,-1.99,1.73,-2.35,0.325,-0.444,0.373,-0.451
2014,243,70,95,86,8,1.12,-2.3,2.15,-1.31,0.247,-0.361,0.304,-0.422
2015,247,58,99,105,15,0.82,-1.64,1.93,-1.53,0.286,-0.441,0.371,-0.447
2016,246,64,96,98,12,0.94,-1.97,1.83,-0.97,0.258,-0.374,0.297,-0.398
2017,247,77,99,82,11,0.87,-0.77,0.91,-0.77,0.186,-0.259,0.209,-0.32
2018,245,65,89,94,3,1.46,-1.26,1.56,-1.81,0.269,-0.273,0.297,-0.38
2019,244,57,97,99,9,1.28,-0.84,1.4,-0.98,0.264,-0.336,0.336,-0.379
2020,251,71,99,84,3,2.18,-4.17,3.54,-2.98,0.327,-0.511,0.616,-0.562
2021,240,64,94,87,5,0.99,-1.25,1.24,-1.08,0.205,-0.305,0.312,-0.471
2022,240,66,90,85,1,1.16,-1.04,1.91,-1.09,0.256,-0.343,0.341,-0.418
2023,237,74,91,72,0,0.73,-0.64,1.0,-1.31,0.184,-0.223,0.183,-0.29
2024,156,55,57,47,3,1.0,-1.23,0.74,-1.69,0.227,-0.298,0.217,-0.361
