Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,SLHigh,points_from_SL_High,TargetLow,points_from_Target_Low,SLLow,points_from_SL_low,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20190101,13:00,10885.30,10813.65,True,True,True,True,10923.60,38.30,10807.10,-78.20,10807.10,6.55,10923.60,-109.95,10914.90,29.60,-101.25,False
20190102,13:00,10895.35,10781.25,False,True,False,True,0.00,0.00,0.00,0.00,10735.05,46.20,10815.95,-34.70,10784.40,0.00,-3.15,False
20190103,13:00,10814.05,10700.30,False,True,False,True,0.00,0.00,0.00,0.00,10661.25,39.05,10733.25,-32.95,10672.90,0.00,27.40,False
20190104,13:00,10741.05,10628.65,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10732.05,0.00,0.00,True
20190107,13:00,10835.95,10782.05,False,True,False,True,0.00,0.00,0.00,0.00,10750.15,31.90,10817.25,-35.20,10777.90,0.00,4.15,False
20190108,13:00,10798.85,10733.25,True,False,True,False,10818.45,19.60,10756.55,-42.30,0.00,0.00,0.00,0.00,10794.50,-4.35,0.00,False
20190109,13:00,10870.40,10817.30,False,True,False,True,0.00,0.00,0.00,0.00,10749.40,67.90,10865.75,-48.45,10852.55,0.00,-35.25,False
20190110,13:00,10859.20,10811.45,False,True,False,True,0.00,0.00,0.00,0.00,10801.80,9.65,10836.75,-25.30,10818.70,0.00,-7.25,False
20190111,13:00,10850.15,10757.65,False,True,False,True,0.00,0.00,0.00,0.00,10739.40,18.25,10810.05,-52.40,10788.20,0.00,-30.55,False
20190114,13:00,10808.00,10692.35,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10741.40,0.00,0.00,True
20190115,13:00,10861.50,10778.95,True,False,True,False,10896.95,35.45,10839.35,-22.15,0.00,0.00,0.00,0.00,10890.60,29.10,0.00,False
20190116,13:00,10928.15,10879.30,False,True,False,False,0.00,0.00,0.00,0.00,10876.90,2.40,10918.10,-38.80,10889.70,0.00,-10.40,False
20190117,13:00,10929.25,10887.45,True,True,True,True,10930.65,1.40,10844.65,-84.60,10844.65,42.80,10930.65,-43.20,10896.40,-32.85,-8.95,False
20190118,13:00,10928.20,10852.20,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10911.20,0.00,0.00,True
20190121,13:00,10987.45,10885.75,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10950.15,0.00,0.00,True
20190122,13:00,10944.55,10864.15,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10922.75,0.00,0.00,True
20190123,13:00,10944.80,10905.50,False,True,False,True,0.00,0.00,0.00,0.00,10811.95,93.55,10932.90,-27.40,10825.35,0.00,80.15,False
20190124,13:00,10858.40,10798.65,True,False,True,False,10866.60,8.20,10801.85,-56.55,0.00,0.00,0.00,0.00,10860.40,2.00,0.00,False
20190125,13:00,10931.70,10858.20,False,True,False,True,0.00,0.00,0.00,0.00,10756.45,101.75,10906.60,-48.40,10787.20,0.00,71.00,False
20190128,13:00,10804.45,10663.00,False,True,False,True,0.00,0.00,0.00,0.00,10630.95,32.05,10694.00,-31.00,10676.00,0.00,-13.00,False
20190129,13:00,10675.50,10612.00,True,True,True,True,10690.35,14.85,10583.65,-91.85,10583.65,28.35,10690.35,-78.35,10684.50,9.00,-72.50,False
20190130,13:00,10710.20,10622.40,False,True,False,True,0.00,0.00,0.00,0.00,10612.85,9.55,10690.75,-68.35,10646.60,0.00,-24.20,False
20190131,13:00,10760.65,10678.55,True,False,True,False,10838.05,77.40,10747.50,-13.15,0.00,0.00,0.00,0.00,10819.00,58.35,0.00,False
20190201,13:00,10958.75,10835.85,True,True,True,True,10983.45,24.70,10813.45,-145.30,10813.45,22.40,10983.45,-147.60,10898.15,-60.60,-62.30,False
20190204,13:00,10878.75,10829.90,True,True,True,True,10927.90,49.15,10814.15,-64.60,10814.15,15.75,10927.90,-98.00,10910.00,31.25,-80.10,False
20190205,13:00,10949.85,10886.70,True,False,True,False,10956.70,6.85,10916.25,-33.60,0.00,0.00,0.00,0.00,10932.65,-17.20,0.00,False
20190206,13:00,11035.75,10962.70,True,False,True,False,11072.60,36.85,11028.60,-7.15,0.00,0.00,0.00,0.00,11070.15,34.40,0.00,False
20190207,13:00,11118.10,11043.60,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11056.55,0.00,0.00,True
20190208,13:00,11041.20,10961.95,False,True,False,True,0.00,0.00,0.00,0.00,10925.45,36.50,11022.75,-60.80,10932.80,0.00,29.15,False
20190211,13:00,10924.45,10857.10,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10897.70,0.00,0.00,True
20190212,13:00,10910.90,10861.60,False,True,False,True,0.00,0.00,0.00,0.00,10823.80,37.80,10894.70,-33.10,10827.00,0.00,34.60,False
20190213,13:00,10891.65,10837.10,False,True,False,True,0.00,0.00,0.00,0.00,10772.10,65.00,10861.50,-24.40,10779.10,0.00,58.00,False
20190214,13:00,10792.70,10727.10,False,True,False,True,0.00,0.00,0.00,0.00,10718.75,8.35,10783.05,-55.95,10758.30,0.00,-31.20,False
20190215,13:00,10785.75,10620.40,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10726.55,0.00,0.00,True
20190218,13:00,10759.90,10639.50,False,True,False,True,0.00,0.00,0.00,0.00,10628.40,11.10,10681.45,-41.95,10632.40,0.00,7.10,False
20190219,13:00,10712.15,10635.25,True,True,True,True,10722.85,10.70,10585.65,-126.50,10585.65,49.60,10722.85,-87.60,10605.85,-106.30,29.40,False
20190220,13:00,10697.35,10652.20,True,True,True,False,10752.70,55.35,10646.40,-50.95,10646.40,5.80,10752.70,-100.50,10739.20,41.85,-87.00,False
20190221,13:00,10780.55,10721.50,True,False,True,False,10808.85,28.30,10769.80,-10.75,0.00,0.00,0.00,0.00,10791.40,10.85,0.00,False
20190222,13:00,10798.95,10758.40,True,False,True,False,10801.55,2.60,10771.90,-27.05,0.00,0.00,0.00,0.00,10792.95,-6.00,0.00,False
20190225,13:00,10830.10,10788.05,True,False,True,False,10887.10,57.00,10820.80,-9.30,0.00,0.00,0.00,0.00,10881.75,51.65,0.00,False
20190226,13:00,10864.45,10729.30,True,False,True,False,10888.75,24.30,10823.65,-40.80,0.00,0.00,0.00,0.00,10831.95,-32.50,0.00,False
20190227,13:00,10939.70,10751.20,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10800.55,0.00,0.00,True
20190228,13:00,10857.70,10797.45,False,True,False,True,0.00,0.00,0.00,0.00,10784.85,12.60,10844.75,-47.30,10793.90,0.00,3.55,False
20190301,13:00,10871.60,10824.20,True,True,True,False,10877.90,6.30,10823.10,-48.50,10823.10,1.10,10877.90,-53.70,10859.65,-11.95,-35.45,False
20190305,13:00,10919.25,10817.00,True,False,True,False,10994.90,75.65,10908.00,-11.25,0.00,0.00,0.00,0.00,10988.95,69.70,0.00,False
20190306,13:00,11052.45,10998.85,True,False,True,False,11062.30,9.85,11012.35,-40.10,0.00,0.00,0.00,0.00,11054.35,1.90,0.00,False
20190307,13:00,11070.30,11027.10,True,False,True,False,11089.05,18.75,11034.95,-35.35,0.00,0.00,0.00,0.00,11057.50,-12.80,0.00,False
20190308,13:00,11049.00,11008.95,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11038.20,0.00,0.00,True
