Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,SLHigh,points_from_SL_High,TargetLow,points_from_Target_Low,SLLow,points_from_SL_low,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20170102,13:00,8212.00,8133.80,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8175.05,0.00,0.00,True
20170103,13:00,8214.75,8148.60,True,False,True,False,8219.10,4.35,8178.85,-35.90,0.00,0.00,0.00,0.00,8191.65,-23.10,0.00,False
20170104,13:00,8218.50,8180.90,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8195.15,0.00,0.00,True
20170105,13:00,8267.00,8223.70,True,False,True,False,8282.65,15.65,8251.95,-15.05,0.00,0.00,0.00,0.00,8270.35,3.35,0.00,False
20170106,13:00,8306.85,8259.40,False,True,False,True,0.00,0.00,0.00,0.00,8233.25,26.15,8276.20,-16.80,8248.10,0.00,11.30,False
20170109,13:00,8263.00,8227.75,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8231.75,0.00,0.00,True
20170110,13:00,8288.10,8261.00,True,False,True,False,8293.80,5.70,8268.95,-19.15,0.00,0.00,0.00,0.00,8291.35,3.25,0.00,False
20170111,13:00,8367.05,8322.25,True,False,True,False,8389.00,21.95,8359.40,-7.65,0.00,0.00,0.00,0.00,8375.85,8.80,0.00,False
20170112,13:00,8417.20,8382.30,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8407.50,0.00,0.00,True
20170113,13:00,8461.05,8373.65,False,True,False,False,0.00,0.00,0.00,0.00,8373.15,0.50,8407.40,-33.75,8398.95,0.00,-25.30,False
20170116,13:00,8414.95,8374.40,True,False,True,False,8426.70,11.75,8405.65,-9.30,0.00,0.00,0.00,0.00,8415.25,0.30,0.00,False
20170117,13:00,8440.90,8378.30,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8392.25,0.00,0.00,True
20170118,13:00,8460.30,8403.65,False,True,False,True,0.00,0.00,0.00,0.00,8397.40,6.25,8426.60,-22.95,8417.50,0.00,-13.85,False
20170119,13:00,8439.90,8404.05,True,False,True,False,8445.15,5.25,8415.00,-24.90,0.00,0.00,0.00,0.00,8431.50,-8.40,0.00,False
20170120,13:00,8423.65,8384.95,False,True,False,True,0.00,0.00,0.00,0.00,8340.95,44.00,8386.40,-1.45,8349.85,0.00,35.10,False
20170123,13:00,8404.15,8327.20,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8397.00,0.00,0.00,True
20170124,13:00,8445.30,8398.15,True,False,True,False,8480.95,35.65,8427.50,-17.80,0.00,0.00,0.00,0.00,8478.95,33.65,0.00,False
20170125,13:00,8533.10,8493.95,True,False,True,False,8612.60,79.50,8533.05,-0.05,0.00,0.00,0.00,0.00,8605.65,72.55,0.00,False
20170127,13:00,8672.70,8606.90,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8645.95,0.00,0.00,True
20170130,13:00,8650.15,8617.75,True,False,True,False,8662.60,12.45,8625.25,-24.90,0.00,0.00,0.00,0.00,8636.55,-13.60,0.00,False
20170131,13:00,8631.75,8555.15,False,True,False,True,0.00,0.00,0.00,0.00,8552.40,2.75,8603.00,-47.85,8556.85,0.00,-1.70,False
20170201,13:00,8619.30,8537.50,True,False,True,False,8722.40,103.10,8598.55,-20.75,0.00,0.00,0.00,0.00,8716.45,97.15,0.00,False
