Date,Time,DayHigh,DayHighTime,DayLow,DayLowTime,IsDayHighBreak,DayHighBreakTime,IsDayLowBreak,DayLowBreakTime,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,TargetHighTime,points_from_target_high,percentChangeTargetHigh,SLHigh,SLHighTime,points_from_SL_High,percentageChangeSLHigh,TargetLow,TargetLowTime,points_from_Target_Low,percentageChangeTargetLow,SLLow,SLLowTime,points_from_SL_low,percentageChangeSLLow,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20100104,10:30,5224.00,09:15,5167.00,09:15,True,10:34,False,N/A,True,False,5238.00,14:54,14.00,0.27,5211.00,12:15,-13.00,-0.25,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5234.00,10.00,0.00,False
20100105,10:30,5284.00,10:28,5270.00,09:51,True,14:47,True,11:32,True,True,5288.00,14:48,4.00,0.08,5259.00,12:03,-25.00,-0.47,5259.00,12:03,11.00,0.21,5288.00,14:48,-18.00,-0.34,5277.00,-7.00,-7.00,False
20100106,10:30,5297.00,09:41,5266.00,10:12,False,N/A,True,10:34,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5260.00,10:44,6.00,0.11,5293.00,13:07,-27.00,-0.51,5282.00,0.00,-16.00,False
20100107,10:30,5284.20,09:17,5264.50,09:32,False,N/A,True,11:01,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5244.75,13:12,19.75,0.38,5278.50,10:42,-14.00,-0.27,5259.40,0.00,5.10,False
20100108,10:30,5268.95,09:26,5251.30,09:45,True,12:22,True,14:15,True,True,5276.75,13:07,7.80,0.15,5234.70,15:03,-34.25,-0.65,5234.70,15:03,16.60,0.32,5276.75,13:07,-25.45,-0.48,5245.65,-23.30,5.65,False
20100111,10:30,5281.35,09:44,5266.40,09:27,False,N/A,True,11:35,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5238.15,14:56,28.25,0.54,5278.10,11:01,-11.70,-0.22,5254.40,0.00,12.00,False
20100112,10:30,5249.15,09:15,5227.70,09:28,True,11:26,True,13:37,True,True,5272.85,12:00,23.70,0.45,5200.95,14:51,-48.20,-0.92,5200.95,14:51,26.75,0.51,5272.85,12:00,-45.15,-0.86,5206.35,-42.80,21.35,False
20100113,10:30,5218.00,10:16,5188.60,09:19,True,14:06,True,11:20,True,True,5239.20,15:20,21.20,0.41,5172.20,13:26,-45.80,-0.88,5172.20,13:26,16.40,0.32,5239.20,15:20,-50.60,-0.98,5233.85,15.85,-45.25,False
20100114,10:30,5272.85,09:40,5258.50,09:19,False,N/A,True,10:49,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5244.20,13:14,14.30,0.27,5271.30,14:34,-12.80,-0.24,5258.35,0.00,0.15,False
20100115,10:30,5270.85,09:15,5253.50,10:06,False,N/A,True,10:46,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5242.45,15:00,11.05,0.21,5270.70,13:30,-17.20,-0.33,5255.05,0.00,-1.55,False
20100118,10:30,5282.90,10:27,5235.10,09:16,True,11:41,False,N/A,True,False,5292.50,12:13,9.60,0.18,5257.95,14:34,-24.95,-0.47,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5276.40,-6.50,0.00,False
20100119,10:30,5280.70,09:31,5263.95,10:29,False,N/A,True,10:33,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5218.65,15:12,45.30,0.86,5276.45,13:28,-12.50,-0.24,5225.60,0.00,38.35,False
20100120,10:30,5255.80,09:16,5235.50,10:28,False,N/A,True,10:41,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5201.40,14:02,34.10,0.65,5243.50,11:28,-8.00,-0.15,5222.15,0.00,13.35,False
20100121,10:30,5212.55,09:17,5187.25,09:49,False,N/A,True,10:59,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5085.45,14:25,101.80,1.96,5203.10,10:31,-15.85,-0.31,5095.75,0.00,91.50,False
20100122,10:30,5019.45,10:28,4954.85,09:47,True,11:14,False,N/A,True,False,5077.00,12:10,57.55,1.15,5003.65,10:38,-15.80,-0.31,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5029.95,10.50,0.00,False
20100125,10:30,5017.10,09:18,4983.05,09:43,True,13:24,False,N/A,True,False,5035.70,14:21,18.60,0.37,4986.30,12:28,-30.80,-0.61,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,4997.45,-19.65,0.00,False
20100127,10:30,4963.80,09:20,4932.10,09:42,False,N/A,True,11:07,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,4834.50,15:22,97.60,1.98,4953.15,10:32,-21.05,-0.43,4843.60,0.00,88.50,False
20100128,10:30,4918.75,10:25,4884.50,09:15,True,10:35,True,12:15,True,True,4929.90,10:39,11.15,0.23,4824.95,12:54,-93.80,-1.91,4824.95,12:54,59.55,1.22,4929.90,10:39,-45.40,-0.93,4870.55,-48.20,13.95,False
20100129,10:30,4820.40,09:17,4787.15,10:18,True,11:08,True,11:14,True,True,4893.70,14:47,73.30,1.52,4766.00,11:15,-54.40,-1.13,4766.00,11:15,21.15,0.44,4893.70,14:47,-106.55,-2.23,4883.30,62.90,-96.15,False
20100201,10:30,4885.25,10:24,4827.15,09:30,True,10:35,False,N/A,True,False,4918.80,14:28,33.55,0.69,4862.00,11:40,-23.25,-0.48,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,4901.45,16.20,0.00,False
20100202,10:30,4941.20,09:15,4889.15,10:28,False,N/A,True,10:31,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,4814.10,15:04,75.05,1.54,4915.05,11:18,-25.90,-0.53,4829.65,0.00,59.50,False
20100203,10:30,4912.30,10:21,4866.15,09:46,True,10:41,False,N/A,True,False,4949.15,13:27,36.85,0.75,4899.45,10:36,-12.85,-0.26,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,4929.10,16.80,0.00,False
20100204,10:30,4910.05,09:15,4877.25,09:37,True,11:36,True,13:30,True,True,4912.40,11:39,2.35,0.05,4832.35,15:21,-77.70,-1.58,4832.35,15:21,44.90,0.92,4912.40,11:39,-35.15,-0.72,4850.85,-59.20,26.40,False
20100205,10:30,4760.55,09:24,4724.85,10:30,False,N/A,True,10:31,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,4692.35,14:08,32.50,0.69,4749.45,14:48,-24.60,-0.52,4717.10,0.00,7.75,False
20100206,10:30,4759.70,09:15,4712.75,09:15,True,11:02,False,N/A,True,False,4768.00,15:29,8.30,0.17,4712.75,11:01,-46.95,-0.99,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,4767.80,8.10,0.00,False
20100208,10:30,4768.20,09:50,4728.90,10:26,True,13:57,True,10:39,True,True,4799.05,14:26,30.85,0.65,4675.40,11:19,-92.80,-1.95,4675.40,11:19,53.50,1.13,4799.05,14:26,-70.15,-1.48,4753.45,-14.75,-24.55,False
20100209,10:30,4780.00,10:22,4739.35,09:16,True,10:31,False,N/A,True,False,4810.40,13:57,30.40,0.64,4759.85,11:31,-20.15,-0.42,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,4788.40,8.40,0.00,False
20100210,10:30,4810.30,09:15,4764.70,09:43,True,12:48,True,14:42,True,True,4821.15,13:22,10.85,0.23,4748.10,15:08,-62.20,-1.29,4748.10,15:08,16.60,0.35,4821.15,13:22,-56.45,-1.18,4757.55,-52.75,7.15,False
20100211,10:30,4835.75,09:48,4801.65,09:16,True,14:37,False,N/A,True,False,4843.80,14:42,8.05,0.17,4804.85,12:30,-30.90,-0.64,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,4827.15,-8.60,0.00,False
20100215,10:30,4831.10,10:24,4812.05,09:22,True,10:42,True,11:17,True,True,4832.60,10:42,1.50,0.03,4783.90,12:19,-47.20,-0.98,4783.90,12:19,28.15,0.58,4832.60,10:42,-20.55,-0.43,4803.45,-27.65,8.60,False
20100216,10:30,4812.25,09:30,4791.35,09:55,True,10:58,False,N/A,True,False,4876.70,15:29,64.45,1.34,4802.20,11:46,-10.05,-0.21,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,4871.70,59.45,0.00,False
20100217,10:30,4926.80,10:30,4906.00,09:15,True,10:31,True,12:37,True,True,4929.70,10:42,2.90,0.06,4887.45,14:10,-39.35,-0.8,4887.45,14:10,18.55,0.38,4929.70,10:42,-23.70,-0.48,4914.45,-12.35,-8.45,False
20100218,10:30,4912.10,09:43,4890.65,10:19,False,N/A,True,10:39,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,4873.70,14:00,16.95,0.35,4911.55,12:27,-20.90,-0.43,4885.60,0.00,5.05,False
20100219,10:30,4852.05,09:26,4836.60,10:30,True,14:34,True,10:31,True,True,4877.10,14:44,25.05,0.52,4805.55,13:17,-46.50,-0.96,4805.55,13:17,31.05,0.64,4877.10,14:44,-40.50,-0.84,4842.15,-9.90,-5.55,False
20100222,10:30,4912.05,09:21,4892.35,10:09,False,N/A,True,10:42,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,4848.35,15:29,44.00,0.9,4905.00,11:10,-12.65,-0.26,4851.00,0.00,41.35,False
20100223,10:30,4874.95,09:48,4845.60,09:18,True,11:38,False,N/A,True,False,4884.10,11:42,9.15,0.19,4857.50,14:59,-17.45,-0.36,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,4874.85,-0.10,0.00,False
20100224,10:30,4880.55,09:56,4863.65,10:22,False,N/A,True,10:54,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,4845.70,14:42,17.95,0.37,4878.35,14:12,-14.70,-0.3,4858.90,0.00,4.75,False
20100225,10:30,4868.50,09:16,4838.20,10:26,False,N/A,True,11:27,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,4835.60,11:28,2.60,0.05,4866.55,14:32,-28.35,-0.59,4862.80,0.00,-24.60,False
20100226,10:30,4885.05,09:55,4875.15,09:37,True,10:32,True,10:51,True,False,4992.00,12:56,106.95,2.19,4871.20,10:51,-13.85,-0.28,4871.20,10:51,3.95,0.08,4992.00,12:56,-116.85,-2.4,4919.30,34.25,-44.15,False
20100302,10:30,4990.50,09:28,4968.70,10:00,True,11:03,False,N/A,True,False,5029.45,15:29,38.95,0.78,4979.00,10:34,-11.50,-0.23,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5025.75,35.25,0.00,False
20100303,10:30,5062.95,09:47,5042.55,09:23,True,12:01,False,N/A,True,False,5093.25,15:23,30.30,0.6,5045.70,11:08,-17.25,-0.34,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5089.20,26.25,0.00,False
20100304,10:30,5087.30,09:19,5055.40,10:21,False,N/A,True,12:15,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5049.00,12:21,6.40,0.13,5086.50,15:09,-31.10,-0.62,5079.95,0.00,-24.55,False
20100305,10:30,5118.65,09:29,5105.45,10:22,False,N/A,True,11:01,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5068.05,13:08,37.40,0.73,5111.95,11:59,-6.50,-0.13,5086.55,0.00,18.90,False
20100308,10:30,5138.05,09:42,5122.35,09:48,True,11:11,True,13:38,True,True,5145.15,12:56,7.10,0.14,5110.65,14:26,-27.40,-0.53,5110.65,14:26,11.70,0.23,5145.15,12:56,-22.80,-0.45,5121.35,-16.70,1.00,False
20100309,10:30,5122.70,09:24,5104.85,09:37,True,13:22,True,11:03,True,True,5125.30,13:48,2.60,0.05,5095.30,15:20,-27.40,-0.53,5095.30,15:20,9.55,0.19,5125.30,13:48,-20.45,-0.4,5098.00,-24.70,6.85,False
20100310,10:30,5137.40,10:17,5108.50,09:15,False,N/A,True,12:49,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5095.85,14:06,12.65,0.25,5136.55,10:54,-28.05,-0.55,5114.70,0.00,-6.20,False
20100311,10:30,5118.85,10:18,5102.10,09:29,True,11:02,False,N/A,True,False,5147.50,15:29,28.65,0.56,5111.25,10:35,-7.60,-0.15,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5142.70,23.85,0.00,False
20100312,10:30,5156.95,09:51,5143.25,09:23,False,N/A,True,11:02,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5122.10,13:35,21.15,0.41,5153.70,10:33,-10.45,-0.2,5136.55,0.00,6.70,False
20100315,10:30,5124.15,09:49,5112.25,10:12,True,12:25,True,10:46,True,True,5139.15,14:21,15.00,0.29,5101.20,11:08,-22.95,-0.45,5101.20,11:08,11.05,0.22,5139.15,14:21,-26.90,-0.53,5131.95,7.80,-19.70,False
20100316,10:30,5139.75,09:29,5125.70,10:22,True,12:07,False,N/A,True,False,5209.25,15:21,69.50,1.35,5126.85,10:49,-12.90,-0.25,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5201.70,61.95,0.00,False
20100317,10:30,5247.10,10:24,5228.10,09:16,True,10:33,True,14:43,True,True,5260.50,10:37,13.40,0.26,5221.95,14:45,-25.15,-0.48,5221.95,14:45,6.15,0.12,5260.50,10:37,-32.40,-0.62,5232.30,-14.80,-4.20,False
20100318,10:30,5248.45,10:17,5225.60,09:17,True,15:17,True,10:53,True,True,5255.65,15:26,7.20,0.14,5214.40,13:33,-34.05,-0.65,5214.40,13:33,11.20,0.21,5255.65,15:26,-30.05,-0.58,5250.30,1.85,-24.70,False
20100319,10:30,5259.05,09:43,5244.20,10:14,True,11:02,True,13:10,True,True,5269.95,15:16,10.90,0.21,5237.10,13:20,-21.95,-0.42,5237.10,13:20,7.10,0.14,5269.95,15:16,-25.75,-0.49,5256.70,-2.35,-12.50,False
20100322,10:30,5239.00,10:18,5219.10,09:37,True,10:41,True,14:34,True,True,5248.85,11:34,9.85,0.19,5200.05,15:29,-38.95,-0.74,5200.05,15:29,19.05,0.37,5248.85,11:34,-29.75,-0.57,5201.65,-37.35,17.45,False
20100323,10:30,5238.20,09:48,5218.00,10:20,False,N/A,True,10:31,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5193.40,13:19,24.60,0.47,5235.25,14:39,-17.25,-0.33,5223.90,0.00,-5.90,False
20100325,10:30,5224.05,09:15,5207.95,09:41,True,14:20,True,10:53,True,True,5267.30,15:19,43.25,0.83,5202.95,11:03,-21.10,-0.4,5202.95,11:03,5.00,0.1,5267.30,15:19,-59.35,-1.14,5256.10,32.05,-48.15,False
20100326,10:30,5286.15,09:53,5268.30,10:25,True,11:12,False,N/A,True,False,5293.75,13:36,7.60,0.14,5271.90,12:21,-14.25,-0.27,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5276.00,-10.15,0.00,False
20100329,10:30,5305.40,09:26,5292.70,10:30,True,11:54,True,10:32,True,True,5329.55,13:33,24.15,0.46,5286.20,10:50,-19.20,-0.36,5286.20,10:50,6.50,0.12,5329.55,13:33,-36.85,-0.7,5307.05,1.65,-14.35,False
20100330,10:30,5322.75,09:33,5310.25,10:12,False,N/A,True,10:44,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5251.35,15:27,58.90,1.11,5317.75,13:00,-7.50,-0.14,5254.70,0.00,55.55,False
20100331,10:30,5293.90,09:17,5263.80,10:26,False,N/A,True,10:33,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5235.15,15:07,28.65,0.54,5279.20,12:46,-15.40,-0.29,5251.90,0.00,11.90,False
20100401,10:30,5285.30,09:22,5271.45,10:21,True,12:52,True,11:00,True,True,5298.60,14:56,13.30,0.25,5266.30,11:26,-19.00,-0.36,5266.30,11:26,5.15,0.1,5298.60,14:56,-27.15,-0.52,5292.30,7.00,-20.85,False
20100405,10:30,5326.95,09:37,5315.85,09:15,True,10:55,False,N/A,True,False,5373.65,15:12,46.70,0.88,5319.55,10:31,-7.40,-0.14,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5369.10,42.15,0.00,False
20100406,10:30,5371.05,10:16,5351.70,09:26,True,12:22,False,N/A,True,False,5379.85,14:02,8.80,0.16,5353.85,14:59,-17.20,-0.32,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5365.35,-5.70,0.00,False
20100407,10:30,5382.75,10:22,5374.20,09:24,True,11:02,True,12:58,True,True,5399.65,12:16,16.90,0.31,5345.05,14:30,-37.70,-0.7,5345.05,14:30,29.15,0.54,5399.65,12:16,-25.45,-0.47,5375.45,-7.30,-1.25,False
20100408,10:30,5369.40,09:15,5347.90,09:56,False,N/A,True,11:34,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5293.30,15:29,54.60,1.02,5362.95,10:48,-15.05,-0.28,5299.55,0.00,48.35,False
20100409,10:30,5351.80,10:13,5335.55,10:30,True,11:11,True,10:31,True,False,5377.45,13:46,25.65,0.48,5335.25,10:31,-16.55,-0.31,5335.25,10:31,0.30,0.01,5377.45,13:46,-41.90,-0.79,5363.55,11.75,-28.00,False
20100412,10:30,5352.35,09:27,5324.95,09:37,True,11:18,True,14:36,True,False,5366.50,12:46,14.15,0.26,5324.90,14:36,-27.45,-0.51,5324.90,14:36,0.05,0.0,5366.50,12:46,-41.55,-0.78,5341.05,-11.30,-16.10,False
20100413,10:30,5326.50,09:26,5301.70,09:58,True,11:08,False,N/A,True,False,5331.60,11:13,5.10,0.1,5304.80,10:31,-21.70,-0.41,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5324.90,-1.60,0.00,False
20100415,10:30,5362.90,09:29,5347.30,10:23,False,N/A,True,10:31,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5265.30,15:09,82.00,1.53,5349.50,11:18,-2.20,-0.04,5273.00,0.00,74.30,False
20100416,10:30,5277.25,10:25,5237.55,09:32,True,14:04,False,N/A,True,False,5283.05,14:04,5.80,0.11,5241.35,13:29,-35.90,-0.68,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5257.60,-19.65,0.00,False
20100419,10:30,5209.65,09:52,5186.45,09:15,True,13:14,True,10:41,True,True,5217.65,13:37,8.00,0.15,5160.90,12:36,-48.75,-0.94,5160.90,12:36,25.55,0.49,5217.65,13:37,-31.20,-0.6,5200.25,-9.40,-13.80,False
20100420,10:30,5229.50,10:22,5212.60,09:15,True,10:33,True,14:37,True,False,5257.25,12:32,27.75,0.53,5212.35,14:37,-17.15,-0.33,5212.35,14:37,0.25,0.0,5257.25,12:32,-44.65,-0.86,5232.75,3.25,-20.15,False
20100421,10:30,5266.30,10:11,5243.50,09:19,False,N/A,True,12:58,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5232.75,14:33,10.75,0.21,5266.05,11:03,-22.55,-0.43,5244.60,0.00,-1.10,False
20100422,10:30,5236.85,09:53,5221.10,09:15,True,10:40,False,N/A,True,False,5331.80,13:44,94.95,1.81,5229.25,10:31,-7.60,-0.15,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5259.20,22.35,0.00,False
20100423,10:30,5295.80,09:19,5277.65,09:32,True,10:59,True,12:43,True,True,5311.05,11:06,15.25,0.29,5274.90,12:43,-20.90,-0.39,5274.90,12:43,2.75,0.05,5311.05,11:06,-33.40,-0.63,5305.50,9.70,-27.85,False
20100426,10:30,5333.00,09:15,5322.70,09:23,True,10:40,True,11:20,True,True,5338.25,10:44,5.25,0.1,5316.05,15:04,-16.95,-0.32,5316.05,15:04,6.65,0.12,5338.25,10:44,-15.55,-0.29,5321.10,-11.90,1.60,False
20100427,10:30,5330.55,10:02,5310.20,09:20,False,N/A,True,12:52,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5303.00,15:04,7.20,0.14,5329.90,10:51,-19.70,-0.37,5310.15,0.00,0.05,False
20100428,10:30,5267.15,09:41,5244.55,09:24,True,11:24,True,13:39,True,True,5272.25,11:42,5.10,0.1,5202.45,14:21,-64.70,-1.23,5202.45,14:21,42.10,0.8,5272.25,11:42,-27.70,-0.53,5216.30,-50.85,28.25,False
20100429,10:30,5240.85,09:20,5229.55,09:29,True,11:46,True,10:46,True,True,5264.75,15:27,23.90,0.46,5223.20,10:52,-17.65,-0.34,5223.20,10:52,6.35,0.12,5264.75,15:27,-35.20,-0.67,5256.90,16.05,-27.35,False
20100430,10:30,5294.80,10:16,5273.65,09:22,False,N/A,True,11:37,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5266.20,15:12,7.45,0.14,5293.30,10:38,-19.65,-0.37,5276.70,0.00,-3.05,False
20100503,10:30,5249.50,09:20,5232.95,10:29,True,12:12,True,12:48,True,True,5249.85,12:12,0.35,0.01,5210.05,14:50,-39.45,-0.75,5210.05,14:50,22.90,0.44,5249.85,12:12,-16.90,-0.32,5223.65,-25.85,9.30,False
20100504,10:30,5240.60,09:18,5225.10,09:33,True,10:39,True,11:38,True,True,5247.95,10:58,7.35,0.14,5134.85,15:29,-105.75,-2.02,5134.85,15:29,90.25,1.73,5247.95,10:58,-22.85,-0.44,5137.45,-103.15,87.65,False
20100505,10:30,5091.75,10:09,5056.50,09:24,True,11:48,False,N/A,True,False,5134.85,15:24,43.10,0.85,5067.90,13:32,-23.85,-0.47,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5130.95,39.20,0.00,False
20100506,10:30,5115.50,09:16,5083.25,10:13,True,14:31,True,11:01,True,True,5115.95,14:31,0.45,0.01,5037.75,12:33,-77.75,-1.52,5037.75,12:33,45.50,0.9,5115.95,14:31,-32.70,-0.64,5089.60,-25.90,-6.35,False
20100507,10:30,5039.50,09:45,5016.80,10:23,True,10:59,True,10:53,True,True,5046.25,13:52,6.75,0.13,4984.60,12:26,-54.90,-1.09,4984.60,12:26,32.20,0.64,5046.25,13:52,-29.45,-0.59,5028.10,-11.40,-11.30,False
20100510,10:30,5099.80,10:06,5084.00,09:27,True,10:51,False,N/A,True,False,5201.85,15:29,102.05,2.0,5090.95,10:41,-8.85,-0.17,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5199.30,99.50,0.00,False
20100511,10:30,5190.90,09:31,5160.65,10:05,False,N/A,True,11:05,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5126.50,14:24,34.15,0.66,5173.30,10:42,-12.65,-0.25,5132.45,0.00,28.20,False
20100512,10:30,5166.30,09:38,5134.10,10:25,True,13:45,True,10:41,True,True,5172.85,13:51,6.55,0.13,5098.80,12:01,-67.50,-1.31,5098.80,12:01,35.30,0.69,5172.85,13:51,-38.75,-0.75,5152.20,-14.10,-18.10,False
20100513,10:30,5200.60,09:33,5188.90,10:05,True,11:42,True,10:41,True,True,5212.70,12:07,12.10,0.23,5167.30,14:34,-33.30,-0.64,5167.30,14:34,21.60,0.42,5212.70,12:07,-23.80,-0.46,5177.90,-22.70,11.00,False
20100514,10:30,5188.10,10:21,5160.30,09:29,True,10:51,True,12:53,True,True,5192.75,11:01,4.65,0.09,5070.95,15:29,-117.15,-2.26,5070.95,15:29,89.35,1.73,5192.75,11:01,-32.45,-0.63,5073.85,-114.25,86.45,False
20100517,10:30,5006.95,09:47,4976.90,10:20,True,12:47,True,10:57,True,True,5072.90,15:12,65.95,1.32,4966.25,12:08,-40.70,-0.81,4966.25,12:08,10.65,0.21,5072.90,15:12,-96.00,-1.93,5061.45,54.50,-84.55,False
20100518,10:30,5057.55,10:24,5024.25,09:55,True,11:50,False,N/A,True,False,5105.20,13:08,47.65,0.94,5027.55,10:51,-30.00,-0.59,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5068.15,10.60,0.00,False
20100519,10:30,5018.80,09:19,4991.80,09:54,True,10:59,True,11:54,True,True,5020.60,11:00,1.80,0.04,4908.15,14:56,-110.65,-2.2,4908.15,14:56,83.65,1.68,5020.60,11:00,-28.80,-0.58,4919.60,-99.20,72.20,False
20100520,10:30,4966.60,09:15,4926.30,09:51,True,12:41,True,14:50,True,False,4980.25,13:22,13.65,0.27,4926.25,14:50,-40.35,-0.81,4926.25,14:50,0.05,0.0,4980.25,13:22,-53.95,-1.1,4952.70,-13.90,-26.40,False
20100521,10:30,4890.55,10:21,4856.20,09:15,True,11:09,False,N/A,True,False,4943.45,15:01,52.90,1.08,4872.35,10:41,-18.20,-0.37,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,4929.85,39.30,0.00,False
20100524,10:30,5004.15,10:12,4982.40,09:24,True,11:52,True,13:34,True,True,5029.55,12:39,25.40,0.51,4923.45,15:29,-80.70,-1.61,4923.45,15:29,58.95,1.18,5029.55,12:39,-47.15,-0.95,4927.35,-76.80,55.05,False
20100525,10:30,4881.35,09:18,4850.45,10:26,False,N/A,True,11:01,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,4786.45,14:54,64.00,1.32,4863.90,10:50,-13.45,-0.28,4807.65,0.00,42.80,False
20100526,10:30,4884.70,09:50,4864.85,09:15,True,11:01,True,12:00,True,True,4925.45,15:17,40.75,0.83,4860.10,12:57,-24.60,-0.5,4860.10,12:57,4.75,0.1,4925.45,15:17,-60.60,-1.25,4910.75,26.05,-45.90,False
20100527,10:30,4949.65,10:24,4904.60,09:15,True,12:14,False,N/A,True,False,5016.60,15:28,66.95,1.35,4923.25,11:09,-26.40,-0.53,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5010.70,61.05,0.00,False
20100528,10:30,5061.45,09:58,5034.15,10:30,True,14:13,True,10:31,True,True,5077.25,15:11,15.80,0.31,5017.45,10:42,-44.00,-0.87,5017.45,10:42,16.70,0.33,5077.25,15:11,-43.10,-0.86,5061.00,-0.45,-26.85,False
20100531,10:30,5076.45,09:23,5054.30,09:57,True,10:57,True,12:27,True,True,5097.60,15:26,21.15,0.42,5038.55,13:41,-37.90,-0.75,5038.55,13:41,15.75,0.31,5097.60,15:26,-43.30,-0.86,5092.05,15.60,-37.75,False
20100601,10:30,5068.65,09:15,5046.70,10:09,False,N/A,True,11:31,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,4961.05,15:24,85.65,1.7,5064.40,10:57,-17.70,-0.35,4965.65,0.00,81.05,False
