Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,percentChangeTargetHigh,SLHigh,points_from_SL_High,percentageChangeSLHigh,TargetLow,points_from_Target_Low,percentageChangeTargetLow,SLLow,points_from_SL_low,percentageChangeSLLow,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20120102,10:30,4645.95,4607.00,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,4588.05,18.95,0.41,4643.40,-36.40,-0.79,4636.90,0.00,-29.90,False
20120103,10:30,4726.90,4676.40,True,False,True,False,4773.10,46.20,0.98,4717.15,-9.75,-0.21,0.00,0.00,0.0,0.00,0.00,0.0,4760.75,33.85,0.00,False
20120104,10:30,4777.05,4746.65,True,True,True,True,4782.85,5.80,0.12,4728.85,-48.20,-1.01,4728.85,17.80,0.38,4782.85,-36.20,-0.76,4742.35,-34.70,4.30,False
20120105,10:30,4774.90,4745.50,True,True,True,True,4779.80,4.90,0.1,4730.15,-44.75,-0.94,4730.15,15.35,0.32,4779.80,-34.30,-0.72,4747.00,-27.90,-1.50,False
20120106,10:30,4740.50,4710.30,True,True,True,True,4794.90,54.40,1.15,4686.85,-53.65,-1.13,4686.85,23.45,0.5,4794.90,-84.60,-1.8,4758.95,18.45,-48.65,False
20120107,10:30,4758.20,4754.05,True,True,True,True,4759.40,1.20,0.03,4743.05,-15.15,-0.32,4743.05,11.00,0.23,4759.40,-5.35,-0.11,4746.90,-11.30,7.15,False
20120109,10:30,4743.90,4695.45,True,False,True,False,4758.70,14.80,0.31,4703.90,-40.00,-0.84,0.00,0.00,0.0,0.00,0.00,0.0,4746.70,2.80,0.00,False
20120110,10:30,4818.15,4768.25,True,False,True,False,4855.90,37.75,0.78,4811.50,-6.65,-0.14,0.00,0.00,0.0,0.00,0.00,0.0,4849.50,31.35,0.00,False
20120111,10:30,4864.05,4841.60,True,False,True,False,4877.20,13.15,0.27,4842.25,-21.80,-0.45,0.00,0.00,0.0,0.00,0.00,0.0,4859.95,-4.10,0.00,False
20120112,10:30,4860.35,4835.20,True,True,True,True,4869.00,8.65,0.18,4803.90,-56.45,-1.16,4803.90,31.30,0.65,4869.00,-33.80,-0.7,4837.80,-22.55,-2.60,False
20120113,10:30,4868.35,4842.65,True,True,True,True,4898.85,30.50,0.63,4834.20,-34.15,-0.7,4834.20,8.45,0.17,4898.85,-56.20,-1.16,4871.30,2.95,-28.65,False
20120116,10:30,4852.05,4827.05,True,False,True,False,4880.75,28.70,0.59,4829.15,-22.90,-0.47,0.00,0.00,0.0,0.00,0.00,0.0,4877.85,25.80,0.00,False
20120117,10:30,4948.05,4904.00,True,False,True,False,4975.55,27.50,0.56,4941.75,-6.30,-0.13,0.00,0.00,0.0,0.00,0.00,0.0,4962.60,14.55,0.00,False
20120118,10:30,4980.65,4949.35,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,4931.05,18.30,0.37,4976.90,-27.55,-0.56,4954.45,0.00,-5.10,False
20120119,10:30,5014.85,4991.40,True,False,True,False,5023.80,8.95,0.18,4994.70,-20.15,-0.4,0.00,0.00,0.0,0.00,0.00,0.0,5014.75,-0.10,0.00,False
20120120,10:30,5050.70,5025.30,True,True,True,True,5064.15,13.45,0.27,5004.30,-46.40,-0.92,5004.30,21.00,0.42,5064.15,-38.85,-0.77,5047.10,-3.60,-21.80,False
