Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,SLHigh,points_from_SL_High,TargetLow,points_from_Target_Low,SLLow,points_from_SL_low,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow
20150101,11:45,18735.10,18638.85,True,False,True,False,18781.55,46.45,18690.50,-44.60,18638.85,0.00,18638.85,0.00,18753.45,18.35,-114.60
20150102,11:45,19055.90,18774.10,True,False,True,False,19118.85,62.95,19011.60,-44.30,18774.10,0.00,18774.10,0.00,19088.95,33.05,-314.85
20150105,11:45,19166.00,19007.65,False,True,False,True,19166.00,0.00,19166.00,0.00,18987.70,19.95,19081.70,-74.05,19018.20,-147.80,-10.55
20150106,11:45,18871.30,18614.70,False,True,False,True,18871.30,0.00,18871.30,0.00,18388.30,226.40,18714.05,-99.35,18419.05,-452.25,195.65
20150107,11:45,18482.05,18260.35,False,True,False,True,18482.05,0.00,18482.05,0.00,18211.50,48.85,18394.90,-134.55,18356.40,-125.65,-96.05
20150108,11:45,18615.30,18486.20,True,False,True,False,18752.30,137.00,18541.55,-73.75,18486.20,0.00,18486.20,0.00,18696.05,80.75,-209.85
20150109,11:45,18864.00,18685.65,False,True,False,True,18864.00,0.00,18864.00,0.00,18479.65,206.00,18719.65,-34.00,18606.45,-257.55,79.20
20150112,11:45,18787.70,18530.10,True,False,True,False,18822.05,34.35,18629.30,-158.40,18530.10,0.00,18530.10,0.00,18813.15,25.45,-283.05
20150113,11:45,18920.65,18813.80,False,True,False,True,18920.65,0.00,18920.65,0.00,18642.80,171.00,18917.05,-103.25,18713.75,-206.90,100.05
20150114,11:45,18769.65,18621.75,False,True,False,True,18769.65,0.00,18769.65,0.00,18517.90,103.85,18677.50,-55.75,18627.15,-142.50,-5.40
20150115,11:45,19410.40,19061.35,False,False,False,False,19410.40,0.00,19410.40,0.00,19061.35,0.00,19061.35,0.00,19149.50,-260.90,-88.15
20150116,11:45,19271.50,19108.35,True,False,True,False,19275.80,4.30,19182.95,-88.55,19108.35,0.00,19108.35,0.00,19210.70,-60.80,-102.35
20150119,11:45,19434.20,19299.10,False,False,False,False,19434.20,0.00,19434.20,0.00,19299.10,0.00,19299.10,0.00,19401.05,-33.15,-101.95
20150120,11:45,19577.85,19460.90,True,False,True,False,19808.25,230.40,19523.10,-54.75,19460.90,0.00,19460.90,0.00,19774.75,196.90,-313.85
20150121,11:45,19964.95,19803.15,False,False,False,False,19964.95,0.00,19964.95,0.00,19803.15,0.00,19803.15,0.00,19835.05,-129.90,-31.90
20150122,11:45,19937.00,19788.70,True,False,True,False,19964.25,27.25,19811.60,-125.40,19788.70,0.00,19788.70,0.00,19944.15,7.15,-155.45
20150123,11:45,20167.65,19967.35,False,False,False,False,20167.65,0.00,20167.65,0.00,19967.35,0.00,19967.35,0.00,20036.60,-131.05,-69.25
20150127,11:45,20260.35,20098.25,True,False,True,False,20609.25,348.90,20174.70,-85.65,20098.25,0.00,20098.25,0.00,20544.95,284.60,-446.70
20150128,11:45,20695.70,20477.25,True,True,True,True,20907.55,211.85,20435.00,-260.70,20435.00,42.25,20907.55,-430.30,20458.25,-237.45,19.00
20150129,11:45,20472.35,20338.95,True,False,True,False,20579.00,106.65,20360.85,-111.50,20338.95,0.00,20338.95,0.00,20512.25,39.90,-173.30
20150130,11:45,20584.70,20036.30,False,True,False,True,20584.70,0.00,20584.70,0.00,19732.45,303.85,20118.25,-81.95,19838.70,-746.00,197.60
20150202,11:45,19745.05,19594.65,True,True,True,True,19991.40,246.35,19564.50,-180.55,19564.50,30.15,19991.40,-396.75,19898.75,153.70,-304.10
20150203,11:45,19963.70,19642.15,False,True,False,True,19963.70,0.00,19963.70,0.00,19303.50,338.65,19681.55,-39.40,19306.10,-657.60,336.05
20150204,11:45,19378.30,19113.35,False,False,False,False,19378.30,0.00,19378.30,0.00,19113.35,0.00,19113.35,0.00,19128.35,-249.95,-15.00
