Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,percentChangeTargetHigh,SLHigh,points_from_SL_High,percentageChangeSLHigh,TargetLow,points_from_Target_Low,percentageChangeTargetLow,SLLow,points_from_SL_low,percentageChangeSLLow,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20100104,09:30,5224.00,5167.00,True,False,True,False,5238.00,14.00,0.27,5167.00,-57.00,-1.09,0.00,0.00,0.0,0.00,0.00,0.0,5234.00,10.00,0.00,False
20100105,09:30,5279.00,5272.00,True,True,True,True,5288.00,9.00,0.17,5259.00,-20.00,-0.38,5259.00,13.00,0.25,5288.00,-16.00,-0.3,5277.00,-2.00,-5.00,False
20100106,09:30,5292.00,5281.00,True,True,True,True,5297.00,5.00,0.09,5260.00,-32.00,-0.6,5260.00,21.00,0.4,5297.00,-16.00,-0.3,5282.00,-10.00,-1.00,False
20100107,09:30,5284.20,5267.90,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5244.75,23.15,0.44,5279.20,-11.30,-0.21,5259.40,0.00,8.50,False
20100108,09:30,5268.95,5259.35,True,True,True,True,5276.75,7.80,0.15,5234.70,-34.25,-0.65,5234.70,24.65,0.47,5276.75,-17.40,-0.33,5245.65,-23.30,13.70,False
20100111,09:30,5278.20,5266.40,True,True,True,True,5281.35,3.15,0.06,5238.15,-40.05,-0.76,5238.15,28.25,0.54,5281.35,-14.95,-0.28,5254.40,-23.80,12.00,False
20100112,09:30,5249.15,5227.70,True,True,True,True,5272.85,23.70,0.45,5200.95,-48.20,-0.92,5200.95,26.75,0.51,5272.85,-45.15,-0.86,5206.35,-42.80,21.35,False
20100113,09:30,5199.80,5188.60,True,True,True,True,5239.20,39.40,0.76,5172.20,-27.60,-0.53,5172.20,16.40,0.32,5239.20,-50.60,-0.98,5233.85,34.05,-45.25,False
20100114,09:30,5268.55,5258.50,True,True,True,True,5272.85,4.30,0.08,5244.20,-24.35,-0.46,5244.20,14.30,0.27,5272.85,-14.35,-0.27,5258.35,-10.20,0.15,False
20100115,09:30,5270.85,5254.20,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5242.45,11.75,0.22,5270.70,-16.50,-0.31,5255.05,0.00,-0.85,False
20100118,09:30,5247.50,5235.10,True,False,True,False,5292.50,45.00,0.86,5245.05,-2.45,-0.05,0.00,0.00,0.0,0.00,0.00,0.0,5276.40,28.90,0.00,False
20100119,09:30,5280.65,5272.15,True,True,True,True,5280.70,0.05,0.0,5218.65,-62.00,-1.17,5218.65,53.50,1.01,5280.70,-8.55,-0.16,5225.60,-55.05,46.55,False
20100120,09:30,5255.80,5246.60,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5201.40,45.20,0.86,5254.80,-8.20,-0.16,5222.15,0.00,24.45,False
20100121,09:30,5212.55,5194.15,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5085.45,108.70,2.09,5203.45,-9.30,-0.18,5095.75,0.00,98.40,False
20100122,09:30,5012.55,4969.70,True,True,True,True,5077.00,64.45,1.29,4954.85,-57.70,-1.15,4954.85,14.85,0.3,5077.00,-107.30,-2.16,5029.95,17.40,-60.25,False
20100125,09:30,5017.10,4989.55,True,True,True,True,5035.70,18.60,0.37,4983.05,-34.05,-0.68,4983.05,6.50,0.13,5035.70,-46.15,-0.92,4997.45,-19.65,-7.90,False
20100127,09:30,4963.80,4943.85,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,4834.50,109.35,2.21,4959.15,-15.30,-0.31,4843.60,0.00,100.25,False
20100128,09:30,4904.75,4884.50,True,True,True,True,4929.90,25.15,0.51,4824.95,-79.80,-1.63,4824.95,59.55,1.22,4929.90,-45.40,-0.93,4870.55,-34.20,13.95,False
20100129,09:30,4820.40,4792.70,True,True,True,True,4893.70,73.30,1.52,4766.00,-54.40,-1.13,4766.00,26.70,0.56,4893.70,-101.00,-2.11,4883.30,62.90,-90.60,False
20100201,09:30,4852.25,4827.15,True,False,True,False,4918.80,66.55,1.37,4827.85,-24.40,-0.5,0.00,0.00,0.0,0.00,0.00,0.0,4901.45,49.20,0.00,False
20100202,09:30,4941.20,4923.40,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,4814.10,109.30,2.22,4929.90,-6.50,-0.13,4829.65,0.00,93.75,False
20100203,09:30,4879.40,4867.50,True,True,True,False,4949.15,69.75,1.43,4866.15,-13.25,-0.27,4866.15,1.35,0.03,4949.15,-81.65,-1.68,4929.10,49.70,-61.60,False
20100204,09:30,4910.05,4889.05,True,True,True,True,4912.40,2.35,0.05,4832.35,-77.70,-1.58,4832.35,56.70,1.16,4912.40,-23.35,-0.48,4850.85,-59.20,38.20,False
20100205,09:30,4760.55,4744.05,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,4692.35,51.70,1.09,4759.25,-15.20,-0.32,4717.10,0.00,26.95,False
20100206,09:30,4759.70,4712.75,True,False,True,False,4768.00,8.30,0.17,4712.75,-46.95,-0.99,0.00,0.00,0.0,0.00,0.00,0.0,4767.80,8.10,0.00,False
