Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,251,2,176,191,118,2.19,-2.2,2.29,-2.4,0.459,-0.64,0.547,-0.591
2011,246,6,143,182,85,2.42,-3.89,2.77,-3.02,0.644,-0.941,0.709,-0.816
2012,250,2,159,187,98,2.06,-3.08,2.58,-3.05,0.478,-0.633,0.473,-0.635
2013,249,12,142,163,68,1.9,-3.06,3.28,-2.89,0.497,-0.646,0.579,-0.565
2014,243,8,141,167,73,2.34,-2.53,2.15,-2.93,0.363,-0.533,0.42,-0.515
2015,247,5,146,165,69,2.56,-1.89,2.94,-2.93,0.448,-0.555,0.548,-0.544
2016,246,4,143,164,65,1.61,-3.23,2.56,-1.91,0.386,-0.553,0.449,-0.479
2017,247,14,139,152,58,1.6,-1.1,1.24,-1.97,0.256,-0.345,0.284,-0.356
2018,245,6,140,156,57,1.83,-2.0,3.53,-2.74,0.363,-0.454,0.423,-0.483
2019,244,5,148,164,73,5.97,-2.96,1.88,-2.06,0.4,-0.555,0.459,-0.492
2020,251,7,157,153,66,11.24,-5.41,4.73,-5.87,0.642,-0.927,0.777,-0.768
2021,240,6,146,150,62,1.85,-1.99,2.2,-1.7,0.358,-0.517,0.528,-0.527
2022,240,8,142,149,59,2.21,-1.81,2.66,-1.81,0.409,-0.573,0.494,-0.571
2023,237,14,142,136,55,0.81,-0.92,2.03,-1.31,0.254,-0.366,0.327,-0.367
2024,156,6,96,88,34,2.51,-1.39,4.95,-1.94,0.376,-0.426,0.44,-0.497
