Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,251,8,159,177,93,2.0,-2.26,2.29,-2.4,0.466,-0.621,0.537,-0.575
2011,246,10,138,169,71,2.27,-3.89,2.77,-3.02,0.601,-0.911,0.686,-0.803
2012,250,5,148,170,73,2.06,-2.33,2.52,-3.05,0.47,-0.612,0.479,-0.591
2013,249,14,136,154,55,1.9,-3.06,3.28,-2.39,0.486,-0.628,0.556,-0.535
2014,243,17,134,156,64,1.91,-2.69,2.15,-2.29,0.337,-0.534,0.404,-0.52
2015,247,10,131,159,53,2.56,-1.89,2.4,-1.72,0.443,-0.527,0.52,-0.539
2016,246,9,135,159,57,1.56,-3.23,2.56,-2.04,0.371,-0.55,0.416,-0.498
2017,247,20,130,146,49,1.6,-1.04,1.22,-2.16,0.247,-0.337,0.259,-0.363
2018,245,10,129,142,36,1.83,-2.0,3.53,-1.93,0.35,-0.435,0.417,-0.429
2019,244,11,136,153,56,5.96,-3.5,1.88,-1.73,0.389,-0.522,0.445,-0.48
2020,251,17,140,144,50,6.72,-4.46,4.54,-4.14,0.587,-0.833,0.755,-0.688
2021,240,14,128,142,44,1.65,-1.61,2.09,-1.7,0.34,-0.484,0.474,-0.556
2022,240,15,132,135,42,2.21,-1.81,2.36,-1.85,0.393,-0.548,0.474,-0.562
2023,237,25,127,123,38,0.81,-0.92,2.03,-1.31,0.254,-0.348,0.317,-0.339
2024,156,11,88,80,23,2.51,-1.39,4.95,-1.66,0.37,-0.409,0.41,-0.478
