Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,251,38,109,125,21,1.14,-1.79,1.67,-1.47,0.345,-0.485,0.43,-0.499
2011,246,51,92,115,12,1.44,-3.89,2.77,-3.1,0.481,-0.71,0.522,-0.614
2012,250,48,106,114,18,1.94,-1.53,2.32,-1.48,0.371,-0.466,0.381,-0.471
2013,249,52,101,111,15,1.25,-1.99,2.48,-2.35,0.349,-0.489,0.404,-0.495
2014,243,55,104,95,11,1.12,-1.54,2.15,-1.31,0.276,-0.388,0.351,-0.41
2015,247,45,107,115,20,1.0,-1.64,2.16,-1.53,0.323,-0.455,0.408,-0.482
2016,246,44,109,112,19,1.5,-1.97,2.09,-1.07,0.286,-0.454,0.315,-0.43
2017,247,62,108,95,18,0.99,-0.77,0.91,-0.79,0.191,-0.293,0.21,-0.329
2018,245,46,104,101,6,1.64,-1.26,1.56,-1.81,0.291,-0.317,0.321,-0.401
2019,244,49,101,109,15,1.3,-1.19,1.4,-1.35,0.309,-0.364,0.365,-0.42
2020,251,51,108,102,10,2.38,-3.88,3.74,-3.6,0.36,-0.601,0.614,-0.68
2021,240,53,101,97,11,0.99,-1.57,1.55,-1.11,0.233,-0.362,0.36,-0.485
2022,240,51,102,94,7,1.5,-2.1,1.91,-1.31,0.265,-0.41,0.365,-0.458
2023,237,61,96,84,4,0.81,-0.64,1.77,-1.31,0.205,-0.237,0.218,-0.305
2024,156,45,64,50,3,1.0,-1.23,0.87,-1.49,0.234,-0.325,0.249,-0.371
