Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,251,0,190,203,142,2.23,-2.2,2.29,-2.4,0.497,-0.629,0.572,-0.592
2011,246,1,158,190,103,3.03,-3.89,2.94,-3.02,0.674,-0.962,0.778,-0.8
2012,250,0,170,196,116,2.06,-3.03,15.16,-3.05,0.48,-0.651,0.574,-0.631
2013,249,6,160,180,97,1.9,-3.06,3.44,-2.37,0.504,-0.664,0.594,-0.599
2014,243,5,151,175,88,2.63,-4.41,2.16,-4.12,0.392,-0.565,0.451,-0.52
2015,247,3,161,177,94,2.56,-2.21,2.94,-2.93,0.469,-0.587,0.577,-0.547
2016,246,4,152,173,83,1.73,-3.23,2.83,-1.95,0.411,-0.582,0.502,-0.467
2017,247,3,152,172,80,1.6,-1.3,1.4,-1.96,0.273,-0.377,0.304,-0.359
2018,245,0,156,170,81,1.86,-4.15,3.53,-2.09,0.391,-0.482,0.459,-0.463
2019,244,3,157,174,90,5.97,-2.96,2.07,-2.06,0.428,-0.577,0.497,-0.502
2020,251,1,172,177,99,11.24,-7.19,5.93,-19.71,0.677,-0.971,0.78,-0.949
2021,240,0,161,168,89,2.05,-1.85,2.23,-1.7,0.382,-0.549,0.552,-0.544
2022,240,0,155,163,78,2.21,-1.81,2.85,-2.95,0.463,-0.58,0.534,-0.593
2023,237,4,160,161,88,0.94,-1.35,2.03,-1.31,0.276,-0.394,0.342,-0.39
2024,156,2,105,106,57,2.51,-1.39,4.95,-2.19,0.42,-0.456,0.454,-0.491
