Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,212,0,159,153,100,3.19,-3.99,3.78,-3.57,0.693,-0.753,0.743,-0.722
2011,246,2,167,177,100,3.46,-5.41,4.47,-3.84,0.891,-1.175,1.041,-1.023
2012,250,0,177,181,108,3.32,-3.94,13.3,-4.02,0.759,-0.963,0.862,-0.87
2013,249,4,166,175,96,4.54,-6.43,6.06,-5.53,0.795,-0.985,0.932,-0.96
2014,243,2,161,157,77,5.34,-6.03,2.83,-7.36,0.733,-0.828,0.671,-0.869
2015,247,2,159,173,87,3.61,-2.68,3.63,-4.36,0.714,-0.796,0.811,-0.797
2016,246,6,162,157,79,2.35,-3.55,3.37,-3.2,0.596,-0.759,0.686,-0.727
2017,247,13,158,147,71,2.53,-2.05,1.77,-2.77,0.375,-0.498,0.4,-0.515
2018,245,3,164,162,84,3.13,-2.46,4.56,-4.2,0.514,-0.612,0.493,-0.667
2019,244,0,161,158,75,9.09,-3.63,3.88,-3.96,0.629,-0.697,0.666,-0.685
2020,251,3,162,173,87,12.44,-8.02,7.22,-19.97,1.208,-1.461,1.23,-1.448
2021,240,5,151,162,78,3.15,-3.26,3.0,-3.2,0.668,-0.907,0.748,-0.844
2022,240,1,162,153,76,2.85,-2.81,3.08,-3.91,0.612,-0.748,0.688,-0.794
2023,237,5,153,164,85,1.45,-2.01,2.21,-2.14,0.385,-0.563,0.459,-0.545
2024,156,3,97,97,41,3.95,-2.62,5.47,-5.52,0.563,-0.675,0.624,-0.655
