Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,251,43,104,116,12,1.14,-1.79,1.67,-1.42,0.342,-0.45,0.432,-0.477
2011,246,59,87,108,8,1.41,-2.25,2.77,-3.1,0.456,-0.626,0.503,-0.604
2012,250,58,103,103,14,1.89,-1.53,2.32,-1.48,0.364,-0.46,0.39,-0.449
2013,249,60,97,104,12,1.21,-1.99,1.73,-2.35,0.338,-0.465,0.395,-0.46
2014,243,61,100,91,9,1.12,-1.88,2.15,-1.31,0.266,-0.374,0.332,-0.413
2015,247,53,103,108,17,0.9,-1.64,1.93,-1.53,0.305,-0.454,0.393,-0.461
2016,246,56,102,103,15,1.23,-1.97,2.09,-0.97,0.272,-0.416,0.317,-0.401
2017,247,68,108,88,17,0.87,-0.77,0.91,-0.79,0.183,-0.284,0.215,-0.328
2018,245,53,100,97,5,1.64,-1.26,1.56,-1.81,0.278,-0.313,0.307,-0.397
2019,244,56,99,101,12,1.3,-1.05,1.4,-1.16,0.291,-0.348,0.361,-0.4
2020,251,60,104,94,7,2.18,-3.88,3.74,-3.44,0.341,-0.588,0.603,-0.599
2021,240,58,97,92,7,0.99,-1.18,1.54,-1.08,0.228,-0.327,0.351,-0.456
2022,240,59,98,88,5,1.5,-1.41,1.91,-1.27,0.263,-0.393,0.357,-0.451
2023,237,65,94,80,2,0.81,-0.64,1.35,-1.31,0.194,-0.236,0.2,-0.299
2024,156,53,58,48,3,1.0,-1.23,0.74,-1.69,0.239,-0.315,0.231,-0.376
