Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,212,47,91,81,7,2.1,-1.93,3.16,-3.26,0.495,-0.509,0.577,-0.54
2011,246,61,89,103,7,2.95,-3.02,3.54,-2.71,0.57,-0.806,0.646,-0.717
2012,250,46,105,102,3,2.82,-1.77,2.87,-2.05,0.501,-0.64,0.494,-0.602
2013,249,62,95,101,9,2.08,-2.15,2.89,-1.59,0.496,-0.652,0.571,-0.67
2014,243,82,88,78,5,2.38,-2.97,2.52,-3.18,0.444,-0.551,0.473,-0.638
2015,247,57,97,104,11,1.97,-2.6,2.39,-1.79,0.417,-0.652,0.532,-0.598
2016,246,74,93,89,10,1.54,-3.4,2.84,-1.5,0.406,-0.595,0.445,-0.563
2017,247,88,94,73,8,1.56,-0.98,1.5,-0.91,0.266,-0.347,0.332,-0.406
2018,245,58,102,97,12,2.99,-2.46,1.62,-1.76,0.394,-0.456,0.348,-0.548
2019,244,63,100,91,10,1.64,-1.4,2.58,-1.46,0.398,-0.501,0.473,-0.514
2020,251,75,91,92,7,4.34,-4.8,3.94,-3.55,0.707,-0.969,0.835,-0.947
2021,240,85,75,82,2,1.67,-2.08,2.11,-1.92,0.453,-0.521,0.469,-0.644
2022,240,78,85,81,4,2.26,-2.82,2.3,-1.59,0.38,-0.573,0.479,-0.608
2023,237,67,92,85,7,1.02,-1.5,1.28,-2.03,0.255,-0.398,0.268,-0.43
2024,156,65,51,43,3,2.15,-1.37,0.91,-1.26,0.297,-0.43,0.27,-0.437
