Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,212,130,49,33,0,1.41,-0.52,2.52,-0.79,0.304,-0.212,0.391,-0.252
2011,246,157,40,49,0,1.0,-1.48,1.14,-1.0,0.335,-0.328,0.362,-0.351
2012,250,148,57,45,0,1.12,-1.02,1.07,-0.74,0.308,-0.25,0.247,-0.325
2013,249,141,51,57,0,1.49,-1.15,1.71,-1.08,0.29,-0.303,0.313,-0.338
2014,243,158,45,40,0,0.85,-0.54,1.46,-0.71,0.215,-0.242,0.274,-0.293
2015,247,153,38,56,0,1.16,-0.89,1.13,-0.92,0.273,-0.301,0.267,-0.306
2016,246,157,47,42,0,1.05,-0.64,1.21,-0.88,0.187,-0.238,0.252,-0.303
2017,247,166,41,41,1,0.85,-0.59,1.07,-0.92,0.185,-0.215,0.202,-0.241
2018,245,137,58,50,0,1.52,-0.92,1.5,-0.86,0.2,-0.23,0.234,-0.272
2019,244,157,43,44,0,0.71,-0.65,0.77,-0.7,0.192,-0.227,0.265,-0.248
2020,251,177,42,32,0,2.05,-1.22,2.12,-1.58,0.348,-0.365,0.411,-0.431
2021,240,172,33,35,0,0.97,-1.06,0.91,-0.92,0.202,-0.263,0.217,-0.318
2022,240,156,45,39,0,0.59,-1.1,1.86,-1.0,0.161,-0.274,0.332,-0.336
2023,237,150,47,40,0,0.55,-0.63,0.52,-0.88,0.153,-0.198,0.16,-0.231
2024,156,107,25,24,0,0.28,-0.53,0.31,-0.61,0.076,-0.263,0.117,-0.287
