Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,251,143,57,51,0,0.73,-0.76,1.17,-0.66,0.193,-0.206,0.266,-0.241
2011,246,152,45,49,0,0.92,-1.09,1.12,-1.21,0.238,-0.26,0.289,-0.314
2012,250,156,58,36,0,0.95,-0.91,0.72,-0.62,0.212,-0.211,0.212,-0.261
2013,249,134,57,58,0,0.56,-0.88,0.95,-0.84,0.204,-0.226,0.228,-0.214
2014,243,136,63,44,0,0.46,-0.41,0.76,-0.42,0.136,-0.167,0.18,-0.199
2015,247,142,48,57,0,0.66,-0.73,0.83,-0.7,0.168,-0.206,0.224,-0.227
2016,246,139,53,55,1,0.59,-0.9,0.91,-0.88,0.159,-0.159,0.167,-0.239
2017,247,145,58,44,0,0.44,-0.74,0.48,-0.77,0.131,-0.135,0.124,-0.204
2018,245,141,56,49,1,0.7,-0.57,1.04,-0.82,0.154,-0.141,0.19,-0.203
2019,244,138,55,51,0,0.52,-0.67,0.7,-0.56,0.155,-0.164,0.224,-0.204
2020,251,153,60,38,0,0.57,-0.8,1.99,-0.72,0.132,-0.226,0.332,-0.272
2021,240,145,53,42,0,0.32,-0.49,0.8,-0.58,0.111,-0.148,0.217,-0.205
2022,240,136,59,45,0,0.59,-0.39,1.57,-0.62,0.141,-0.138,0.205,-0.208
2023,237,148,57,32,0,0.44,-0.27,0.56,-0.48,0.122,-0.109,0.147,-0.129
2024,156,94,35,27,0,0.31,-0.5,0.36,-0.66,0.105,-0.166,0.103,-0.173
