Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,251,79,82,92,2,0.87,-1.59,1.39,-1.42,0.303,-0.348,0.374,-0.366
2011,246,96,69,85,4,1.32,-1.42,2.58,-2.08,0.381,-0.473,0.412,-0.509
2012,250,90,87,77,4,1.58,-0.99,1.59,-1.17,0.301,-0.323,0.321,-0.391
2013,249,83,81,87,2,1.16,-1.69,1.37,-0.98,0.29,-0.383,0.336,-0.362
2014,243,87,87,73,4,1.11,-0.92,2.06,-0.97,0.223,-0.295,0.263,-0.355
2015,247,79,82,92,6,0.71,-1.48,1.41,-1.43,0.252,-0.368,0.31,-0.384
2016,246,86,83,83,6,0.89,-0.86,1.35,-0.96,0.232,-0.298,0.259,-0.391
2017,247,91,90,73,7,0.65,-0.77,0.74,-0.73,0.157,-0.227,0.198,-0.292
2018,245,75,83,88,1,0.95,-0.91,1.36,-1.81,0.225,-0.245,0.245,-0.341
2019,244,73,88,89,6,1.23,-0.99,1.0,-1.12,0.206,-0.331,0.274,-0.375
2020,251,91,88,73,1,1.29,-1.22,3.08,-2.49,0.244,-0.39,0.496,-0.496
2021,240,82,86,76,4,0.65,-1.25,1.21,-1.08,0.167,-0.278,0.262,-0.441
2022,240,91,79,70,0,0.73,-0.64,1.91,-0.99,0.22,-0.283,0.292,-0.382
2023,237,102,81,54,0,0.59,-0.63,0.78,-0.76,0.165,-0.207,0.179,-0.24
2024,156,65,50,43,2,0.68,-1.15,0.61,-0.69,0.176,-0.297,0.196,-0.304
