Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,212,76,75,63,2,2.1,-1.84,3.11,-1.86,0.422,-0.417,0.497,-0.446
2011,246,98,70,82,4,2.01,-1.99,2.78,-2.66,0.438,-0.612,0.534,-0.612
2012,250,87,87,76,0,2.82,-1.77,2.21,-1.79,0.434,-0.463,0.426,-0.477
2013,249,83,80,89,3,1.9,-1.9,2.23,-1.43,0.428,-0.5,0.471,-0.56
2014,243,98,77,68,0,2.0,-1.37,2.12,-1.49,0.354,-0.451,0.369,-0.495
2015,247,91,72,85,1,1.97,-2.34,2.33,-1.67,0.391,-0.489,0.453,-0.469
2016,246,103,77,69,3,1.16,-1.46,2.76,-1.22,0.288,-0.495,0.397,-0.471
2017,247,114,76,63,6,1.13,-0.78,1.5,-0.71,0.219,-0.301,0.287,-0.36
2018,245,82,85,84,6,1.92,-2.66,1.61,-1.76,0.334,-0.379,0.305,-0.445
2019,244,94,80,74,4,1.39,-1.71,1.26,-1.1,0.288,-0.437,0.369,-0.451
2020,251,101,78,73,1,2.5,-3.06,2.56,-3.36,0.549,-0.629,0.642,-0.793
2021,240,112,64,65,1,1.47,-1.71,1.7,-1.92,0.334,-0.469,0.35,-0.615
2022,240,110,70,61,1,1.21,-1.78,2.08,-1.75,0.304,-0.401,0.391,-0.557
2023,237,103,75,62,3,0.92,-1.3,1.28,-1.06,0.214,-0.342,0.222,-0.343
2024,156,82,39,37,2,1.16,-1.41,0.91,-1.26,0.182,-0.454,0.225,-0.409
