Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,percentChangeTargetHigh,SLHigh,points_from_SL_High,percentageChangeSLHigh,TargetLow,points_from_Target_Low,percentageChangeTargetLow,SLLow,points_from_SL_low,percentageChangeSLLow,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20120102,11:45,4645.95,4603.15,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,4588.05,15.10,0.33,4643.40,-40.25,-0.87,4636.90,0.00,-33.75,False
20120103,11:45,4733.25,4676.40,True,False,True,False,4773.10,39.85,0.84,4722.75,-10.50,-0.22,0.00,0.00,0.0,0.00,0.00,0.0,4760.75,27.50,0.00,False
20120104,11:45,4780.55,4744.10,True,True,True,True,4782.85,2.30,0.05,4728.85,-51.70,-1.08,4728.85,15.25,0.32,4782.85,-38.75,-0.82,4742.35,-38.20,1.75,False
20120105,11:45,4774.90,4745.50,True,True,True,True,4779.80,4.90,0.1,4730.15,-44.75,-0.94,4730.15,15.35,0.32,4779.80,-34.30,-0.72,4747.00,-27.90,-1.50,False
20120106,11:45,4740.50,4686.85,True,False,True,False,4794.90,54.40,1.15,4693.55,-46.95,-0.99,0.00,0.00,0.0,0.00,0.00,0.0,4758.95,18.45,0.00,False
20120107,11:45,4759.40,4745.80,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,4743.05,2.75,0.06,4756.10,-10.30,-0.22,4746.90,0.00,-1.10,False
20120109,11:45,4743.90,4695.45,True,False,True,False,4758.70,14.80,0.31,4711.35,-32.55,-0.69,0.00,0.00,0.0,0.00,0.00,0.0,4746.70,2.80,0.00,False
20120110,11:45,4827.95,4768.25,True,False,True,False,4855.90,27.95,0.58,4812.75,-15.20,-0.31,0.00,0.00,0.0,0.00,0.00,0.0,4849.50,21.55,0.00,False
20120111,11:45,4865.90,4841.60,True,False,True,False,4877.20,11.30,0.23,4842.25,-23.65,-0.49,0.00,0.00,0.0,0.00,0.00,0.0,4859.95,-5.95,0.00,False
20120112,11:45,4869.00,4833.50,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,4803.90,29.60,0.61,4857.90,-24.40,-0.5,4837.80,0.00,-4.30,False
20120113,11:45,4868.35,4834.20,True,False,True,False,4898.85,30.50,0.63,4838.35,-30.00,-0.62,0.00,0.00,0.0,0.00,0.00,0.0,4871.30,2.95,0.00,False
20120116,11:45,4852.05,4827.05,True,False,True,False,4880.75,28.70,0.59,4831.10,-20.95,-0.43,0.00,0.00,0.0,0.00,0.00,0.0,4877.85,25.80,0.00,False
20120117,11:45,4955.25,4904.00,True,False,True,False,4975.55,20.30,0.41,4948.25,-7.00,-0.14,0.00,0.00,0.0,0.00,0.00,0.0,4962.60,7.35,0.00,False
20120118,11:45,4980.65,4945.65,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,4931.05,14.60,0.3,4966.65,-21.00,-0.42,4954.45,0.00,-8.80,False
20120119,11:45,5014.85,4991.40,True,False,True,False,5023.80,8.95,0.18,4994.70,-20.15,-0.4,0.00,0.00,0.0,0.00,0.00,0.0,5014.75,-0.10,0.00,False
20120120,11:45,5054.50,5025.30,True,True,True,True,5064.15,9.65,0.19,5004.30,-50.20,-0.99,5004.30,21.00,0.42,5064.15,-38.85,-0.77,5047.10,-7.40,-21.80,False
20120123,11:45,5059.55,5021.35,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,5042.90,0.00,0.00,True
20120124,11:45,5116.70,5049.80,True,False,True,False,5141.05,24.35,0.48,5110.55,-6.15,-0.12,0.00,0.00,0.0,0.00,0.00,0.0,5116.00,-0.70,0.00,False
20120125,11:45,5160.30,5130.25,True,False,True,False,5174.15,13.85,0.27,5142.25,-18.05,-0.35,0.00,0.00,0.0,0.00,0.00,0.0,5153.20,-7.10,0.00,False
20120127,11:45,5217.00,5162.40,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,5201.25,0.00,0.00,True
20120130,11:45,5166.15,5128.80,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5076.70,52.10,1.02,5140.40,-11.60,-0.23,5084.15,0.00,44.65,False
20120131,11:45,5156.65,5120.15,True,False,True,False,5215.40,58.75,1.14,5139.25,-17.40,-0.34,0.00,0.00,0.0,0.00,0.00,0.0,5203.55,46.90,0.00,False
20120201,11:45,5198.35,5167.80,True,True,True,True,5244.60,46.25,0.89,5159.00,-39.35,-0.76,5159.00,8.80,0.17,5244.60,-76.80,-1.49,5243.65,45.30,-75.85,False
20120202,11:45,5289.95,5225.75,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,5267.05,0.00,0.00,True
20120203,11:45,5279.45,5255.55,True,False,True,False,5334.85,55.40,1.05,5266.00,-13.45,-0.25,0.00,0.00,0.0,0.00,0.00,0.0,5317.15,37.70,0.00,False
20120206,11:45,5390.05,5351.50,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5327.25,24.25,0.45,5379.15,-27.65,-0.52,5365.40,0.00,-13.90,False
20120207,11:45,5413.35,5356.35,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5322.95,33.40,0.62,5387.25,-30.90,-0.58,5337.00,0.00,19.35,False
20120208,11:45,5388.70,5335.75,True,True,True,True,5396.90,8.20,0.15,5325.20,-63.50,-1.18,5325.20,10.55,0.2,5396.90,-61.15,-1.15,5370.85,-17.85,-35.10,False
20120209,11:45,5365.70,5338.90,True,False,True,False,5423.40,57.70,1.08,5342.00,-23.70,-0.44,0.00,0.00,0.0,0.00,0.00,0.0,5419.70,54.00,0.00,False
20120210,11:45,5427.75,5390.20,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5341.05,49.15,0.91,5400.00,-9.80,-0.18,5372.20,0.00,18.00,False
20120213,11:45,5392.95,5359.45,True,True,True,True,5421.05,28.10,0.52,5351.40,-41.55,-0.77,5351.40,8.05,0.15,5421.05,-61.60,-1.15,5383.80,-9.15,-24.35,False
20120214,11:45,5415.60,5377.95,True,False,True,False,5427.20,11.60,0.21,5392.25,-23.35,-0.43,0.00,0.00,0.0,0.00,0.00,0.0,5424.30,8.70,0.00,False
20120215,11:45,5513.10,5461.20,True,False,True,False,5542.10,29.00,0.53,5495.65,-17.45,-0.32,0.00,0.00,0.0,0.00,0.00,0.0,5526.10,13.00,0.00,False
20120216,11:45,5522.75,5483.75,True,False,True,False,5531.40,8.65,0.16,5484.80,-37.95,-0.69,0.00,0.00,0.0,0.00,0.00,0.0,5513.75,-9.00,0.00,False
20120217,11:45,5606.70,5567.20,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5545.20,22.00,0.4,5601.60,-34.40,-0.62,5572.05,0.00,-4.85,False
20120221,11:45,5604.15,5561.75,True,False,True,False,5621.50,17.35,0.31,5588.45,-15.70,-0.28,0.00,0.00,0.0,0.00,0.00,0.0,5601.35,-2.80,0.00,False
20120222,11:45,5629.95,5573.35,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5491.35,82.00,1.47,5605.90,-32.55,-0.58,5506.15,0.00,67.20,False
20120223,11:45,5519.55,5481.55,True,True,True,True,5537.40,17.85,0.32,5460.80,-58.75,-1.06,5460.80,20.75,0.38,5537.40,-55.85,-1.02,5477.90,-41.65,3.65,False
20120224,11:45,5521.40,5428.05,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5405.90,22.15,0.41,5455.05,-27.00,-0.5,5430.75,0.00,-2.70,False
20120227,11:45,5449.80,5354.85,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5268.15,86.70,1.62,5358.45,-3.60,-0.07,5275.20,0.00,79.65,False
20120228,11:45,5377.70,5306.45,True,False,True,False,5391.10,13.40,0.25,5350.95,-26.75,-0.5,0.00,0.00,0.0,0.00,0.00,0.0,5376.95,-0.75,0.00,False
20120229,11:45,5458.80,5400.25,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5352.25,48.00,0.89,5436.00,-35.75,-0.66,5385.30,0.00,14.95,False
20120301,11:45,5372.45,5310.30,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5297.50,12.80,0.24,5358.35,-48.05,-0.9,5329.90,0.00,-19.60,False
20120302,11:45,5378.30,5315.05,True,False,True,False,5392.55,14.25,0.26,5324.00,-54.30,-1.01,0.00,0.00,0.0,0.00,0.00,0.0,5363.20,-15.10,0.00,False
20120303,11:45,5369.60,5360.05,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5353.40,6.65,0.12,5367.05,-7.00,-0.13,5359.40,0.00,0.65,False
20120305,11:45,5344.50,5290.60,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5265.70,24.90,0.47,5301.90,-11.30,-0.21,5281.90,0.00,8.70,False
20120306,11:45,5382.05,5222.70,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5212.00,10.70,0.2,5331.90,-109.20,-2.09,5218.40,0.00,4.30,False
20120307,11:45,5243.85,5183.50,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5171.45,12.05,0.23,5237.20,-53.70,-1.04,5217.90,0.00,-34.40,False
20120309,11:45,5332.35,5291.60,True,False,True,False,5342.30,9.95,0.19,5300.10,-32.25,-0.6,0.00,0.00,0.0,0.00,0.00,0.0,5330.40,-1.95,0.00,False
20120312,11:45,5421.90,5327.30,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,5352.75,0.00,0.00,True
20120313,11:45,5435.95,5390.80,True,False,True,False,5438.35,2.40,0.04,5416.90,-19.05,-0.35,0.00,0.00,0.0,0.00,0.00,0.0,5428.80,-7.15,0.00,False
20120314,11:45,5499.40,5441.55,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5437.80,3.75,0.07,5470.05,-28.50,-0.52,5466.60,0.00,-25.05,False
20120315,11:45,5460.65,5398.45,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5362.30,36.15,0.67,5411.30,-12.85,-0.24,5382.65,0.00,15.80,False
20120316,11:45,5445.65,5379.50,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5305.00,74.50,1.38,5433.35,-53.85,-1.0,5316.70,0.00,62.80,False
20120319,11:45,5340.70,5281.70,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5238.55,43.15,0.82,5298.50,-16.80,-0.32,5254.35,0.00,27.35,False
20120320,11:45,5297.35,5246.95,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5233.25,13.70,0.26,5295.55,-48.60,-0.93,5273.20,0.00,-26.25,False
20120321,11:45,5288.80,5256.00,True,False,True,False,5371.70,82.90,1.57,5282.20,-6.60,-0.12,0.00,0.00,0.0,0.00,0.00,0.0,5370.40,81.60,0.00,False
20120322,11:45,5385.95,5337.15,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5205.65,131.50,2.46,5362.70,-25.55,-0.48,5218.25,0.00,118.90,False
20120323,11:45,5278.45,5220.00,True,False,True,False,5312.00,33.55,0.64,5225.30,-53.15,-1.01,0.00,0.00,0.0,0.00,0.00,0.0,5289.15,10.70,0.00,False
20120326,11:45,5274.95,5193.75,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5174.90,18.85,0.36,5222.20,-28.45,-0.55,5180.55,0.00,13.20,False
20120327,11:45,5246.05,5184.65,True,False,True,False,5277.95,31.90,0.61,5190.60,-55.45,-1.06,0.00,0.00,0.0,0.00,0.00,0.0,5256.30,10.25,0.00,False
