Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,251,25,120,141,35,1.39,-1.79,1.73,-1.43,0.39,-0.53,0.454,-0.535
2011,246,37,101,128,20,1.99,-3.89,2.77,-3.1,0.527,-0.757,0.567,-0.673
2012,250,37,113,124,24,2.06,-1.52,2.32,-1.78,0.391,-0.489,0.404,-0.496
2013,249,41,108,122,22,1.56,-1.99,3.02,-2.35,0.375,-0.514,0.423,-0.531
2014,243,43,107,112,19,1.37,-1.34,2.15,-1.59,0.292,-0.427,0.353,-0.44
2015,247,33,110,124,20,1.3,-1.64,2.4,-1.53,0.369,-0.453,0.427,-0.503
2016,246,34,116,125,29,1.5,-2.11,2.34,-1.94,0.312,-0.493,0.328,-0.469
2017,247,55,112,104,24,1.59,-0.83,0.91,-0.81,0.205,-0.309,0.228,-0.335
2018,245,35,110,112,12,1.64,-2.02,2.82,-1.9,0.318,-0.35,0.359,-0.428
2019,244,37,111,119,23,1.3,-1.33,1.4,-1.36,0.319,-0.405,0.375,-0.428
2020,251,43,114,108,14,3.82,-2.37,3.97,-3.65,0.435,-0.599,0.666,-0.684
2021,240,36,110,107,13,1.04,-1.57,1.89,-1.45,0.253,-0.396,0.389,-0.511
2022,240,37,112,107,16,1.67,-1.96,1.91,-1.27,0.285,-0.464,0.377,-0.491
2023,237,47,102,96,8,0.81,-0.81,1.88,-1.31,0.215,-0.262,0.231,-0.317
2024,156,37,70,53,4,1.0,-1.23,0.87,-1.48,0.253,-0.331,0.275,-0.375
