Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,212,27,104,101,20,2.1,-1.88,3.27,-3.26,0.543,-0.629,0.609,-0.63
2011,246,39,104,115,12,2.95,-4.63,3.54,-3.05,0.651,-0.943,0.757,-0.796
2012,250,30,116,119,15,2.82,-1.77,2.87,-2.59,0.559,-0.691,0.571,-0.627
2013,249,39,108,119,17,2.23,-2.6,4.53,-2.28,0.533,-0.768,0.614,-0.783
2014,243,61,101,95,14,2.48,-1.9,2.75,-4.25,0.488,-0.626,0.514,-0.705
2015,247,43,104,119,19,2.01,-2.6,2.96,-2.28,0.502,-0.707,0.593,-0.672
2016,246,45,116,111,26,2.05,-3.23,3.02,-2.54,0.458,-0.692,0.443,-0.693
2017,247,72,102,89,16,2.35,-1.14,1.5,-1.47,0.309,-0.394,0.342,-0.463
2018,245,39,114,114,22,3.04,-2.46,4.01,-1.98,0.419,-0.515,0.396,-0.596
2019,244,44,112,104,16,1.8,-1.46,2.58,-1.73,0.439,-0.539,0.509,-0.578
2020,251,42,108,114,13,6.13,-6.32,4.76,-4.44,0.841,-1.045,0.916,-1.1
2021,240,62,88,98,8,1.74,-2.87,2.34,-2.37,0.478,-0.625,0.497,-0.698
2022,240,49,105,97,11,2.38,-2.82,2.48,-3.24,0.42,-0.646,0.512,-0.678
2023,237,49,99,100,11,1.32,-1.69,1.43,-2.03,0.294,-0.431,0.313,-0.435
2024,156,46,63,51,4,2.84,-1.37,1.02,-1.35,0.323,-0.464,0.325,-0.48
