Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,SLHigh,points_from_SL_High,TargetLow,points_from_Target_Low,SLLow,points_from_SL_low,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20130101,10:00,5950.70,5935.20,True,False,True,False,5963.90,13.20,5944.60,-6.10,0.00,0.00,0.00,0.00,5951.05,0.35,0.00,False
20130102,10:00,5997.75,5982.00,True,False,True,False,6006.05,8.30,5986.40,-11.35,0.00,0.00,0.00,0.00,5992.10,-5.65,0.00,False
20130103,10:00,6017.00,5986.55,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6007.40,0.00,0.00,True
20130104,10:00,6007.35,5982.70,True,True,True,False,6020.75,13.40,5981.55,-25.80,5981.55,1.15,6020.75,-38.05,6014.25,6.90,-31.55,False
20130107,10:00,6039.25,6012.50,False,True,False,True,0.00,0.00,0.00,0.00,5978.35,34.15,6026.45,-13.95,5982.25,0.00,30.25,False
20130108,10:00,5990.65,5973.00,True,True,True,True,6007.05,16.40,5964.40,-26.25,5964.40,8.60,6007.05,-34.05,6001.55,10.90,-28.55,False
20130109,10:00,6015.55,6005.20,True,True,True,True,6020.10,4.55,5958.45,-57.10,5958.45,46.75,6020.10,-14.90,5972.35,-43.20,32.85,False
20130110,10:00,6005.15,5984.85,False,True,False,True,0.00,0.00,0.00,0.00,5947.30,37.55,5990.90,-6.05,5963.20,0.00,21.65,False
20130111,10:00,6018.85,5980.60,False,True,False,True,0.00,0.00,0.00,0.00,5940.60,40.00,5991.50,-10.90,5942.95,0.00,37.65,False
20130114,10:00,5977.95,5962.15,True,False,True,False,6035.00,57.05,5968.70,-9.25,0.00,0.00,0.00,0.00,6032.80,54.85,0.00,False
20130115,10:00,6044.60,6023.20,True,True,True,True,6068.50,23.90,6018.60,-26.00,6018.60,4.60,6068.50,-45.30,6057.65,13.05,-34.45,False
20130116,10:00,6052.85,6038.30,True,True,True,True,6055.95,3.10,5992.05,-60.80,5992.05,46.25,6055.95,-17.65,5998.25,-54.60,40.05,False
20130117,10:00,6023.70,5988.10,True,False,True,False,6053.20,29.50,6000.35,-23.35,0.00,0.00,0.00,0.00,6036.45,12.75,0.00,False
20130118,10:00,6083.40,6059.20,False,True,False,True,0.00,0.00,0.00,0.00,6048.30,10.90,6078.45,-19.25,6059.75,0.00,-0.55,False
20130121,10:00,6094.35,6069.40,False,True,False,True,0.00,0.00,0.00,0.00,6065.10,4.30,6091.90,-22.50,6081.60,0.00,-12.20,False
20130122,10:00,6093.85,6078.80,True,True,True,True,6101.30,7.45,6040.50,-53.35,6040.50,38.30,6101.30,-22.50,6043.60,-50.25,35.20,False
20130123,10:00,6069.80,6050.95,False,True,False,True,0.00,0.00,0.00,0.00,6021.15,29.80,6064.80,-13.85,6060.60,0.00,-9.65,False
20130124,10:00,6065.30,6033.85,False,True,False,True,0.00,0.00,0.00,0.00,6007.85,26.00,6045.55,-11.70,6022.85,0.00,11.00,False
20130125,10:00,6035.45,6014.45,True,False,True,False,6079.95,44.50,6017.00,-18.45,0.00,0.00,0.00,0.00,6077.85,42.40,0.00,False
