Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,SLHigh,points_from_SL_High,TargetLow,points_from_Target_Low,SLLow,points_from_SL_low,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20120102,10:00,8028.45,7946.95,False,True,False,True,0.00,0.00,0.00,0.00,7888.25,58.70,8010.70,-63.75,7993.40,0.00,-46.45,False
20120103,10:00,8177.60,8075.10,True,False,True,False,8356.35,178.75,8164.85,-12.75,0.00,0.00,0.00,0.00,8332.00,154.40,0.00,False
20120104,10:00,8385.40,8294.35,True,False,True,False,8453.40,68.00,8317.10,-68.30,0.00,0.00,0.00,0.00,8392.95,7.55,0.00,False
20120105,10:00,8450.55,8398.10,True,True,True,False,8516.15,65.60,8394.25,-56.30,8394.25,3.85,8516.15,-118.05,8449.25,-1.30,-51.15,False
20120106,10:00,8416.60,8345.25,True,True,True,True,8586.65,170.05,8297.55,-119.05,8297.55,47.70,8586.65,-241.40,8494.55,77.95,-149.30,False
20120107,10:00,8471.15,8471.15,True,True,True,True,8480.40,9.25,8436.45,-34.70,8436.45,34.70,8480.40,-9.25,8452.80,-18.35,18.35,False
20120109,10:00,8441.45,8329.90,True,False,True,False,8517.80,76.35,8351.05,-90.40,0.00,0.00,0.00,0.00,8479.30,37.85,0.00,False
20120110,10:00,8624.50,8540.45,True,False,True,False,8748.80,124.30,8608.20,-16.30,0.00,0.00,0.00,0.00,8731.00,106.50,0.00,False
20120111,10:00,8800.50,8736.25,True,False,True,False,8857.20,56.70,8753.15,-47.35,0.00,0.00,0.00,0.00,8851.05,50.55,0.00,False
20120112,10:00,9015.25,8887.50,False,True,False,True,0.00,0.00,0.00,0.00,8848.00,39.50,9008.50,-121.00,8941.35,0.00,-53.85,False
20120113,10:00,9005.35,8936.25,True,True,True,True,9073.00,67.65,8913.95,-91.40,8913.95,22.30,9073.00,-136.75,8993.75,-11.60,-57.50,False
20120116,10:00,8917.35,8865.95,True,True,True,True,8965.70,48.35,8813.85,-103.50,8813.85,52.10,8965.70,-99.75,8959.80,42.45,-93.85,False
20120117,10:00,9104.05,9011.80,True,False,True,False,9114.45,10.40,9042.75,-61.30,0.00,0.00,0.00,0.00,9051.85,-52.20,0.00,False
20120118,10:00,9065.30,8966.45,False,True,False,True,0.00,0.00,0.00,0.00,8922.70,43.75,9061.55,-95.10,9018.10,0.00,-51.65,False
20120119,10:00,9189.70,9128.10,True,False,True,False,9212.85,23.15,9146.30,-43.40,0.00,0.00,0.00,0.00,9186.95,-2.75,0.00,False
20120120,10:00,9341.95,9268.50,True,False,True,False,9560.15,218.20,9341.60,-0.35,0.00,0.00,0.00,0.00,9511.95,170.00,0.00,False
