Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,SLHigh,points_from_SL_High,TargetLow,points_from_Target_Low,SLLow,points_from_SL_low,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20110103,10:00,11909.20,11873.35,True,True,True,True,11912.15,2.95,11837.05,-72.15,11837.05,36.30,11912.15,-38.80,11842.85,-66.35,30.50,False
20110104,10:00,11872.80,11670.65,False,True,False,True,0.00,0.00,0.00,0.00,11545.55,125.10,11713.45,-42.80,11561.55,0.00,109.10,False
20110105,10:00,11533.55,11378.45,False,True,False,True,0.00,0.00,0.00,0.00,11265.55,112.90,11401.10,-22.65,11301.00,0.00,77.45,False
20110106,10:00,11377.10,11218.50,False,True,False,True,0.00,0.00,0.00,0.00,11170.65,47.85,11297.10,-78.60,11176.70,0.00,41.80,False
20110107,10:00,11175.35,11094.25,True,True,True,True,11258.50,83.15,11007.90,-167.45,11007.90,86.35,11258.50,-164.25,11022.30,-153.05,71.95,False
20110110,10:00,11028.40,10899.70,True,True,True,True,11072.70,44.30,10671.60,-356.80,10671.60,228.10,11072.70,-173.00,10676.70,-351.70,223.00,False
20110111,10:00,10835.65,10620.80,True,False,True,False,10951.20,115.55,10669.20,-166.45,0.00,0.00,0.00,0.00,10915.85,80.20,0.00,False
20110112,10:00,10990.15,10907.10,True,True,True,True,11161.15,171.00,10728.45,-261.70,10728.45,178.65,11161.15,-254.05,11117.00,126.85,-209.90,False
20110113,10:00,11127.95,11000.50,False,True,False,True,0.00,0.00,0.00,0.00,10676.50,324.00,11057.90,-57.40,10727.50,0.00,273.00,False
20110114,10:00,10725.10,10584.35,True,True,True,True,10907.30,182.20,10387.90,-337.20,10387.90,196.45,10907.30,-322.95,10431.70,-293.40,152.65,False
20110117,10:00,10547.95,10373.80,True,False,True,False,10571.80,23.85,10411.50,-136.45,0.00,0.00,0.00,0.00,10474.90,-73.05,0.00,False
