Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,212,90,68,55,1,1.88,-1.09,3.0,-1.31,0.388,-0.353,0.441,-0.416
2011,246,115,62,72,3,2.01,-1.99,2.01,-2.66,0.404,-0.544,0.506,-0.583
2012,250,102,78,70,0,1.91,-1.47,1.56,-1.34,0.406,-0.418,0.355,-0.448
2013,249,93,75,84,3,1.65,-1.51,2.23,-1.87,0.399,-0.471,0.414,-0.506
2014,243,109,75,59,0,1.4,-1.37,1.78,-1.49,0.304,-0.399,0.352,-0.437
2015,247,108,64,75,0,1.97,-1.87,1.79,-1.58,0.352,-0.434,0.396,-0.449
2016,246,117,68,61,0,1.13,-1.63,2.76,-1.31,0.274,-0.407,0.389,-0.403
2017,247,128,66,58,5,1.04,-0.78,1.5,-1.09,0.217,-0.294,0.272,-0.336
2018,245,93,80,76,4,1.92,-2.72,1.61,-1.76,0.301,-0.356,0.297,-0.388
2019,244,108,68,70,2,1.24,-1.09,1.09,-1.1,0.245,-0.38,0.327,-0.417
2020,251,124,72,56,1,2.05,-3.14,2.56,-3.36,0.453,-0.586,0.587,-0.791
2021,240,127,56,57,0,1.09,-1.71,1.7,-1.58,0.303,-0.399,0.321,-0.525
2022,240,120,65,55,0,1.21,-1.78,2.08,-1.22,0.248,-0.37,0.362,-0.495
2023,237,125,59,53,0,0.92,-1.0,1.27,-1.05,0.224,-0.283,0.22,-0.315
2024,156,90,36,31,1,0.9,-1.0,0.74,-1.21,0.15,-0.405,0.204,-0.369
