Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,251,96,71,84,0,0.87,-1.25,1.29,-1.09,0.298,-0.279,0.324,-0.342
2011,246,111,63,74,2,1.32,-1.42,1.61,-1.47,0.349,-0.426,0.405,-0.451
2012,250,106,78,67,1,1.15,-1.0,1.31,-1.13,0.266,-0.307,0.283,-0.34
2013,249,95,77,79,2,0.99,-1.59,1.13,-0.79,0.272,-0.345,0.296,-0.314
2014,243,100,83,63,3,0.88,-0.88,1.33,-0.97,0.202,-0.266,0.264,-0.308
2015,247,91,75,82,1,0.71,-1.21,1.08,-1.37,0.226,-0.322,0.285,-0.354
2016,246,99,76,73,2,0.81,-0.86,1.35,-0.88,0.22,-0.243,0.259,-0.339
2017,247,105,81,67,6,0.61,-0.77,0.65,-0.73,0.154,-0.212,0.183,-0.273
2018,245,91,76,79,1,0.79,-0.91,1.32,-0.99,0.207,-0.216,0.235,-0.287
2019,244,93,73,81,3,0.92,-0.81,1.0,-0.79,0.19,-0.293,0.256,-0.351
2020,251,111,79,62,1,1.14,-1.22,2.41,-2.49,0.21,-0.35,0.433,-0.482
2021,240,104,72,65,1,0.61,-0.82,1.21,-1.05,0.162,-0.221,0.249,-0.392
2022,240,104,74,62,0,0.73,-0.59,1.91,-0.73,0.205,-0.246,0.269,-0.35
2023,237,119,73,45,0,0.59,-0.79,0.78,-0.43,0.152,-0.187,0.187,-0.202
2024,156,71,47,39,1,0.64,-1.03,0.54,-0.69,0.16,-0.272,0.169,-0.27
