Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,percentChangeTargetHigh,SLHigh,points_from_SL_High,percentageChangeSLHigh,TargetLow,points_from_Target_Low,percentageChangeTargetLow,SLLow,points_from_SL_low,percentageChangeSLLow,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20140101,12:15,6327.20,6301.65,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,6298.25,3.40,0.05,6314.30,-12.65,-0.2,6303.75,0.00,-2.10,False
20140102,12:15,6358.30,6300.65,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,6211.85,88.80,1.41,6345.65,-45.00,-0.71,6214.80,0.00,85.85,False
20140103,12:15,6209.05,6178.85,True,True,True,True,6219.85,10.80,0.17,6171.25,-37.80,-0.61,6171.25,7.60,0.12,6219.85,-41.00,-0.66,6218.20,9.15,-39.35,False
20140106,12:15,6224.70,6176.15,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,6170.25,5.90,0.1,6201.70,-25.55,-0.41,6191.80,0.00,-15.65,False
20140107,12:15,6221.50,6144.75,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,6159.45,0.00,0.00,True
20140108,12:15,6191.20,6160.35,True,False,True,False,6192.10,0.90,0.01,6164.90,-26.30,-0.42,0.00,0.00,0.0,0.00,0.00,0.0,6172.40,-18.80,0.00,False
20140109,12:15,6188.05,6154.10,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,6148.25,5.85,0.1,6184.15,-30.05,-0.49,6170.50,0.00,-16.40,False
20140110,12:15,6222.75,6139.60,True,False,True,False,6239.10,16.35,0.26,6162.10,-60.65,-0.97,0.00,0.00,0.0,0.00,0.00,0.0,6169.10,-53.65,0.00,False
20140113,12:15,6259.00,6194.60,True,False,True,False,6286.50,27.50,0.44,6233.35,-25.65,-0.41,0.00,0.00,0.0,0.00,0.00,0.0,6284.40,25.40,0.00,False
20140114,12:15,6280.35,6250.20,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,6234.15,16.05,0.26,6261.05,-10.85,-0.17,6243.80,0.00,6.40,False
20140115,12:15,6316.70,6265.30,True,False,True,False,6325.20,8.50,0.13,6276.70,-40.00,-0.63,0.00,0.00,0.0,0.00,0.00,0.0,6323.85,7.15,0.00,False
20140116,12:15,6346.50,6308.90,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,6299.85,9.05,0.14,6332.65,-23.75,-0.38,6316.20,0.00,-7.30,False
20140117,12:15,6327.10,6286.90,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,6246.35,40.55,0.64,6294.25,-7.35,-0.12,6271.45,0.00,15.45,False
20140120,12:15,6304.95,6243.35,True,False,True,False,6307.45,2.50,0.04,6273.10,-31.85,-0.51,0.00,0.00,0.0,0.00,0.00,0.0,6301.70,-3.25,0.00,False
20140121,12:15,6330.30,6297.90,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,6315.55,0.00,0.00,True
20140122,12:15,6326.70,6287.45,True,False,True,False,6349.95,23.25,0.37,6315.80,-10.90,-0.17,0.00,0.00,0.0,0.00,0.00,0.0,6333.85,7.15,0.00,False
20140123,12:15,6342.90,6316.40,True,False,True,False,6355.60,12.70,0.2,6329.25,-13.65,-0.22,0.00,0.00,0.0,0.00,0.00,0.0,6348.80,5.90,0.00,False
20140124,12:15,6331.45,6269.15,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,6263.90,5.25,0.08,6294.25,-25.10,-0.4,6266.75,0.00,2.40,False
20140127,12:15,6188.55,6160.55,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,6130.25,30.30,0.49,6179.55,-19.00,-0.31,6142.15,0.00,18.40,False
20140128,12:15,6163.60,6085.95,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,6130.25,0.00,0.00,True
20140129,12:15,6170.45,6146.45,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,6109.80,36.65,0.6,6159.90,-13.45,-0.22,6124.20,0.00,22.25,False
