Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,251,116,65,70,0,0.73,-1.24,1.29,-0.99,0.24,-0.257,0.289,-0.308
2011,246,130,54,63,1,1.32,-1.42,1.14,-1.47,0.296,-0.351,0.363,-0.423
2012,250,140,65,46,1,0.95,-0.99,1.22,-1.13,0.244,-0.28,0.251,-0.326
2013,249,111,68,72,2,0.78,-1.17,0.98,-0.76,0.236,-0.306,0.249,-0.301
2014,243,116,75,54,2,0.65,-0.75,0.91,-0.89,0.163,-0.237,0.21,-0.27
2015,247,113,66,69,1,0.66,-1.05,0.85,-1.05,0.194,-0.267,0.249,-0.318
2016,246,121,61,66,2,0.65,-0.87,1.0,-0.88,0.183,-0.22,0.195,-0.298
2017,247,126,70,54,3,0.46,-0.77,0.48,-0.73,0.139,-0.198,0.154,-0.246
2018,245,114,67,65,1,0.76,-0.57,1.11,-0.99,0.181,-0.178,0.207,-0.264
2019,244,114,63,68,1,0.52,-0.81,1.0,-0.83,0.164,-0.245,0.247,-0.275
2020,251,131,70,50,0,0.79,-0.85,2.33,-1.87,0.159,-0.299,0.35,-0.417
2021,240,124,64,52,0,0.43,-0.82,1.02,-0.91,0.123,-0.215,0.239,-0.334
2022,240,121,66,53,0,0.66,-0.59,1.91,-0.79,0.188,-0.211,0.254,-0.306
2023,237,126,68,43,0,0.59,-0.38,0.69,-0.48,0.142,-0.162,0.157,-0.187
2024,156,83,40,34,1,0.6,-0.63,0.42,-0.69,0.145,-0.207,0.122,-0.266
