Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,212,104,61,48,1,1.88,-0.85,3.0,-1.31,0.343,-0.319,0.373,-0.387
2011,246,138,46,63,1,2.01,-1.99,1.41,-2.66,0.404,-0.455,0.436,-0.538
2012,250,134,65,51,0,1.41,-1.19,1.47,-1.16,0.366,-0.357,0.325,-0.396
2013,249,113,65,72,1,1.65,-1.28,1.95,-1.87,0.33,-0.434,0.356,-0.444
2014,243,127,65,51,0,1.35,-0.73,1.75,-0.82,0.25,-0.325,0.303,-0.368
2015,247,130,52,65,0,1.65,-1.27,1.25,-1.31,0.318,-0.319,0.31,-0.413
2016,246,141,54,51,0,1.13,-1.73,1.41,-0.88,0.239,-0.334,0.281,-0.359
2017,247,150,53,46,2,0.87,-0.64,1.5,-0.71,0.193,-0.285,0.256,-0.27
2018,245,112,69,65,1,1.92,-1.53,1.5,-1.34,0.256,-0.275,0.25,-0.346
2019,244,136,53,55,0,0.71,-0.9,1.09,-0.94,0.207,-0.327,0.304,-0.338
2020,251,149,56,46,0,2.05,-1.48,2.56,-2.23,0.395,-0.467,0.458,-0.648
2021,240,151,45,44,0,0.97,-1.71,1.41,-1.58,0.251,-0.354,0.264,-0.448
2022,240,134,59,47,0,1.0,-1.52,1.95,-1.26,0.209,-0.331,0.345,-0.47
2023,237,134,54,49,0,0.69,-0.94,1.06,-0.97,0.188,-0.265,0.195,-0.284
2024,156,101,29,26,0,0.28,-1.08,0.49,-0.96,0.09,-0.371,0.169,-0.348
