Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,212,2,138,142,70,2.63,-3.24,3.29,-3.57,0.638,-0.725,0.667,-0.734
2011,246,10,143,156,63,3.3,-4.56,4.47,-3.84,0.835,-1.108,0.949,-1.05
2012,250,6,161,162,79,3.12,-4.11,4.55,-4.02,0.722,-0.918,0.749,-0.828
2013,249,11,151,152,65,4.54,-6.68,5.86,-3.39,0.733,-0.956,0.884,-0.834
2014,243,13,145,138,53,4.67,-3.62,2.75,-5.51,0.629,-0.787,0.62,-0.829
2015,247,10,138,156,57,3.61,-2.68,3.52,-4.36,0.621,-0.836,0.741,-0.803
2016,246,14,147,140,55,2.35,-3.55,3.19,-3.2,0.546,-0.767,0.613,-0.73
2017,247,30,137,121,41,2.47,-2.05,1.5,-2.77,0.352,-0.456,0.377,-0.496
2018,245,13,138,144,50,3.13,-2.46,4.56,-1.76,0.499,-0.583,0.464,-0.577
2019,244,10,143,136,45,9.09,-4.06,3.18,-2.62,0.584,-0.661,0.646,-0.598
2020,251,12,142,152,55,11.77,-6.67,5.56,-6.43,1.078,-1.332,1.133,-1.225
2021,240,15,127,140,42,2.59,-3.21,2.75,-3.35,0.632,-0.823,0.661,-0.811
2022,240,11,141,134,46,2.85,-2.81,2.93,-4.25,0.547,-0.73,0.63,-0.808
2023,237,15,130,133,41,1.41,-1.69,2.21,-2.03,0.353,-0.521,0.44,-0.473
2024,156,14,82,79,19,3.95,-1.95,5.47,-1.78,0.469,-0.608,0.551,-0.6
