Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,251,3,168,186,106,2.19,-2.26,2.29,-2.4,0.458,-0.633,0.538,-0.586
2011,246,8,142,175,79,2.31,-3.89,2.77,-3.02,0.62,-0.951,0.694,-0.815
2012,250,5,152,178,85,2.06,-3.14,2.52,-3.05,0.479,-0.629,0.477,-0.622
2013,249,13,140,157,61,1.9,-3.06,3.28,-2.39,0.488,-0.642,0.569,-0.546
2014,243,13,140,162,72,2.03,-2.62,2.15,-2.5,0.339,-0.547,0.413,-0.514
2015,247,8,137,164,62,2.56,-1.89,2.43,-2.93,0.442,-0.549,0.527,-0.553
2016,246,8,138,160,60,1.56,-3.23,2.56,-1.97,0.379,-0.551,0.437,-0.487
2017,247,19,131,147,50,1.6,-1.04,1.22,-2.16,0.256,-0.333,0.273,-0.357
2018,245,7,138,150,50,1.83,-2.0,3.53,-1.93,0.347,-0.458,0.416,-0.448
2019,244,8,140,156,60,5.97,-3.17,1.88,-1.73,0.4,-0.526,0.461,-0.473
2020,251,12,148,149,58,10.83,-5.09,4.54,-5.87,0.619,-0.865,0.768,-0.724
2021,240,8,140,146,54,1.69,-2.18,2.09,-1.7,0.344,-0.512,0.496,-0.546
2022,240,10,138,143,51,2.21,-1.81,2.46,-1.82,0.405,-0.552,0.474,-0.575
2023,237,19,133,133,48,0.81,-0.92,2.03,-1.47,0.255,-0.359,0.31,-0.37
2024,156,7,93,87,31,2.51,-1.39,4.95,-1.66,0.369,-0.416,0.404,-0.513
