Date,Time,DayHigh,DayHighTime,DayLow,DayLowTime,IsDayHighBreak,DayHighBreakTime,IsDayLowBreak,DayLowBreakTime,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,TargetHighTime,points_from_target_high,percentChangeTargetHigh,SLHigh,SLHighTime,points_from_SL_High,percentageChangeSLHigh,TargetLow,TargetLowTime,points_from_Target_Low,percentageChangeTargetLow,SLLow,SLLowTime,points_from_SL_low,percentageChangeSLLow,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20140101,14:00,6327.20,09:15,6301.65,09:23,False,N/A,True,14:07,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6298.25,15:17,3.40,0.05,6308.45,14:47,-6.80,-0.11,6303.75,0.00,-2.10,False
20140102,14:00,6358.30,09:36,6296.85,14:00,False,N/A,True,14:01,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6211.85,15:29,85.00,1.35,6297.20,14:01,-0.35,-0.01,6214.80,0.00,82.05,False
20140103,14:00,6209.05,09:20,6171.25,13:02,True,14:47,False,N/A,True,False,6219.85,15:29,10.80,0.17,6188.15,14:01,-20.90,-0.34,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6218.20,9.15,0.00,False
20140106,14:00,6224.70,09:15,6170.25,13:36,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6191.80,0.00,0.00,True
20140107,14:00,6221.50,09:21,6144.75,10:17,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6159.45,0.00,0.00,True
20140108,14:00,6191.20,11:29,6160.35,09:21,True,14:32,False,N/A,True,False,6192.10,14:32,0.90,0.01,6169.05,15:15,-22.15,-0.36,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6172.40,-18.80,0.00,False
20140109,14:00,6188.05,09:23,6148.25,13:09,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6170.50,0.00,0.00,True
20140110,14:00,6239.10,13:45,6139.60,09:33,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6169.10,0.00,0.00,True
20140113,14:00,6259.00,09:52,6194.60,09:15,True,15:11,False,N/A,True,False,6286.50,15:24,27.50,0.44,6242.85,14:22,-16.15,-0.26,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6284.40,25.40,0.00,False
20140114,14:00,6280.35,09:18,6236.85,13:56,False,N/A,True,14:09,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6234.15,14:10,2.70,0.04,6257.25,14:44,-20.40,-0.33,6243.80,0.00,-6.95,False
20140115,14:00,6316.70,12:03,6265.30,09:15,True,14:32,False,N/A,True,False,6325.20,15:28,8.50,0.13,6298.05,14:01,-18.65,-0.3,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6323.85,7.15,0.00,False
20140116,14:00,6346.50,09:15,6299.85,12:35,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6316.20,0.00,0.00,True
20140117,14:00,6327.10,09:34,6275.55,13:30,False,N/A,True,14:35,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6246.35,15:05,29.20,0.47,6294.25,14:18,-18.70,-0.3,6271.45,0.00,4.10,False
20140120,14:00,6304.95,10:47,6243.35,09:22,True,14:55,False,N/A,True,False,6307.45,15:18,2.50,0.04,6279.60,14:05,-25.35,-0.4,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6301.70,-3.25,0.00,False
20140121,14:00,6330.30,11:10,6297.90,12:04,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6315.55,0.00,0.00,True
20140122,14:00,6330.60,13:19,6287.45,09:22,True,14:37,False,N/A,True,False,6349.95,15:03,19.35,0.31,6318.60,14:15,-12.00,-0.19,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6333.85,3.25,0.00,False
20140123,14:00,6348.00,13:37,6316.40,09:15,True,14:17,False,N/A,True,False,6355.60,14:22,7.60,0.12,6341.20,14:08,-6.80,-0.11,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6348.80,0.80,0.00,False
20140124,14:00,6331.45,09:35,6269.15,11:19,False,N/A,True,14:28,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6263.90,15:04,5.25,0.08,6288.10,14:01,-18.95,-0.3,6266.75,0.00,2.40,False
20140127,14:00,6188.55,09:20,6155.60,13:59,False,N/A,True,14:01,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6130.25,15:12,25.35,0.41,6162.00,14:29,-6.40,-0.1,6142.15,0.00,13.45,False
20140128,14:00,6163.60,10:54,6085.95,11:10,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6130.25,0.00,0.00,True
20140129,14:00,6170.45,09:31,6139.45,13:19,False,N/A,True,14:43,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6109.80,15:08,29.65,0.48,6156.65,14:21,-17.20,-0.28,6124.20,0.00,15.25,False
20140130,14:00,6072.95,09:20,6038.55,13:57,True,15:06,True,14:19,True,True,6082.80,15:29,9.85,0.16,6027.25,14:50,-45.70,-0.75,6027.25,14:50,11.30,0.19,6082.80,15:29,-44.25,-0.73,6080.00,7.05,-41.45,False
20140131,14:00,6097.30,10:21,6068.35,09:19,True,14:32,True,14:52,True,False,6097.85,14:32,0.55,0.01,6067.35,14:53,-29.95,-0.49,6067.35,14:53,1.00,0.02,6097.85,14:32,-29.50,-0.49,6089.55,-7.75,-21.20,False
20140203,14:00,6074.85,10:07,6024.25,13:17,False,N/A,True,14:08,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5994.45,15:25,29.80,0.49,6033.65,14:05,-9.40,-0.16,5997.90,0.00,26.35,False
