Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,percentChangeTargetHigh,SLHigh,points_from_SL_High,percentageChangeSLHigh,TargetLow,points_from_Target_Low,percentageChangeTargetLow,SLLow,points_from_SL_low,percentageChangeSLLow,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20200101,15:00,12222.20,12165.30,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,12187.30,0.00,0.00,True
20200102,15:00,12275.20,12195.25,True,False,True,False,12289.90,14.70,0.12,12271.50,-3.70,-0.03,0.00,0.00,0.0,0.00,0.00,0.0,12283.30,8.10,0.00,False
20200103,15:00,12265.60,12191.35,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,12230.60,0.00,0.00,True
20200106,15:00,12179.10,11974.20,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,11997.45,0.00,0.00,True
20200107,15:00,12152.15,12005.35,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,12063.05,0.00,0.00,True
20200108,15:00,12044.95,11929.60,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,12023.40,0.00,0.00,True
20200109,15:00,12217.90,12132.55,True,False,True,False,12224.05,6.15,0.05,12205.75,-12.15,-0.1,0.00,0.00,0.0,0.00,0.00,0.0,12213.75,-4.15,0.00,False
20200110,15:00,12311.20,12213.20,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,12258.65,0.00,0.00,True
20200113,15:00,12337.75,12285.80,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,12329.55,0.00,0.00,True
20200114,15:00,12367.90,12308.70,True,False,True,False,12374.25,6.35,0.05,12356.20,-11.70,-0.09,0.00,0.00,0.0,0.00,0.00,0.0,12359.75,-8.15,0.00,False
20200115,15:00,12350.30,12278.75,True,False,True,False,12355.15,4.85,0.04,12312.70,-37.60,-0.3,0.00,0.00,0.0,0.00,0.00,0.0,12345.40,-4.90,0.00,False
20200116,15:00,12389.05,12315.80,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,12353.05,0.00,0.00,True
