Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,percentChangeTargetHigh,SLHigh,points_from_SL_High,percentageChangeSLHigh,TargetLow,points_from_Target_Low,percentageChangeTargetLow,SLLow,points_from_SL_low,percentageChangeSLLow,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20150101,15:00,8294.70,8248.75,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,8285.60,0.00,0.00,True
20150102,15:00,8410.60,8293.25,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,8405.25,0.00,0.00,True
20150105,15:00,8445.60,8363.90,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,8378.60,0.00,0.00,True
20150106,15:00,8327.85,8133.85,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,8111.35,22.50,0.28,8156.40,-22.55,-0.28,8126.60,0.00,7.25,False
20150107,15:00,8151.20,8065.45,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,8115.10,0.00,0.00,True
20150108,15:00,8243.50,8167.30,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,8234.25,0.00,0.00,True
20150109,15:00,8303.30,8190.80,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,8283.05,0.00,0.00,True
20150112,15:00,8323.20,8245.60,True,False,True,False,8332.60,9.40,0.11,8305.80,-17.40,-0.21,0.00,0.00,0.0,0.00,0.00,0.0,8331.05,7.85,0.00,False
20150113,15:00,8356.65,8267.90,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,8305.80,0.00,0.00,True
20150114,15:00,8326.45,8236.65,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,8288.10,0.00,0.00,True
20150115,15:00,8527.10,8380.55,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,8467.30,0.00,0.00,True
20150116,15:00,8526.15,8452.25,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,8517.25,0.00,0.00,True
20150119,15:00,8570.95,8531.50,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,8550.40,0.00,0.00,True
20150120,15:00,8695.15,8574.50,True,False,True,False,8707.90,12.75,0.15,8687.00,-8.15,-0.09,0.00,0.00,0.0,0.00,0.00,0.0,8694.00,-1.15,0.00,False
20150121,15:00,8741.85,8689.60,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,8733.65,0.00,0.00,True
20150122,15:00,8772.70,8727.00,True,False,True,False,8774.15,1.45,0.02,8735.65,-37.05,-0.42,0.00,0.00,0.0,0.00,0.00,0.0,8768.10,-4.60,0.00,False
20150123,15:00,8866.40,8795.40,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,8829.15,0.00,0.00,True
20150127,15:00,8899.20,8825.45,True,False,True,False,8925.05,25.85,0.29,8896.15,-3.05,-0.03,0.00,0.00,0.0,0.00,0.00,0.0,8910.05,10.85,0.00,False
20150128,15:00,8985.05,8874.05,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,8912.55,0.00,0.00,True
20150129,15:00,8907.85,8861.25,True,False,True,False,8966.65,58.80,0.66,8895.45,-12.40,-0.14,0.00,0.00,0.0,0.00,0.00,0.0,8952.15,44.30,0.00,False
20150130,15:00,8996.55,8775.10,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,8817.85,0.00,0.00,True
20150202,15:00,8840.80,8751.10,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,8800.85,0.00,0.00,True
20150203,15:00,8837.30,8726.65,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,8744.25,0.00,0.00,True
20150204,15:00,8792.85,8716.40,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,8704.40,12.00,0.14,8749.40,-33.00,-0.38,8706.95,0.00,9.45,False
20150205,15:00,8838.45,8705.05,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,8683.65,21.40,0.25,8765.85,-60.80,-0.7,8694.70,0.00,10.35,False
20150206,15:00,8726.20,8649.25,False,True,False,False,0.00,0.00,0.0,0.00,0.00,0.0,8645.55,3.70,0.04,8675.85,-26.60,-0.31,8666.70,0.00,-17.45,False
