Date,Time,DayHigh,DayHighTime,DayLow,DayLowTime,IsDayHighBreak,DayHighBreakTime,IsDayLowBreak,DayLowBreakTime,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,TargetHighTime,points_from_target_high,percentChangeTargetHigh,SLHigh,SLHighTime,points_from_SL_High,percentageChangeSLHigh,TargetLow,TargetLowTime,points_from_Target_Low,percentageChangeTargetLow,SLLow,SLLowTime,points_from_SL_low,percentageChangeSLLow,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20110103,15:00,6178.55,09:15,6147.20,14:54,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6158.60,0.00,0.00,True
20110104,15:00,6181.05,09:15,6124.40,11:38,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6141.50,0.00,0.00,True
20110105,15:00,6139.95,09:15,6062.35,14:15,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6077.35,0.00,0.00,True
20110106,15:00,6116.15,09:15,6022.30,14:04,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6045.80,0.00,0.00,True
20110107,15:00,6051.20,09:30,5921.15,14:39,False,N/A,True,15:07,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5883.60,15:29,37.55,0.63,5941.10,15:01,-19.95,-0.34,5888.10,0.00,33.05,False
20110110,15:00,5907.25,09:15,5772.85,14:59,False,N/A,True,15:01,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5740.95,15:29,31.90,0.55,5784.25,15:07,-11.40,-0.2,5744.70,0.00,28.15,False
20110111,15:00,5842.60,13:32,5698.20,14:56,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5803.15,0.00,0.00,True
20110112,15:00,5860.70,14:39,5711.30,11:44,True,15:03,False,N/A,True,False,5874.20,15:15,13.50,0.23,5852.05,15:02,-8.65,-0.15,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5858.90,-1.80,0.00,False
20110113,15:00,5857.75,11:46,5744.35,14:01,False,N/A,True,15:01,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5736.70,15:03,7.65,0.13,5765.95,15:21,-21.60,-0.38,5759.00,0.00,-14.65,False
20110114,15:00,5833.65,13:16,5660.75,14:47,False,N/A,True,15:12,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5639.65,15:19,21.10,0.37,5686.70,15:02,-25.95,-0.46,5646.50,0.00,14.25,False
20110117,15:00,5696.15,13:03,5624.15,09:21,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5656.20,0.00,0.00,True
20110118,15:00,5723.40,09:56,5671.25,11:05,True,15:05,False,N/A,True,False,5730.50,15:16,7.10,0.12,5704.35,15:02,-19.05,-0.33,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5724.60,1.20,0.00,False
20110119,15:00,5747.65,09:15,5662.55,14:56,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5701.85,0.00,0.00,True
20110120,15:00,5729.45,14:37,5634.50,13:17,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5710.30,0.00,0.00,True
20110121,15:00,5717.55,12:15,5674.50,13:49,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5695.75,0.00,0.00,True
20110124,15:00,5756.00,11:47,5697.75,09:28,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5744.00,0.00,0.00,True
20110125,15:00,5801.55,11:36,5689.20,14:12,False,N/A,True,15:03,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5680.65,15:05,8.55,0.15,5697.25,15:01,-8.05,-0.14,5687.35,0.00,1.85,False
20110127,15:00,5726.10,09:15,5620.90,14:57,False,N/A,True,15:02,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5594.95,15:08,25.95,0.46,5634.95,15:01,-14.05,-0.25,5605.65,0.00,15.25,False
20110128,15:00,5614.40,09:15,5459.55,14:38,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5524.35,0.00,0.00,True
20110131,15:00,5509.75,13:27,5416.65,09:36,True,15:09,False,N/A,True,False,5526.85,15:10,17.10,0.31,5481.05,15:05,-28.70,-0.52,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5505.55,-4.20,0.00,False
20110201,15:00,5539.15,09:15,5403.05,14:22,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5405.10,0.00,0.00,True
20110202,15:00,5490.60,14:28,5438.70,09:37,False,N/A,True,15:03,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5415.65,15:23,23.05,0.42,5457.50,15:01,-18.80,-0.35,5428.10,0.00,10.60,False
20110203,15:00,5530.35,15:00,5418.00,09:17,True,15:01,False,N/A,True,False,5532.65,15:03,2.30,0.04,5517.85,15:12,-12.50,-0.23,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5528.80,-1.55,0.00,False
20110204,15:00,5556.30,10:43,5429.80,15:00,False,N/A,True,15:01,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5369.05,15:23,60.75,1.12,5431.15,15:01,-1.35,-0.02,5388.00,0.00,41.80,False
20110207,15:00,5440.35,14:33,5385.10,09:29,False,N/A,True,15:04,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5376.95,15:04,8.15,0.15,5425.55,15:01,-40.45,-0.75,5406.35,0.00,-21.25,False
20110208,15:00,5429.75,09:15,5321.20,14:57,False,N/A,True,15:02,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5303.40,15:22,17.80,0.33,5327.45,15:01,-6.25,-0.12,5309.25,0.00,11.95,False
20110209,15:00,5339.45,10:49,5225.65,14:52,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5273.65,0.00,0.00,True
20110210,15:00,5272.60,14:10,5196.80,11:29,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5226.25,0.00,0.00,True
20110211,15:00,5300.15,14:49,5177.70,12:06,True,15:03,False,N/A,True,False,5319.45,15:18,19.30,0.36,5292.50,15:02,-7.65,-0.14,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5309.65,9.50,0.00,False
20110214,15:00,5458.20,15:00,5340.40,09:15,True,15:01,False,N/A,True,False,5463.80,15:27,5.60,0.1,5447.90,15:11,-10.30,-0.19,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5460.45,2.25,0.00,False
20110215,15:00,5506.50,14:36,5408.35,11:02,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5474.35,0.00,0.00,True
20110216,15:00,5504.80,12:40,5460.35,11:37,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5485.60,0.00,0.00,True
20110217,15:00,5551.90,14:52,5463.40,09:59,True,15:01,False,N/A,True,False,5553.00,15:02,1.10,0.02,5539.75,15:15,-12.15,-0.22,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5543.30,-8.60,0.00,False
20110218,15:00,5599.25,09:54,5456.75,14:59,False,N/A,True,15:05,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5441.95,15:09,14.80,0.27,5469.30,15:01,-12.55,-0.23,5463.70,0.00,-6.95,False
20110221,15:00,5510.95,14:56,5413.10,13:59,True,15:05,False,N/A,True,False,5526.25,15:24,15.30,0.28,5502.40,15:04,-8.55,-0.16,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5517.65,6.70,0.00,False
20110222,15:00,5519.45,10:53,5437.30,14:42,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5473.85,0.00,0.00,True
20110223,15:00,5495.20,13:57,5436.35,14:51,False,N/A,True,15:01,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5427.55,15:20,8.80,0.16,5443.70,15:09,-7.35,-0.14,5440.70,0.00,-4.35,False
20110224,15:00,5423.40,09:21,5279.25,13:52,False,N/A,True,15:02,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5242.50,15:14,36.75,0.7,5297.40,15:01,-18.15,-0.34,5278.80,0.00,0.45,False
20110225,15:00,5338.20,12:54,5232.75,14:10,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5313.35,0.00,0.00,True
20110228,15:00,5477.00,13:47,5310.90,15:00,False,N/A,True,15:01,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5308.60,15:02,2.30,0.04,5349.70,15:15,-38.80,-0.73,5330.90,0.00,-20.00,False
20110301,15:00,5513.05,15:00,5373.55,09:21,True,15:03,False,N/A,True,False,5531.85,15:29,18.80,0.34,5506.55,15:01,-6.50,-0.12,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5525.85,12.80,0.00,False
20110303,15:00,5570.75,11:57,5468.25,10:25,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5532.80,0.00,0.00,True
20110304,15:00,5608.20,09:26,5532.45,14:03,False,N/A,True,15:03,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5524.10,15:04,8.35,0.15,5550.20,15:01,-17.75,-0.32,5543.25,0.00,-10.80,False
20110307,15:00,5491.25,09:15,5408.45,13:01,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5460.90,0.00,0.00,True
20110308,15:00,5530.55,14:56,5464.75,09:15,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5521.55,0.00,0.00,True
20110309,15:00,5563.30,09:17,5477.45,11:34,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5521.75,0.00,0.00,True
20110310,15:00,5516.30,09:15,5468.45,10:03,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5489.90,0.00,0.00,True
20110311,15:00,5502.70,11:00,5411.55,12:42,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5448.40,0.00,0.00,True
20110314,15:00,5531.80,14:58,5434.25,09:15,True,15:04,False,N/A,True,False,5537.30,15:14,5.50,0.1,5522.40,15:02,-9.40,-0.17,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5532.15,0.35,0.00,False
20110315,15:00,5497.85,13:55,5373.65,09:43,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5455.10,0.00,0.00,True
20110316,15:00,5535.10,13:26,5478.20,09:15,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5510.80,0.00,0.00,True
20110317,15:00,5510.05,11:03,5442.75,14:00,False,N/A,True,15:04,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5435.30,15:07,7.45,0.14,5456.30,15:29,-13.55,-0.25,5453.65,0.00,-10.90,False
20110318,15:00,5483.05,09:15,5370.40,15:00,False,N/A,True,15:01,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5367.45,15:18,2.95,0.05,5382.05,15:10,-11.65,-0.22,5370.85,0.00,-0.45,False
20110321,15:00,5413.30,09:15,5348.20,10:09,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5371.75,0.00,0.00,True
20110322,15:00,5428.15,14:22,5376.15,09:33,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5417.50,0.00,0.00,True
20110323,15:00,5477.25,12:35,5401.95,09:23,True,15:02,False,N/A,True,False,5484.60,15:29,7.35,0.13,5471.75,15:01,-5.50,-0.1,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5480.85,3.60,0.00,False
20110324,15:00,5528.25,09:34,5496.10,13:26,True,15:27,False,N/A,True,False,5529.00,15:27,0.75,0.01,5513.60,15:01,-14.65,-0.27,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5526.35,-1.90,0.00,False
20110325,15:00,5653.20,14:57,5560.95,09:43,True,15:03,False,N/A,True,False,5667.10,15:10,13.90,0.25,5646.15,15:28,-7.05,-0.12,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5647.20,-6.00,0.00,False
20110328,15:00,5709.10,14:13,5643.20,09:15,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5683.80,0.00,0.00,True
20110329,15:00,5770.35,14:23,5680.70,09:15,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5735.55,0.00,0.00,True
20110330,15:00,5803.15,13:04,5753.90,09:15,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5794.65,0.00,0.00,True
20110331,15:00,5872.00,12:23,5779.75,15:00,False,N/A,True,15:01,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5778.65,15:01,1.10,0.02,5849.65,15:27,-69.90,-1.21,5842.20,0.00,-62.45,False
20110401,15:00,5860.20,09:17,5810.40,14:40,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5825.90,0.00,0.00,True
20110404,15:00,5918.70,14:48,5833.20,10:24,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5909.20,0.00,0.00,True
20110405,15:00,5928.65,09:17,5855.85,12:42,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5903.90,0.00,0.00,True
20110406,15:00,5944.45,09:47,5868.80,10:48,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5889.70,0.00,0.00,True
20110407,15:00,5906.10,14:00,5866.25,10:33,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5886.25,0.00,0.00,True
20110408,15:00,5926.95,09:47,5822.00,14:51,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5846.55,0.00,0.00,True
20110411,15:00,5830.30,10:05,5781.75,14:37,False,N/A,True,15:19,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5779.55,15:25,2.20,0.04,5798.15,15:04,-16.40,-0.28,5779.95,0.00,1.80,False
20110413,15:00,5895.50,14:44,5735.55,09:15,True,15:01,False,N/A,True,False,5922.95,15:29,27.45,0.47,5891.45,15:01,-4.05,-0.07,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5919.30,23.80,0.00,False
20110415,15:00,5907.35,09:17,5806.45,12:07,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5815.55,0.00,0.00,True
20110418,15:00,5897.90,10:31,5732.50,14:07,False,N/A,True,15:03,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5722.25,15:14,10.25,0.18,5739.80,15:01,-7.30,-0.13,5732.40,0.00,0.10,False
20110419,15:00,5762.95,10:54,5693.25,10:17,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5740.95,0.00,0.00,True
20110420,15:00,5845.55,15:00,5759.65,13:11,True,15:01,False,N/A,True,False,5857.35,15:26,11.80,0.2,5843.75,15:01,-1.80,-0.03,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5854.95,9.40,0.00,False
20110421,15:00,5912.90,11:18,5864.35,14:00,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5883.15,0.00,0.00,True
20110425,15:00,5906.60,10:02,5857.00,09:15,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5871.00,0.00,0.00,True
20110426,15:00,5893.20,14:57,5791.55,12:22,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5862.70,0.00,0.00,True
20110427,15:00,5892.35,09:15,5819.95,13:36,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5832.45,0.00,0.00,True
20110428,15:00,5856.40,09:15,5786.30,12:56,False,N/A,True,15:01,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5776.95,15:03,9.35,0.16,5799.45,15:01,-13.15,-0.23,5785.25,0.00,1.05,False
20110429,15:00,5804.30,09:21,5706.05,14:52,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5755.15,0.00,0.00,True
20110502,15:00,5775.25,09:15,5687.70,14:08,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5697.20,0.00,0.00,True
20110503,15:00,5710.75,10:52,5570.05,15:00,False,N/A,True,15:01,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5554.85,15:23,15.20,0.27,5574.20,15:14,-4.15,-0.07,5561.90,0.00,8.15,False
20110504,15:00,5578.80,14:26,5503.00,09:37,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5536.90,0.00,0.00,True
20110505,15:00,5560.30,09:49,5451.95,13:56,False,N/A,True,15:22,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5444.50,15:29,7.45,0.14,5493.40,15:01,-41.45,-0.76,5449.50,0.00,2.45,False
20110506,15:00,5564.40,14:55,5472.45,13:09,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5543.30,0.00,0.00,True
20110509,15:00,5586.05,09:15,5502.40,10:24,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5552.35,0.00,0.00,True
20110510,15:00,5592.90,11:52,5514.55,14:35,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5542.80,0.00,0.00,True
20110511,15:00,5574.60,14:51,5525.00,10:06,True,15:08,False,N/A,True,False,5574.70,15:08,0.10,0.0,5556.70,15:22,-17.90,-0.32,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5560.35,-14.25,0.00,False
20110512,15:00,5572.50,11:04,5476.30,14:54,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5486.65,0.00,0.00,True
20110513,15:00,5605.00,13:34,5472.15,09:34,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5561.15,0.00,0.00,True
20110516,15:00,5541.80,09:15,5487.65,14:29,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5497.80,0.00,0.00,True
20110517,15:00,5523.85,09:47,5421.05,14:20,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5440.15,0.00,0.00,True
20110518,15:00,5460.50,09:17,5401.25,12:48,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5420.80,0.00,0.00,True
20110519,15:00,5452.60,09:15,5411.25,10:25,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5437.50,0.00,0.00,True
20110520,15:00,5517.55,14:25,5432.75,09:17,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5484.65,0.00,0.00,True
20110523,15:00,5453.80,09:15,5373.00,13:29,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5384.90,0.00,0.00,True
20110524,15:00,5422.60,12:51,5367.45,14:36,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5393.85,0.00,0.00,True
20110525,15:00,5388.55,09:15,5328.70,13:38,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5349.40,0.00,0.00,True
20110526,15:00,5406.30,11:25,5356.35,10:00,True,15:04,False,N/A,True,False,5422.20,15:18,15.90,0.29,5371.85,15:01,-34.45,-0.64,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5414.50,8.20,0.00,False
20110527,15:00,5485.80,14:02,5413.60,09:15,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5473.35,0.00,0.00,True
20110530,15:00,5509.30,09:19,5458.60,11:10,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5468.80,0.00,0.00,True
20110531,15:00,5571.60,14:52,5489.70,09:15,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5560.60,0.00,0.00,True
20110601,15:00,5596.85,15:00,5559.45,09:15,True,15:01,False,N/A,True,False,5597.35,15:01,0.50,0.01,5586.35,15:22,-10.50,-0.19,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5591.65,-5.20,0.00,False
20110602,15:00,5568.20,12:45,5521.95,09:15,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5553.25,0.00,0.00,True
20110603,15:00,5604.95,09:38,5509.90,14:05,False,N/A,True,15:03,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5507.20,15:04,2.70,0.05,5525.10,15:27,-15.20,-0.28,5522.30,0.00,-12.40,False
20110606,15:00,5542.65,14:47,5479.85,10:55,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5534.10,0.00,0.00,True
20110607,15:00,5570.10,14:21,5507.80,09:15,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5555.80,0.00,0.00,True
20110608,15:00,5556.60,12:17,5514.90,13:47,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5529.80,0.00,0.00,True
20110609,15:00,5540.10,13:01,5502.05,12:11,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5521.50,0.00,0.00,True
20110610,15:00,5521.45,09:15,5457.45,13:53,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5487.15,0.00,0.00,True
