Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,212,0,152,149,89,3.18,-3.99,3.29,-3.57,0.658,-0.775,0.712,-0.722
2011,246,3,156,169,82,3.3,-5.41,4.47,-3.84,0.87,-1.164,1.006,-0.997
2012,250,2,172,176,100,3.12,-3.94,4.64,-4.28,0.741,-0.963,0.755,-0.875
2013,249,6,159,168,84,4.54,-6.43,5.86,-5.53,0.774,-0.982,0.911,-0.925
2014,243,7,153,147,64,5.25,-3.49,2.75,-6.92,0.695,-0.778,0.657,-0.863
2015,247,3,151,166,73,3.61,-2.68,3.52,-4.36,0.677,-0.81,0.782,-0.801
2016,246,7,158,152,71,2.35,-3.55,3.28,-3.2,0.57,-0.759,0.647,-0.748
2017,247,19,149,135,56,2.48,-2.05,1.69,-2.77,0.363,-0.468,0.391,-0.524
2018,245,6,157,153,71,3.13,-2.46,4.56,-4.2,0.49,-0.625,0.479,-0.658
2019,244,2,156,151,65,9.09,-3.64,3.45,-3.96,0.608,-0.697,0.646,-0.683
2020,251,4,152,167,72,12.44,-8.07,6.0,-19.97,1.189,-1.447,1.151,-1.419
2021,240,8,139,155,62,2.91,-3.05,2.93,-3.2,0.682,-0.852,0.71,-0.826
2022,240,2,154,146,62,2.85,-2.81,3.02,-4.06,0.582,-0.758,0.665,-0.78
2023,237,6,142,153,64,1.45,-2.05,2.21,-2.03,0.376,-0.545,0.444,-0.536
2024,156,7,93,87,31,3.95,-2.62,5.47,-6.2,0.521,-0.674,0.613,-0.656
