Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,251,0,181,195,125,2.19,-2.26,2.29,-2.4,0.48,-0.63,0.563,-0.576
2011,246,1,148,186,89,2.61,-3.89,2.81,-3.02,0.664,-0.935,0.749,-0.796
2012,250,2,162,192,106,2.06,-3.03,2.58,-3.05,0.483,-0.647,0.478,-0.64
2013,249,9,149,168,77,1.9,-3.06,3.28,-2.42,0.503,-0.643,0.593,-0.572
2014,243,7,148,170,82,2.4,-5.6,2.15,-4.12,0.366,-0.573,0.436,-0.52
2015,247,5,151,167,76,2.56,-1.95,2.94,-2.93,0.462,-0.565,0.572,-0.54
2016,246,4,146,167,71,1.69,-3.23,2.71,-2.12,0.397,-0.562,0.478,-0.474
2017,247,9,145,161,68,1.6,-1.3,1.4,-1.97,0.261,-0.364,0.294,-0.357
2018,245,4,149,162,70,1.86,-2.0,3.53,-2.7,0.37,-0.465,0.436,-0.483
2019,244,4,151,170,81,5.97,-2.96,1.93,-2.56,0.415,-0.563,0.473,-0.513
2020,251,6,163,163,81,11.24,-7.19,4.89,-19.71,0.652,-0.939,0.772,-0.89
2021,240,3,153,159,75,2.05,-1.85,2.23,-1.7,0.364,-0.53,0.54,-0.534
2022,240,2,149,157,68,2.21,-1.81,2.72,-3.01,0.437,-0.576,0.507,-0.595
2023,237,8,151,147,69,0.91,-1.01,2.03,-1.31,0.265,-0.371,0.33,-0.387
2024,156,5,99,91,39,2.51,-1.39,4.95,-1.98,0.399,-0.435,0.473,-0.473
