Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,percentChangeTargetHigh,SLHigh,points_from_SL_High,percentageChangeSLHigh,TargetLow,points_from_Target_Low,percentageChangeTargetLow,SLLow,points_from_SL_low,percentageChangeSLLow,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20200101,11:15,12222.20,12169.80,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,12165.30,4.50,0.04,12197.75,-27.95,-0.23,12187.30,0.00,-17.50,False
20200102,11:15,12236.35,12195.25,True,False,True,False,12289.90,53.55,0.44,12228.05,-8.30,-0.07,0.00,0.00,0.0,0.00,0.00,0.0,12283.30,46.95,0.00,False
20200103,11:15,12265.60,12228.00,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,12191.35,36.65,0.3,12249.05,-21.05,-0.17,12230.60,0.00,-2.60,False
20200106,11:15,12179.10,12062.85,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,11974.20,88.65,0.73,12071.45,-8.60,-0.07,11997.45,0.00,65.40,False
20200107,11:15,12152.15,12055.70,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,12005.35,50.35,0.42,12095.10,-39.40,-0.33,12063.05,0.00,-7.35,False
20200108,11:15,12044.95,11929.60,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,12023.40,0.00,0.00,True
20200109,11:15,12187.30,12132.55,True,False,True,False,12224.05,36.75,0.3,12170.95,-16.35,-0.13,0.00,0.00,0.0,0.00,0.00,0.0,12213.75,26.45,0.00,False
20200110,11:15,12289.15,12230.85,True,True,True,True,12311.20,22.05,0.18,12213.20,-75.95,-0.62,12213.20,17.65,0.14,12311.20,-80.35,-0.66,12258.65,-30.50,-27.80,False
20200113,11:15,12337.75,12285.80,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,12329.55,0.00,0.00,True
20200114,11:15,12349.75,12308.70,True,False,True,False,12374.25,24.50,0.2,12322.40,-27.35,-0.22,0.00,0.00,0.0,0.00,0.00,0.0,12359.75,10.00,0.00,False
