Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,251,13,137,160,59,1.89,-1.94,2.01,-2.08,0.418,-0.57,0.48,-0.553
2011,246,22,114,147,37,2.09,-3.89,2.77,-3.02,0.576,-0.806,0.595,-0.743
2012,250,15,126,147,38,2.06,-1.74,2.46,-2.69,0.427,-0.52,0.421,-0.529
2013,249,29,122,137,39,1.61,-1.99,3.02,-2.35,0.403,-0.593,0.458,-0.54
2014,243,31,110,133,31,1.59,-1.75,2.15,-2.06,0.325,-0.462,0.381,-0.463
2015,247,18,119,139,29,1.39,-2.01,2.4,-1.53,0.404,-0.479,0.456,-0.51
2016,246,23,124,143,44,1.5,-3.43,2.36,-2.04,0.342,-0.537,0.366,-0.515
2017,247,36,120,124,33,1.59,-1.19,0.92,-1.24,0.216,-0.33,0.232,-0.344
2018,245,24,118,124,21,1.64,-2.02,3.53,-1.81,0.332,-0.386,0.385,-0.424
2019,244,19,119,136,30,1.3,-1.34,1.79,-1.36,0.345,-0.426,0.39,-0.428
2020,251,31,121,122,23,4.97,-3.25,3.97,-3.65,0.518,-0.646,0.666,-0.715
2021,240,27,116,115,18,1.14,-1.53,2.01,-1.32,0.282,-0.427,0.447,-0.486
2022,240,29,121,118,28,1.77,-1.96,1.91,-2.11,0.336,-0.51,0.421,-0.506
2023,237,36,107,107,13,0.81,-0.8,1.88,-1.31,0.241,-0.288,0.267,-0.329
2024,156,27,76,62,9,1.1,-1.55,2.7,-1.82,0.29,-0.358,0.353,-0.446
