Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,212,14,113,119,34,2.63,-2.3,3.29,-3.26,0.599,-0.659,0.624,-0.667
2011,246,24,116,135,29,2.97,-4.56,4.04,-3.87,0.745,-0.979,0.795,-0.928
2012,250,19,128,127,24,2.82,-2.05,3.15,-2.91,0.629,-0.725,0.656,-0.664
2013,249,29,125,132,37,2.57,-3.24,4.53,-2.28,0.588,-0.873,0.647,-0.816
2014,243,47,107,111,22,3.46,-3.63,2.75,-5.1,0.555,-0.668,0.572,-0.792
2015,247,27,113,135,28,2.25,-2.6,2.96,-2.21,0.545,-0.773,0.622,-0.718
2016,246,29,128,122,33,2.05,-4.17,3.07,-4.25,0.485,-0.744,0.516,-0.731
2017,247,52,112,106,23,2.35,-1.67,1.5,-2.87,0.325,-0.421,0.331,-0.495
2018,245,29,121,123,28,3.13,-2.46,4.56,-1.76,0.438,-0.551,0.433,-0.575
2019,244,27,123,118,24,2.63,-1.52,2.58,-1.52,0.486,-0.562,0.535,-0.585
2020,251,32,119,124,24,8.15,-5.96,4.76,-5.5,0.91,-1.147,0.982,-1.158
2021,240,47,98,111,16,1.81,-3.05,2.68,-2.82,0.541,-0.696,0.556,-0.706
2022,240,31,122,108,21,2.66,-2.81,2.48,-3.24,0.464,-0.683,0.558,-0.71
2023,237,41,104,107,15,1.41,-1.69,1.74,-2.03,0.323,-0.465,0.365,-0.418
2024,156,35,69,58,6,2.84,-1.37,2.21,-2.05,0.355,-0.514,0.402,-0.556
