Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,251,12,141,163,65,1.93,-1.94,2.03,-2.08,0.434,-0.566,0.49,-0.557
2011,246,20,120,147,41,2.19,-3.89,2.77,-3.02,0.561,-0.847,0.62,-0.751
2012,250,12,129,150,41,2.06,-1.74,2.46,-2.69,0.43,-0.537,0.432,-0.534
2013,249,28,122,138,39,1.61,-1.97,3.02,-2.35,0.419,-0.594,0.474,-0.537
2014,243,27,116,138,38,1.89,-3.05,2.15,-2.06,0.324,-0.505,0.378,-0.479
2015,247,17,120,142,32,1.6,-2.01,2.4,-3.16,0.408,-0.487,0.461,-0.531
2016,246,16,126,148,44,1.5,-3.43,2.44,-2.04,0.343,-0.542,0.371,-0.516
2017,247,34,121,129,37,1.59,-1.17,1.0,-1.24,0.221,-0.331,0.236,-0.347
2018,245,19,120,130,24,1.71,-2.02,3.53,-1.87,0.338,-0.393,0.386,-0.439
2019,244,17,121,141,35,1.73,-1.36,1.88,-1.51,0.357,-0.436,0.406,-0.434
2020,251,27,127,125,28,4.97,-3.25,3.97,-3.65,0.512,-0.684,0.675,-0.714
2021,240,26,116,117,19,1.2,-1.53,2.01,-1.42,0.294,-0.432,0.457,-0.495
2022,240,27,121,120,28,2.05,-1.81,2.01,-1.79,0.356,-0.51,0.442,-0.504
2023,237,36,111,110,20,0.81,-0.92,1.98,-1.31,0.24,-0.301,0.282,-0.327
2024,156,26,76,63,9,1.14,-1.5,3.27,-1.48,0.311,-0.349,0.369,-0.439
