Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,212,11,117,123,39,2.63,-2.25,3.29,-3.26,0.61,-0.646,0.63,-0.68
2011,246,22,120,135,31,3.26,-4.56,4.47,-3.84,0.757,-1.015,0.835,-0.949
2012,250,18,128,132,28,2.91,-2.04,3.15,-3.13,0.657,-0.737,0.671,-0.675
2013,249,27,128,134,40,2.57,-2.92,4.53,-3.7,0.605,-0.878,0.672,-0.845
2014,243,44,110,113,24,3.88,-3.62,2.75,-5.1,0.576,-0.689,0.575,-0.812
2015,247,25,114,137,29,2.25,-2.68,2.98,-3.46,0.561,-0.78,0.636,-0.74
2016,246,27,129,124,34,2.05,-4.17,3.11,-3.2,0.505,-0.741,0.538,-0.731
2017,247,48,116,109,26,2.35,-1.67,1.5,-2.87,0.323,-0.431,0.336,-0.496
2018,245,26,123,125,29,3.13,-2.46,4.56,-1.76,0.448,-0.559,0.439,-0.566
2019,244,23,126,122,27,3.16,-1.69,3.17,-1.65,0.501,-0.58,0.572,-0.579
2020,251,28,125,128,30,8.15,-5.96,4.76,-5.4,0.889,-1.198,0.992,-1.171
2021,240,44,100,114,18,1.91,-3.05,2.68,-2.47,0.563,-0.709,0.562,-0.716
2022,240,29,125,111,25,2.85,-2.81,2.48,-3.09,0.485,-0.692,0.578,-0.713
2023,237,35,109,111,18,1.41,-1.69,1.84,-2.03,0.321,-0.483,0.375,-0.424
2024,156,35,70,59,8,2.84,-2.04,2.83,-1.67,0.369,-0.538,0.415,-0.563
