Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,percentChangeTargetHigh,SLHigh,points_from_SL_High,percentageChangeSLHigh,TargetLow,points_from_Target_Low,percentageChangeTargetLow,SLLow,points_from_SL_low,percentageChangeSLLow,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20130101,13:15,5963.90,5935.20,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,5951.05,0.00,0.00,True
20130102,13:15,6006.05,5982.00,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,5992.10,0.00,0.00,True
20130103,13:15,6017.00,5986.55,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,6007.40,0.00,0.00,True
20130104,13:15,6007.35,5981.55,True,False,True,False,6020.75,13.40,0.22,5986.05,-21.30,-0.35,0.00,0.00,0.0,0.00,0.00,0.0,6014.25,6.90,0.00,False
20130107,13:15,6039.25,6005.75,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5978.35,27.40,0.46,6011.75,-6.00,-0.1,5982.25,0.00,23.50,False
20130108,13:15,5990.65,5964.40,True,False,True,False,6007.05,16.40,0.27,5970.80,-19.85,-0.33,0.00,0.00,0.0,0.00,0.00,0.0,6001.55,10.90,0.00,False
20130109,13:15,6020.10,5989.10,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5958.45,30.65,0.51,6004.65,-15.55,-0.26,5972.35,0.00,16.75,False
20130110,13:15,6005.15,5964.90,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5947.30,17.60,0.3,5977.30,-12.40,-0.21,5963.20,0.00,1.70,False
20130111,13:15,6018.85,5960.55,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5940.60,19.95,0.33,5975.15,-14.60,-0.24,5942.95,0.00,17.60,False
20130114,13:15,6008.40,5962.15,True,False,True,False,6035.00,26.60,0.44,5995.20,-13.20,-0.22,0.00,0.00,0.0,0.00,0.00,0.0,6032.80,24.40,0.00,False
20130115,13:15,6044.60,6018.60,True,False,True,False,6068.50,23.90,0.4,6020.10,-24.50,-0.41,0.00,0.00,0.0,0.00,0.00,0.0,6057.65,13.05,0.00,False
20130116,13:15,6055.95,6018.85,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5992.05,26.80,0.45,6036.30,-17.45,-0.29,5998.25,0.00,20.60,False
20130117,13:15,6031.50,5988.10,True,False,True,False,6053.20,21.70,0.36,6017.85,-13.65,-0.23,0.00,0.00,0.0,0.00,0.00,0.0,6036.45,4.95,0.00,False
20130118,13:15,6083.40,6059.20,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,6048.30,10.90,0.18,6071.10,-11.90,-0.2,6059.75,0.00,-0.55,False
20130121,13:15,6094.35,6065.10,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,6081.60,0.00,0.00,True
20130122,13:15,6101.30,6068.40,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,6040.50,27.90,0.46,6080.85,-12.45,-0.21,6043.60,0.00,24.80,False
20130123,13:15,6069.80,6036.10,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,6021.15,14.95,0.25,6064.80,-28.70,-0.48,6060.60,0.00,-24.50,False
20130124,13:15,6065.30,6007.85,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,6022.85,0.00,0.00,True
20130125,13:15,6049.90,6014.45,True,False,True,False,6079.95,30.05,0.5,6044.75,-5.15,-0.09,0.00,0.00,0.0,0.00,0.00,0.0,6077.85,27.95,0.00,False
20130128,13:15,6088.40,6061.40,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,6073.95,0.00,0.00,True
20130129,13:15,6111.80,6056.15,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,6042.45,13.70,0.23,6089.95,-33.80,-0.56,6043.60,0.00,12.55,False
20130130,13:15,6071.95,6044.15,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,6056.40,0.00,0.00,True
20130131,13:15,6058.05,6040.80,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,6025.15,15.65,0.26,6043.85,-3.05,-0.05,6031.15,0.00,9.65,False
20130201,13:15,6052.95,6004.60,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5983.20,21.40,0.36,6023.05,-18.45,-0.31,6002.95,0.00,1.65,False
20130204,13:15,6038.50,6004.00,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5981.25,22.75,0.38,6013.30,-9.30,-0.15,5988.85,0.00,15.15,False
20130205,13:15,5970.00,5947.55,True,True,True,False,5970.35,0.35,0.01,5946.90,-23.10,-0.39,5946.90,0.65,0.01,5970.35,-22.80,-0.38,5957.80,-12.20,-10.25,False
20130206,13:15,5990.90,5964.30,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5953.15,11.15,0.19,5972.35,-8.05,-0.13,5954.10,0.00,10.20,False
20130207,13:15,5978.50,5930.60,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5927.60,3.00,0.05,5951.75,-21.15,-0.36,5941.25,0.00,-10.65,False
20130208,13:15,5953.70,5921.85,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5883.65,38.20,0.65,5939.60,-17.75,-0.3,5895.05,0.00,26.80,False
20130211,13:15,5924.15,5879.10,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,5897.55,0.00,0.00,True
20130212,13:15,5916.75,5886.45,True,False,True,False,5927.65,10.90,0.18,5903.50,-13.25,-0.22,0.00,0.00,0.0,0.00,0.00,0.0,5924.40,7.65,0.00,False
20130213,13:15,5969.50,5938.25,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5922.95,15.30,0.26,5964.15,-25.90,-0.44,5934.75,0.00,3.50,False
20130214,13:15,5940.20,5901.25,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5884.70,16.55,0.28,5923.75,-22.50,-0.38,5887.15,0.00,14.10,False
20130215,13:15,5889.45,5862.10,True,True,True,True,5899.95,10.50,0.18,5853.90,-35.55,-0.6,5853.90,8.20,0.14,5899.95,-37.85,-0.65,5874.65,-14.80,-12.55,False
20130218,13:15,5907.30,5878.45,True,False,True,False,5911.00,3.70,0.06,5893.05,-14.25,-0.24,0.00,0.00,0.0,0.00,0.00,0.0,5897.35,-9.95,0.00,False
20130219,13:15,5904.15,5885.50,True,True,True,False,5947.55,43.40,0.74,5883.15,-21.00,-0.36,5883.15,2.35,0.04,5947.55,-62.05,-1.05,5945.30,41.15,-59.80,False
20130220,13:15,5971.00,5938.00,False,True,False,False,0.00,0.00,0.0,0.00,0.00,0.0,5937.55,0.45,0.01,5956.25,-18.25,-0.31,5943.40,0.00,-5.40,False
20130221,13:15,5921.15,5869.05,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5844.40,24.65,0.42,5879.00,-9.95,-0.17,5848.00,0.00,21.05,False
20130222,13:15,5862.85,5835.80,True,False,True,False,5873.80,10.95,0.19,5843.80,-19.05,-0.32,0.00,0.00,0.0,0.00,0.00,0.0,5844.30,-18.55,0.00,False
20130225,13:15,5874.25,5825.00,True,False,True,False,5878.40,4.15,0.07,5833.90,-40.35,-0.69,0.00,0.00,0.0,0.00,0.00,0.0,5852.05,-22.20,0.00,False
20130226,13:15,5838.85,5790.35,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,5748.60,41.75,0.72,5801.90,-11.55,-0.2,5763.00,0.00,27.35,False
