Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,251,0,201,209,159,2.23,-2.2,2.41,-2.39,0.514,-0.626,0.604,-0.556
2011,246,0,167,200,121,3.24,-3.89,3.05,-3.02,0.718,-0.943,0.812,-0.798
2012,250,0,182,200,132,2.24,-3.03,15.4,-3.05,0.498,-0.65,0.601,-0.624
2013,249,2,175,191,119,1.98,-3.06,3.74,-2.35,0.521,-0.662,0.623,-0.587
2014,243,4,166,185,112,2.95,-4.07,2.43,-4.12,0.408,-0.602,0.479,-0.516
2015,247,1,174,185,113,2.56,-2.16,2.94,-2.93,0.478,-0.601,0.617,-0.535
2016,246,1,161,190,106,2.78,-3.23,2.9,-1.94,0.45,-0.573,0.515,-0.486
2017,247,1,163,188,105,1.75,-1.41,1.6,-1.86,0.296,-0.379,0.322,-0.362
2018,245,0,169,187,111,1.9,-4.07,3.53,-2.25,0.401,-0.509,0.474,-0.475
2019,244,1,175,199,131,5.97,-2.96,2.28,-2.05,0.419,-0.619,0.501,-0.53
2020,251,1,185,188,123,11.24,-7.19,6.4,-19.71,0.72,-0.97,0.829,-0.967
2021,240,0,181,180,121,2.05,-2.95,2.23,-1.71,0.386,-0.599,0.577,-0.541
2022,240,0,164,179,103,2.21,-1.81,2.95,-2.79,0.498,-0.583,0.557,-0.597
2023,237,1,178,179,121,0.94,-2.27,2.03,-1.5,0.275,-0.436,0.353,-0.404
2024,156,2,113,118,77,2.51,-1.39,4.95,-2.19,0.426,-0.458,0.467,-0.486
