Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,212,0,170,168,126,3.19,-4.36,3.78,-2.96,0.721,-0.787,0.758,-0.724
2011,246,0,180,194,128,3.89,-5.41,4.47,-4.36,0.916,-1.17,1.06,-1.077
2012,250,0,190,190,130,3.34,-3.94,13.68,-4.02,0.79,-0.951,0.891,-0.885
2013,249,1,180,189,121,4.54,-6.43,6.06,-5.53,0.842,-1.001,0.981,-0.955
2014,243,2,178,170,107,5.53,-5.09,3.17,-7.36,0.77,-0.838,0.729,-0.869
2015,247,1,174,185,113,3.61,-3.13,3.71,-4.36,0.73,-0.828,0.856,-0.791
2016,246,1,171,178,104,3.65,-3.81,3.41,-3.2,0.648,-0.76,0.685,-0.765
2017,247,0,170,165,88,2.72,-2.05,1.99,-2.77,0.407,-0.481,0.431,-0.494
2018,245,3,176,175,109,3.15,-2.46,4.56,-4.2,0.528,-0.626,0.513,-0.692
2019,244,0,177,172,105,9.26,-4.84,3.88,-3.96,0.629,-0.792,0.704,-0.719
2020,251,2,176,186,113,12.44,-7.34,8.27,-19.97,1.257,-1.441,1.304,-1.537
2021,240,1,169,177,107,3.15,-3.26,3.14,-3.2,0.687,-0.926,0.77,-0.858
2022,240,0,177,171,108,2.85,-2.81,3.17,-3.69,0.638,-0.776,0.68,-0.823
2023,237,2,173,182,120,1.58,-3.17,2.27,-2.82,0.394,-0.621,0.462,-0.591
2024,156,1,105,104,54,3.95,-2.62,6.02,-5.52,0.601,-0.657,0.657,-0.643
