Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,212,10,118,126,42,2.63,-2.25,3.29,-3.26,0.625,-0.653,0.65,-0.682
2011,246,19,124,142,39,3.3,-4.56,4.47,-3.84,0.785,-1.029,0.848,-1.006
2012,250,14,132,141,37,2.91,-4.19,3.29,-3.53,0.686,-0.77,0.666,-0.71
2013,249,21,138,134,44,2.57,-2.89,4.53,-3.7,0.613,-0.88,0.708,-0.838
2014,243,38,115,116,26,3.92,-3.62,2.75,-4.56,0.586,-0.693,0.584,-0.806
2015,247,21,118,141,33,2.4,-2.68,3.17,-3.42,0.568,-0.804,0.662,-0.75
2016,246,24,133,128,39,2.05,-4.17,3.11,-3.2,0.509,-0.75,0.549,-0.722
2017,247,45,120,111,29,2.35,-1.67,1.5,-2.77,0.325,-0.442,0.343,-0.497
2018,245,22,126,132,35,3.13,-2.46,4.56,-1.76,0.456,-0.567,0.442,-0.568
2019,244,20,128,124,28,3.34,-2.09,3.18,-1.65,0.522,-0.578,0.592,-0.573
2020,251,26,127,132,34,8.41,-5.96,4.76,-5.4,0.898,-1.24,1.012,-1.181
2021,240,40,104,117,21,2.19,-3.05,2.68,-2.47,0.574,-0.751,0.588,-0.725
2022,240,28,126,114,28,2.85,-2.81,2.48,-2.94,0.506,-0.689,0.59,-0.721
2023,237,31,114,112,20,1.41,-1.69,2.11,-2.03,0.324,-0.488,0.4,-0.418
2024,156,30,74,62,10,2.88,-1.91,2.83,-1.7,0.382,-0.561,0.427,-0.58
