Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,212,20,110,110,28,2.52,-2.44,3.29,-3.26,0.57,-0.64,0.604,-0.653
2011,246,36,109,118,17,2.95,-4.45,3.54,-3.65,0.695,-0.945,0.784,-0.842
2012,250,25,121,124,20,2.82,-2.23,2.87,-2.71,0.575,-0.711,0.587,-0.663
2013,249,34,116,123,24,2.57,-2.69,4.53,-2.28,0.544,-0.827,0.618,-0.822
2014,243,54,105,101,17,2.5,-3.66,2.75,-4.43,0.492,-0.67,0.523,-0.739
2015,247,35,107,127,22,2.01,-2.6,2.96,-2.28,0.509,-0.744,0.586,-0.709
2016,246,41,119,114,28,2.05,-3.23,3.02,-2.54,0.484,-0.711,0.468,-0.709
2017,247,63,105,97,18,2.35,-1.14,1.5,-1.47,0.322,-0.396,0.326,-0.469
2018,245,35,116,117,23,3.13,-2.46,4.56,-1.76,0.427,-0.522,0.42,-0.584
2019,244,37,117,109,19,1.8,-1.72,2.58,-1.52,0.451,-0.558,0.509,-0.591
2020,251,39,109,118,15,8.11,-6.2,4.76,-4.44,0.9,-1.08,0.942,-1.104
2021,240,59,92,100,11,1.74,-2.87,2.34,-2.37,0.499,-0.649,0.522,-0.687
2022,240,40,114,99,13,2.38,-2.82,2.48,-3.24,0.432,-0.647,0.543,-0.69
2023,237,49,99,101,12,1.32,-1.69,1.6,-2.03,0.317,-0.432,0.336,-0.419
2024,156,44,65,52,5,2.84,-1.37,1.07,-1.29,0.337,-0.491,0.338,-0.492
