Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,251,64,88,103,4,1.02,-1.57,1.67,-1.42,0.326,-0.362,0.407,-0.419
2011,246,81,76,93,4,1.32,-1.42,2.77,-2.61,0.406,-0.52,0.456,-0.527
2012,250,76,91,89,6,1.82,-1.13,2.15,-1.78,0.344,-0.361,0.325,-0.442
2013,249,69,89,97,6,1.16,-1.99,1.37,-2.35,0.316,-0.412,0.349,-0.424
2014,243,79,91,79,6,1.11,-0.92,2.15,-0.97,0.234,-0.33,0.297,-0.352
2015,247,64,93,101,11,0.79,-1.55,1.75,-1.53,0.269,-0.418,0.349,-0.413
2016,246,72,90,94,10,0.89,-1.04,1.44,-1.05,0.256,-0.327,0.271,-0.4
2017,247,83,97,76,9,0.87,-0.77,0.79,-0.73,0.172,-0.244,0.212,-0.304
2018,245,66,87,93,1,0.99,-1.26,1.56,-1.81,0.24,-0.262,0.276,-0.36
2019,244,63,94,94,7,1.28,-0.84,1.23,-0.94,0.236,-0.335,0.309,-0.375
2020,251,77,94,81,1,1.29,-3.45,3.24,-2.61,0.293,-0.449,0.584,-0.497
2021,240,74,89,81,4,0.7,-1.25,1.24,-1.08,0.191,-0.292,0.303,-0.45
2022,240,77,86,78,1,0.84,-0.91,1.91,-0.99,0.235,-0.308,0.316,-0.409
2023,237,81,91,65,0,0.67,-0.63,1.0,-0.66,0.169,-0.211,0.177,-0.263
2024,156,61,52,45,2,0.76,-1.21,0.65,-0.7,0.211,-0.279,0.212,-0.31
