Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,212,65,80,70,3,2.1,-1.71,3.16,-1.97,0.455,-0.461,0.536,-0.476
2011,246,83,77,90,4,2.4,-1.99,3.44,-2.66,0.495,-0.667,0.574,-0.649
2012,250,69,95,87,1,2.82,-1.77,2.79,-2.11,0.461,-0.538,0.434,-0.56
2013,249,72,86,98,7,2.0,-2.15,2.23,-1.45,0.466,-0.542,0.499,-0.627
2014,243,95,80,71,3,2.0,-1.36,2.48,-1.49,0.388,-0.5,0.423,-0.514
2015,247,78,84,92,7,1.97,-2.6,2.33,-2.69,0.393,-0.582,0.495,-0.544
2016,246,89,86,77,6,1.3,-1.63,2.76,-1.26,0.331,-0.486,0.409,-0.512
2017,247,104,84,65,6,1.54,-0.88,1.5,-0.76,0.238,-0.318,0.31,-0.383
2018,245,74,89,89,7,2.1,-2.46,1.62,-1.76,0.35,-0.413,0.327,-0.484
2019,244,83,86,81,6,1.39,-1.57,1.5,-1.14,0.346,-0.452,0.416,-0.472
2020,251,90,82,80,1,2.5,-4.34,2.99,-3.36,0.625,-0.77,0.76,-0.825
2021,240,102,68,71,1,1.57,-1.71,1.99,-1.92,0.392,-0.476,0.399,-0.628
2022,240,94,77,71,2,1.21,-3.05,2.08,-1.47,0.333,-0.444,0.421,-0.571
2023,237,90,81,70,4,0.92,-1.3,1.28,-1.06,0.237,-0.348,0.232,-0.37
2024,156,77,43,39,3,1.9,-1.27,0.91,-1.26,0.234,-0.432,0.256,-0.407
