Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,SLHigh,points_from_SL_High,TargetLow,points_from_Target_Low,SLLow,points_from_SL_low,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow
20180101,11:45,10537.80,10516.30,False,True,False,True,10537.80,0.00,10537.80,0.00,10423.10,93.20,10534.00,-17.70,10432.90,-104.90,83.40
20180102,11:45,10495.20,10409.70,False,True,False,True,10495.20,0.00,10495.20,0.00,10404.70,5.00,10454.80,-45.10,10443.30,-51.90,-33.60
20180103,11:45,10503.60,10460.50,False,True,False,True,10503.60,0.00,10503.60,0.00,10429.50,31.00,10486.80,-26.30,10444.70,-58.90,15.80
20180104,11:45,10470.10,10441.50,True,False,True,False,10513.00,42.90,10460.30,-9.80,10441.50,0.00,10441.50,0.00,10508.80,38.70,-67.30
20180105,11:45,10562.80,10522.30,True,True,True,False,10566.10,3.30,10520.10,-42.70,10520.10,2.20,10566.10,-43.80,10563.50,0.70,-41.20
20180108,11:45,10623.20,10588.50,True,False,True,False,10631.20,8.00,10597.90,-25.30,10588.50,0.00,10588.50,0.00,10615.50,-7.70,-27.00
20180109,11:45,10659.20,10607.90,False,True,False,True,10659.20,0.00,10659.20,0.00,10603.60,4.30,10646.70,-38.80,10631.10,-28.10,-23.20
20180110,11:45,10655.50,10598.50,False,True,False,True,10655.50,0.00,10655.50,0.00,10592.70,5.80,10638.80,-40.30,10629.10,-26.40,-30.60
20180111,11:45,10641.30,10612.30,True,False,True,False,10664.60,23.30,10631.00,-10.30,10612.30,0.00,10612.30,0.00,10654.80,13.50,-42.50
20180112,11:45,10690.30,10669.80,True,True,True,True,10690.40,0.10,10597.10,-93.20,10597.10,72.70,10690.40,-20.60,10673.50,-16.80,-3.70
20180115,11:45,10782.70,10713.80,False,False,False,False,10782.70,0.00,10782.70,0.00,10713.80,0.00,10713.80,0.00,10738.70,-44.00,-24.90
20180116,11:45,10762.30,10705.20,False,True,False,True,10762.30,0.00,10762.30,0.00,10687.80,17.40,10747.80,-42.60,10709.20,-53.10,-4.00
20180117,11:45,10741.40,10666.80,True,False,True,False,10800.00,58.60,10728.10,-13.30,10666.80,0.00,10666.80,0.00,10797.20,55.80,-130.40
20180118,11:45,10887.50,10845.00,False,True,False,True,10887.50,0.00,10887.50,0.00,10782.40,62.60,10885.20,-40.20,10816.00,-71.50,29.00
20180119,11:45,10857.70,10793.90,True,False,True,False,10906.80,49.10,10817.20,-40.50,10793.90,0.00,10793.90,0.00,10903.30,45.60,-109.40
20180122,11:45,10929.80,10881.40,True,False,True,False,10975.10,45.30,10896.20,-33.60,10881.40,0.00,10881.40,0.00,10966.40,36.60,-85.00
20180123,11:45,11053.00,10994.50,True,False,True,False,11092.90,39.90,11044.90,-8.10,10994.50,0.00,10994.50,0.00,11088.10,35.10,-93.60
20180124,11:45,11110.10,11046.20,False,False,False,False,11110.10,0.00,11110.10,0.00,11046.20,0.00,11046.20,0.00,11084.00,-26.10,-37.80
20180125,11:45,11091.80,11047.60,False,True,False,True,11091.80,0.00,11091.80,0.00,11009.20,38.40,11085.30,-37.70,11073.90,-17.90,-26.30
20180129,11:45,11161.00,11076.00,True,False,True,False,11171.50,10.50,11109.20,-51.80,11076.00,0.00,11076.00,0.00,11126.90,-34.10,-50.90
20180130,11:45,11121.10,11042.10,False,True,False,True,11121.10,0.00,11121.10,0.00,11033.90,8.20,11070.50,-28.40,11051.80,-69.30,-9.70
20180131,11:45,11058.50,11010.70,False,True,False,True,11058.50,0.00,11058.50,0.00,10979.30,31.40,11040.20,-29.50,11028.00,-30.50,-17.30
20180201,11:45,11103.50,11039.50,True,True,True,True,11117.30,13.80,10878.80,-224.70,10878.80,160.70,11117.30,-77.80,11022.80,-80.70,16.70
20180202,11:45,10955.00,10826.50,False,True,False,True,10955.00,0.00,10955.00,0.00,10739.70,86.80,10884.30,-57.80,10743.30,-211.70,83.20
20180205,11:45,10695.50,10586.80,True,False,True,False,10702.80,7.30,10628.20,-67.30,10586.80,0.00,10586.80,0.00,10683.50,-12.00,-96.70
20180206,11:45,10423.70,10276.30,True,False,True,False,10594.20,170.50,10347.80,-75.90,10276.30,0.00,10276.30,0.00,10522.00,98.30,-245.70
20180207,11:45,10614.00,10485.20,False,True,False,True,10614.00,0.00,10614.00,0.00,10446.40,38.80,10528.60,-43.40,10460.40,-153.60,24.80
20180208,11:45,10614.30,10479.50,True,False,True,False,10637.80,23.50,10528.80,-85.50,10479.50,0.00,10479.50,0.00,10576.30,-38.00,-96.80
20180209,11:45,10453.90,10398.20,True,False,True,False,10480.20,26.30,10410.20,-43.70,10398.20,0.00,10398.20,0.00,10464.30,10.40,-66.10
20180212,11:45,10538.10,10485.40,True,False,True,False,10555.50,17.40,10491.60,-46.50,10485.40,0.00,10485.40,0.00,10532.80,-5.30,-47.40
20180214,11:45,10590.50,10528.00,False,True,False,True,10590.50,0.00,10590.50,0.00,10457.50,70.50,10569.00,-41.00,10462.50,-128.00,65.50
20180215,11:45,10588.80,10518.70,True,True,True,False,10618.10,29.30,10511.00,-77.80,10511.00,7.70,10618.10,-99.40,10553.00,-35.80,-34.30
20180216,11:45,10612.90,10500.50,False,True,False,True,10612.90,0.00,10612.90,0.00,10434.00,66.50,10524.80,-24.30,10451.00,-161.90,49.50
20180219,11:45,10489.30,10379.00,False,True,False,True,10489.30,0.00,10489.30,0.00,10302.80,76.20,10405.00,-26.00,10388.50,-100.80,-9.50
20180220,11:45,10429.30,10358.50,False,True,False,True,10429.30,0.00,10429.30,0.00,10347.70,10.80,10423.30,-64.80,10361.60,-67.70,-3.10
20180221,11:45,10426.10,10349.60,False,False,False,False,10426.10,0.00,10426.10,0.00,10349.60,0.00,10349.60,0.00,10398.80,-27.30,-49.20
20180222,11:45,10365.00,10340.70,True,False,True,False,10397.50,32.50,10342.80,-22.20,10340.70,0.00,10340.70,0.00,10376.20,11.20,-35.50
20180223,11:45,10457.70,10396.70,True,False,True,False,10499.10,41.40,10454.00,-3.70,10396.70,0.00,10396.70,0.00,10493.50,35.80,-96.80
20180226,11:45,10578.70,10520.20,True,False,True,False,10593.00,14.30,10558.00,-20.70,10520.20,0.00,10520.20,0.00,10583.50,4.80,-63.30
20180227,11:45,10631.70,10541.00,False,True,False,True,10631.70,0.00,10631.70,0.00,10537.30,3.70,10566.40,-25.40,10557.20,-74.50,-16.20
20180228,11:45,10508.00,10461.50,True,False,True,False,10535.50,27.50,10466.40,-41.60,10461.50,0.00,10461.50,0.00,10485.60,-22.40,-24.10
20180301,11:45,10525.50,10469.80,False,True,False,True,10525.50,0.00,10525.50,0.00,10449.00,20.80,10514.20,-44.40,10450.60,-74.90,19.20
20180305,11:45,10428.70,10340.50,False,True,False,True,10428.70,0.00,10428.70,0.00,10323.90,16.60,10376.80,-36.30,10358.00,-70.70,-17.50
20180306,11:45,10441.30,10378.00,False,True,False,True,10441.30,0.00,10441.30,0.00,10215.90,162.10,10406.80,-28.80,10230.30,-211.00,147.70
20180307,11:45,10243.30,10170.90,False,True,False,True,10243.30,0.00,10243.30,0.00,10141.50,29.40,10208.20,-37.30,10162.50,-80.80,8.40
20180308,11:45,10241.40,10146.40,True,False,True,False,10270.30,28.90,10182.00,-59.40,10146.40,0.00,10146.40,0.00,10231.50,-9.90,-85.10
20180309,11:45,10296.70,10230.50,False,True,False,True,10296.70,0.00,10296.70,0.00,10211.90,18.60,10292.00,-61.50,10234.30,-62.40,-3.80
20180312,11:45,10342.30,10295.50,True,False,True,False,10433.70,91.40,10315.60,-26.70,10295.50,0.00,10295.50,0.00,10421.20,78.90,-125.70
20180313,11:45,10478.60,10382.00,False,True,False,False,10478.60,0.00,10478.60,0.00,10377.80,4.20,10474.80,-92.80,10423.90,-54.70,-41.90
20180314,11:45,10407.00,10352.80,True,True,True,True,10420.30,13.30,10336.30,-70.70,10336.30,16.50,10420.30,-67.50,10417.90,10.90,-65.10
20180315,11:45,10420.00,10377.00,False,True,False,True,10420.00,0.00,10420.00,0.00,10346.20,30.80,10407.10,-30.10,10346.50,-73.50,30.50
20180316,11:45,10346.30,10285.00,False,True,False,True,10346.30,0.00,10346.30,0.00,10180.30,104.70,10290.30,-5.30,10212.00,-134.30,73.00
20180319,11:45,10224.50,10140.00,False,True,False,True,10224.50,0.00,10224.50,0.00,10075.30,64.70,10169.80,-29.80,10094.00,-130.50,46.00
20180320,11:45,10152.80,10049.10,True,False,True,False,10155.70,2.90,10090.70,-62.10,10049.10,0.00,10049.10,0.00,10136.40,-16.40,-87.30
20180321,11:45,10227.30,10173.20,False,True,False,True,10227.30,0.00,10227.30,0.00,10133.00,40.20,10203.90,-30.70,10155.60,-71.70,17.60
20180322,11:45,10207.80,10147.40,False,True,False,True,10207.80,0.00,10207.80,0.00,10106.00,41.40,10162.80,-15.40,10109.30,-98.50,38.10
20180323,11:45,10012.80,9961.30,True,True,True,True,10027.70,14.90,9951.90,-60.90,9951.90,9.40,10027.70,-66.40,9986.20,-26.60,-24.90
20180326,11:45,10010.80,9958.55,True,False,True,False,10142.70,131.90,9983.90,-26.90,9958.55,0.00,9958.55,0.00,10136.70,125.90,-178.15
20180327,11:45,10205.50,10139.70,True,False,True,False,10207.90,2.40,10144.80,-60.70,10139.70,0.00,10139.70,0.00,10182.30,-23.20,-42.60
20180328,11:45,10143.80,10112.50,True,True,True,True,10158.30,14.50,10096.90,-46.90,10096.90,15.60,10158.30,-45.80,10115.20,-28.60,-2.70
20180402,11:45,10178.50,10127.80,True,False,True,False,10220.10,41.60,10152.30,-26.20,10127.80,0.00,10127.80,0.00,10216.60,38.10,-88.80
20180403,11:45,10229.50,10171.00,True,False,True,False,10255.30,25.80,10177.30,-52.20,10171.00,0.00,10171.00,0.00,10248.70,19.20,-77.70
20180404,11:45,10279.80,10239.50,False,True,False,True,10279.80,0.00,10279.80,0.00,10111.30,128.20,10261.50,-22.00,10127.10,-152.70,112.40
20180405,11:45,10286.30,10227.50,True,False,True,False,10331.80,45.50,10264.20,-22.10,10227.50,0.00,10227.50,0.00,10326.00,39.70,-98.50
20180406,11:45,10332.10,10290.80,True,False,True,False,10350.50,18.40,10297.40,-34.70,10290.80,0.00,10290.80,0.00,10324.50,-7.60,-33.70
20180409,11:45,10391.30,10328.50,True,False,True,False,10397.70,6.40,10361.50,-29.80,10328.50,0.00,10328.50,0.00,10368.70,-22.60,-40.20
20180410,11:45,10424.80,10381.50,False,False,False,False,10424.80,0.00,10424.80,0.00,10381.50,0.00,10381.50,0.00,10400.50,-24.30,-19.00
20180411,11:45,10426.50,10355.60,False,False,False,False,10426.50,0.00,10426.50,0.00,10355.60,0.00,10355.60,0.00,10412.00,-14.50,-56.40
20180412,11:45,10437.50,10395.30,True,False,True,False,10469.90,32.40,10421.80,-15.70,10395.30,0.00,10395.30,0.00,10458.70,21.20,-63.40
20180413,11:45,10513.30,10475.80,True,True,True,True,10519.90,6.60,10451.50,-61.80,10451.50,24.30,10519.90,-44.10,10478.40,-34.90,-2.60
20180416,11:45,10477.70,10396.30,True,False,True,False,10540.20,62.50,10458.30,-19.40,10396.30,0.00,10396.30,0.00,10529.80,52.10,-133.50
20180417,11:45,10557.50,10512.80,True,True,True,True,10560.50,3.00,10495.70,-61.80,10495.70,17.10,10560.50,-47.70,10545.40,-12.10,-32.60
20180418,11:45,10579.40,10539.50,True,True,True,True,10594.20,14.80,10509.70,-69.70,10509.70,29.80,10594.20,-54.70,10537.80,-41.60,1.70
20180419,11:45,10568.90,10547.10,True,True,True,False,10572.20,3.30,10546.20,-22.70,10546.20,0.90,10572.20,-25.10,10570.20,1.30,-23.10
20180420,11:45,10564.00,10530.30,True,True,True,True,10580.30,16.30,10527.50,-36.50,10527.50,2.80,10580.30,-50.00,10577.60,13.60,-47.30
20180423,11:45,10619.90,10515.00,True,False,True,False,10638.30,18.40,10571.80,-48.10,10515.00,0.00,10515.00,0.00,10580.00,-39.90,-65.00
20180424,11:45,10609.80,10573.20,True,True,True,True,10636.80,27.00,10569.00,-40.80,10569.00,4.20,10636.80,-63.60,10617.70,7.90,-44.50
20180425,11:45,10612.60,10576.70,False,True,False,True,10612.60,0.00,10612.60,0.00,10536.50,40.20,10610.50,-33.80,10568.80,-43.80,7.90
20180426,11:45,10596.10,10571.70,True,True,True,True,10628.40,32.30,10559.70,-36.40,10559.70,12.00,10628.40,-56.70,10620.10,24.00,-48.40
20180427,11:45,10704.80,10647.50,True,False,True,False,10719.80,15.00,10676.80,-28.00,10647.50,0.00,10647.50,0.00,10696.00,-8.80,-48.50
20180430,11:45,10755.90,10704.60,True,False,True,False,10759.00,3.10,10721.50,-34.40,10704.60,0.00,10704.60,0.00,10743.70,-12.20,-39.10
