Date,Time,DayHigh,DayHighTime,DayLow,DayLowTime,IsDayHighBreak,DayHighBreakTime,IsDayLowBreak,DayLowBreakTime,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,TargetHighTime,points_from_target_high,percentChangeTargetHigh,SLHigh,SLHighTime,points_from_SL_High,percentageChangeSLHigh,TargetLow,TargetLowTime,points_from_Target_Low,percentageChangeTargetLow,SLLow,SLLowTime,points_from_SL_low,percentageChangeSLLow,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20130101,11:00,5952.30,10:07,5935.20,09:22,True,11:31,False,N/A,True,False,5963.90,13:12,11.60,0.19,5944.70,12:05,-7.60,-0.13,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5951.05,-1.25,0.00,False
20130102,11:00,5997.75,09:36,5982.00,09:15,True,11:15,False,N/A,True,False,6006.05,12:10,8.30,0.14,5986.90,14:40,-10.85,-0.18,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5992.10,-5.65,0.00,False
20130103,11:00,6017.00,09:15,5986.55,09:43,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6007.40,0.00,0.00,True
20130104,11:00,6007.35,09:15,5982.70,09:37,True,14:27,True,13:08,True,False,6020.75,15:16,13.40,0.22,5981.55,13:09,-25.80,-0.43,5981.55,13:09,1.15,0.02,6020.75,15:16,-38.05,-0.64,6014.25,6.90,-31.55,False
20130107,11:00,6039.25,09:15,6012.50,09:19,False,N/A,True,11:16,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5978.35,15:29,34.15,0.57,6024.90,11:01,-12.40,-0.21,5982.25,0.00,30.25,False
20130108,11:00,5990.65,09:17,5967.70,10:36,True,14:12,True,12:09,True,True,6007.05,15:08,16.40,0.27,5964.40,12:11,-26.25,-0.44,5964.40,12:11,3.30,0.06,6007.05,15:08,-39.35,-0.66,6001.55,10.90,-33.85,False
20130109,11:00,6017.75,10:57,6005.20,09:15,True,11:25,True,12:09,True,True,6020.10,11:26,2.35,0.04,5958.45,15:05,-59.30,-0.99,5958.45,15:05,46.75,0.78,6020.10,11:26,-14.90,-0.25,5972.35,-45.40,32.85,False
20130110,11:00,6005.15,09:18,5969.35,10:41,False,N/A,True,11:35,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5947.30,14:06,22.05,0.37,5983.55,11:01,-14.20,-0.24,5963.20,0.00,6.15,False
20130111,11:00,6018.85,09:15,5975.55,10:07,False,N/A,True,12:11,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5940.60,14:57,34.95,0.58,5991.50,11:49,-15.95,-0.27,5942.95,0.00,32.60,False
20130114,11:00,6002.45,10:34,5962.15,09:29,True,12:56,False,N/A,True,False,6035.00,15:29,32.55,0.54,5978.25,11:33,-24.20,-0.4,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6032.80,30.35,0.00,False
20130115,11:00,6044.60,09:15,6023.20,09:32,True,14:01,True,13:14,True,True,6068.50,14:51,23.90,0.4,6018.60,13:15,-26.00,-0.43,6018.60,13:15,4.60,0.08,6068.50,14:51,-45.30,-0.75,6057.65,13.05,-34.45,False
20130116,11:00,6055.95,10:08,6038.30,09:33,False,N/A,True,11:22,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,5992.05,15:17,46.25,0.77,6047.40,11:06,-9.10,-0.15,5998.25,0.00,40.05,False
20130117,11:00,6023.70,09:52,5988.10,09:17,True,11:38,False,N/A,True,False,6053.20,14:31,29.50,0.49,6009.95,11:01,-13.75,-0.23,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6036.45,12.75,0.00,False
20130118,11:00,6083.40,09:47,6059.20,09:15,False,N/A,True,13:21,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6048.30,14:26,10.90,0.18,6078.45,11:59,-19.25,-0.32,6059.75,0.00,-0.55,False
20130121,11:00,6094.35,09:15,6067.60,10:47,False,N/A,True,12:24,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6065.10,13:08,2.50,0.04,6091.90,13:56,-24.30,-0.4,6081.60,0.00,-14.00,False
20130122,11:00,6101.30,10:17,6078.80,09:25,False,N/A,True,12:44,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6040.50,15:20,38.30,0.63,6100.15,11:23,-21.35,-0.35,6043.60,0.00,35.20,False
20130123,11:00,6069.80,09:18,6050.65,10:24,False,N/A,True,11:34,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6021.15,14:32,29.50,0.49,6064.80,15:24,-14.15,-0.23,6060.60,0.00,-9.95,False
20130124,11:00,6065.30,09:17,6007.85,10:30,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6022.85,0.00,0.00,True
